startsecond	text
13.125	(Music)
17.549	Sophie Hawley-Weld: OK,
17.549	you don't have to stand up,
19.995	but ...
21.738	we can see you really clearly --
24.046	(Laughter)
25.11	So you have to dance with us.
26.607	And we have this, like,
29.037	choreographed dance thing
29.037	that we're about to do --
31.547	Betta Lemme: Really easy.
32.782	SHW: And we're going to flick
32.782	our wrists like this,
35.623	and you're going to do it with us.
37.283	And you can also stand up.
39.278	(Music)
43.999	(Sings) I know I did not raise a wrist
47.854	(Both sing) I know I did not capture it
51.782	It came, it came,
52.972	it went, it went
54.162	It conquered quick
55.946	I was there and then I quit
59.549	Awoo!
60.865	I know I did not raise a wrist
63.562	I know I did not capture it
67.407	It came, it came,
68.591	it went, it went
69.781	It conquered quick
71.565	I was there and then I quit
74.924	Awoo!
76.77	BL: (Speaks) There you go!
78.262	(Music)
82.309	SHW: We have another one coming up.
84.043	It's a little finger-pointing dance.
85.801	(Music)
100.86	The people sitting down,
102.059	I want to see your fingers pointing.
104.498	Yeah!
106.406	(Sings) I know I did not raise a wrist
110.369	(Both sing) I know I did not capture it
114.252	It came, it came,
115.443	it went, it went
116.618	It conquered quick
118.429	I was there and then I quit
122.435	Aaaa ...
128.786	(Applause)
129.96	Awoo!
131.206	(Music)
132.892	(Clapping to the beat)
139.678	(Music)
145.885	Aaaa ...
151.935	SHW: (Speaks) Alright, hand flick.
153.761	(Both sing) I know
153.761	I did not raise a wrist
157.187	I know I did not capture it
161.025	It came, it came,
162.206	it went, it went
163.388	It conquered quick
165.163	I was there and then I quit
168.903	I know I did not raise a wrist
172.872	I know I did not capture it
176.695	It came, it came,
177.869	it went, it went
179.045	It conquered quick
180.835	I was there and then I quit
184.89	(Music)
188.341	Tucker Halpern: You guys are way more fun
188.341	than I thought you'd be.
191.567	(Laughter)
192.809	(Music)
199.815	Awoo!
201.42	(Applause)
205.209	SHW: Thank you so much.
206.841	(Applause)
