startsecond	text
15.96	The problem I want to talk with you
15.96	about is really the problem of:
20.96	How does one supply health care
20.96	in a world in which cost is everything?
28.274	How do you do that?
30.459	And the basic paradigm
30.459	we want to suggest to you,
32.818	I want to suggest to you,
34.067	is one in which you say
34.067	that in order to treat disease,
37.763	you have to first know
37.763	what you're treating, that's diagnostics,
41.159	and then you have to do something.
42.83	The program we're involved in is something
42.83	"we call ""Diagnostics for All,"""
47.17	"or ""zero-cost diagnostics."""
49.305	How do you provide medically
49.305	relevant information
52.743	at as close as possible to zero cost?
55.391	How do you do it?
56.645	Let me just give you two examples.
58.967	The rigors of military medicine are not
58.967	so dissimilar from the third world:
64.857	poor resources, a rigorous environment --
64.857	a series of problems --
69.233	light weight and things of this kind.
71.238	And also they're not so different
71.238	from the home health care
74.696	and diagnostic system world.
77.125	So, the technology I want to talk
77.125	about is for the third world,
81.997	for the developing world,
83.419	but it has, I think,
83.419	much broader application,
85.984	because information is so important
85.984	in the health care system.
90.301	So you see two examples here.
92.119	One is a lab that is actually
92.119	a fairly high-end laboratory in Africa.
97.892	The second is basically an entrepreneur
97.892	who is set up and doing who-knows-what
102.22	at a table in a market.
103.691	I don't know what kind
103.691	of health care is delivered there.
106.662	But it's not really
106.662	what is probably most efficient.
111.601	What is our approach?
114.702	The way in which one typically
114.702	approaches a problem of lowering cost,
120.251	starting from the perspective
120.251	of the United States,
123.138	is to take our solution,
125.305	and then try to cut cost out of it.
128.023	No matter how you do that,
129.46	you're not going to start
129.46	with a $100,000 instrument
131.99	and bring it down to no cost.
133.435	It isn't going to work.
134.632	So the approach we took
134.632	was the other way around, to ask:
137.515	What is the cheapest possible stuff
140.004	that you could make
140.004	a diagnostic system out of,
142.964	and get useful information
142.964	and add function?
145.535	And what we've chosen is paper.
147.556	What you see here is a prototypic device.
150.604	It's about a centimeter on the side.
152.46	It's about the size of a fingernail.
154.461	The lines around the edges are a polymer.
158.088	It's made of paper.
159.954	And paper, of course, wicks fluid,
159.954	as you know, paper, cloth --
164.663	drop wine on the tablecloth,
166.563	and the wine wicks all over everything.
169.324	Put it on your shirt, it ruins the shirt.
171.387	That's what a hydrophilic surface does.
174.15	So in this device, the idea
174.15	is that you drip the bottom end of it
177.797	in a drop of, in this case, urine.
180.46	The fluid wicks its way
180.46	into those chambers at the top.
184.232	The brown color indicates
184.232	the amount of glucose in the urine,
188.46	the blue color indicates the amount
188.46	of protein in the urine.
192.031	And the combination of those two
192.031	is a first-order shot
195.091	at a number of useful things
195.091	that you want.
198.237	So, this is an example of a device
198.237	made from a simple piece of paper.
201.618	Now, how simple can you make
201.618	the production?
204.46	Why do we choose paper?
206.719	There's an example
206.719	of the same thing on a finger,
209.653	showing you basically what it looks like.
211.933	One reason for using paper
211.933	is that it's everywhere.
214.385	We have made these kinds of devices
214.385	using napkins and toilet paper
219.582	and wraps, and all kinds of stuff.
221.836	So the production capability is there.
224.298	The second is, you can put lots and lots
224.298	of tests in a very small place.
228.619	I'll show you in a moment
228.619	that the stack of paper there
231.462	would probably hold
231.462	something like 100,000 tests,
234.218	something of that kind.
235.983	And then finally, a point
235.983	you don't think of so much
238.852	in developed world medicine:
241.46	it eliminates sharps.
243.163	And what sharps means
243.163	is needles, things that stick.
246.569	If you've taken a sample
246.569	of someone's blood
248.887	and the someone might have hepatitis C,
251.408	you don't want to make a mistake
251.408	and stick it in you.
253.979	You don't want to do that.
