startsecond	text
0	Translator: Timothy Covell
0	Reviewer: Morton Bast
12.346	This is me building a prototype
15.116	for six hours straight.
18.036	This is slave labor to my own project.
21.957	This is what the DIY and maker movements really look like.
26.947	And this is an analogy for today's construction and manufacturing world
31.713	with brute-force assembly techniques.
34.501	And this is exactly why I started studying
37.335	how to program physical materials to build themselves.
41.604	But there is another world.
43.364	Today at the micro- and nanoscales,
45.359	there's an unprecedented revolution happening.
48.11	And this is the ability to program physical and biological materials
52.242	to change shape, change properties
54.966	and even compute outside of silicon-based matter.
57.952	There's even a software called cadnano
60.459	that allows us to design three-dimensional shapes
63.242	like nano robots or drug delivery systems
66.326	and use DNA to self-assemble those functional structures.
70.629	But if we look at the human scale,
72.702	there's massive problems that aren't being addressed
75.758	by those nanoscale technologies.
78.126	If we look at construction and manufacturing,
80.225	there's major inefficiencies, energy consumption
84.418	and excessive labor techniques.
86.745	In infrastructure, let's just take one example.
89.25	Take piping.
90.733	In water pipes, we have fixed-capacity water pipes
94.458	that have fixed flow rates, except for expensive pumps and valves.
98.917	We bury them in the ground.
100.208	If anything changes -- if the environment changes,
102.829	the ground moves, or demand changes --
105.466	we have to start from scratch and take them out and replace them.
109.716	So I'd like to propose that we can combine those two worlds,
113.084	that we can combine the world of the nanoscale programmable adaptive materials
118.255	and the built environment.
119.932	And I don't mean automated machines.
122.118	I don't just mean smart machines that replace humans.
124.577	But I mean programmable materials that build themselves.
128.461	And that's called self-assembly,
130.517	which is a process by which disordered parts build an ordered structure
135.034	through only local interaction.
137.527	So what do we need if we want to do this at the human scale?
140.702	We need a few simple ingredients.
142.677	The first ingredient is materials and geometry,
145.516	and that needs to be tightly coupled with the energy source.
148.985	And you can use passive energy --
150.643	so heat, shaking, pneumatics, gravity, magnetics.
155.327	And then you need smartly designed interactions.
158.402	And those interactions allow for error correction,
160.535	and they allow the shapes to go from one state to another state.
164.535	So now I'm going to show you a number of projects that we've built,
167.767	from one-dimensional, two-dimensional, three-dimensional
171.051	and even four-dimensional systems.
174.118	So in one-dimensional systems --
176.004	this is a project called the self-folding proteins.
178.911	And the idea is that you take the three-dimensional structure of a protein --
183.618	in this case it's the crambin protein --
186.299	you take the backbone -- so no cross-linking, no environmental interactions --
189.945	and you break that down into a series of components.
193.096	And then we embed elastic.
195.37	And when I throw this up into the air and catch it,
197.711	it has the full three-dimensional structure of the protein, all of the intricacies.
202.562	And this gives us a tangible model
204.662	of the three-dimensional protein and how it folds
208.396	and all of the intricacies of the geometry.
