startsecond	text
12.372	I think we're all aware
14.085	that the world today is full of problems.
17.058	We've been hearing them
19.153	today and yesterday and every day for decades.
23.443	Serious problems, big problems, pressing problems.
27.487	Poor nutrition, access to water,
30.843	climate change, deforestation,
33.88	lack of skills, insecurity, not enough food,
37.124	not enough healthcare, pollution.
40.1	There's problem after problem,
41.845	and I think what really separates this time
44.376	from any time I can remember in my brief time
48.5	on Earth is the awareness of these problems.
50.935	We're all very aware.
53.501	Why are we having so much trouble
55.529	dealing with these problems?
57.36	That's the question I've been struggling with,
60.4	coming from my very different perspective.
64.569	I'm not a social problem guy.
67.652	I'm a guy that works with business,
70.414	helps business make money.
73.704	God forbid.
76.938	So why are we having so many problems
79.992	with these social problems,
83.135	and really is there any role for business,
85.192	and if so, what is that role?
88.725	I think that in order to address that question,
91.584	we have to step back and think about
95.45	how we've understood and pondered
99.105	both the problems and the solutions
101.103	to these great social challenges that we face.
105.267	Now, I think many have seen business
108.101	as the problem, or at least one of the problems,
110.976	in many of the social challenges we face.
113.728	You know, think of the fast food industry,
115.134	the drug industry, the banking industry.
117.109	You know, this is a low point
119.288	in the respect for business.
122.279	Business is not seen as the solution.
123.989	It's seen as the problem now, for most people.
127.73	And rightly so, in many cases.
129.704	There's a lot of bad actors out there
131.983	that have done the wrong thing,
134.16	that actually have made the problem worse.
135.961	So this perspective is perhaps justified.
139.424	How have we tended to see the solutions
142.014	to these social problems,
144.35	these many issues that we face in society?
147.512	Well, we've tended to see the solutions
149.144	in terms of NGOs,
151.296	in terms of government,
153.302	in terms of philanthropy.
155.439	Indeed, the kind of unique organizational entity
157.873	of this age is this tremendous rise of NGOs
162.63	and social organizations.
165.136	This is a unique, new organizational form
167.96	that we've seen grown up.
169.153	Enormous innovation, enormous energy,
172.56	enormous talent now has been mobilized
175.295	through this structure
177.415	to try to deal with all of these challenges.
182.268	And many of us here are deeply involved in that.
186.525	I'm a business school professor,
188.034	but I've actually founded, I think, now, four nonprofits.
192.049	Whenever I got interested and became aware
194.938	of a societal problem, that was what I did,
197.998	form a nonprofit.
199.876	That was the way we've thought about how to deal
202.939	with these issues.
203.948	Even a business school professor has thought about it that way.
208.4	But I think at this moment,
