startsecond	text
13.16	This is your conference,
15.16	and I think you have a right to know a little bit right now, in this transition period,
21.16	about this guy who's going to be looking after it for you for a bit.
24.16	So, I'm just going to grab a chair here.
35.16	Two years ago at TED, I think --
42.16	I've come to this conclusion --
44.16	I think I may have been suffering from a strange delusion.
47.16	I think that I may have believed unconsciously,
53.16	then, that I was kind of a business hero.
59.16	I had this company that I'd spent 15 years building. It's called Future;
65.16	it was a magazine publishing company.
67.16	It had recently gone public
69.16	and the market said that it was apparently worth two billion dollars,
73.16	a number I didn't really understand.
75.16	A magazine I'd recently launched called Business 2.0
81.16	was fatter than a telephone directory,
83.16	busy pumping hot air into the bubble.
86.16	(Laughter)
88.16	And I was the 40 percent owner of a dotcom
94.16	that was about to go public and no doubt be worth billions more.
97.16	And all this had come from nothing.
100.16	Fifteen years earlier, I was a science journalist who people just laughed at
105.16	"when I said, ""I really would like to start my own computer magazine."""
110.16	And 15 years later, there are 100 of them
114.16	and 2,000 people on staff and it was just such heady times.
120.16	The date was February 2000.
123.16	I thought the little graph of my business life
126.16	that kind of looked a bit like Moore's Law --
128.16	ever upward and to the right -- it was going to go on forever.
130.16	I mean, it had to. Right? I was in for quite a surprise.
139.16	The dotcom, ironically called Snowball,
142.16	was the very last consumer web company to go public
145.16	the next month before NASDAQ exploded, and I entered 18 months of business hell.
156.16	I watched everything that I'd built crumbling,
162.16	and it looked like all this stuff was going to die
164.16	and 15 years work would have come for nothing.
167.16	And it was gut wrenching.
169.16	It took eight years of blood, sweat and tears to reach 350 employees,
176.16	something which I was very proud of in the business.
179.16	February 2001 -- in one day we laid off 350 people,
184.16	and before the bloodshed was finished, 1,000 people had lost their jobs
188.16	from my companies. I felt sick.
192.16	I watched my own net worth falling
198.16	by about a million dollars a day, every day, for 18 months.
205.16	And worse than that, far worse than that,
207.16	my sense of self-worth was kind of evaporating.
211.16	"I was going around with this big sign on my forehead: ""LOSER."""
216.16	(Laughter)
217.16	And I think what disgusts me more than anything, looking back,
221.16	is how the hell did I let my personal happiness
225.16	get so tied up with this business thing?
230.16	Well, in the end, we were able to save Future and Snowball,
236.16	but I was, at that point, ready to move on.
239.16	And to cut a long story short, here's where I came to.
243.16	And the reason I'm telling this story is that I believe, from many conversations,
249.16	that a lot of people in this room have been through a similar kind of rollercoaster --
254.16	emotional rollercoaster -- in the last couple years.
257.16	This has been a big, big transition time,
260.16	and I believe that this conference can play a big part for all of us
267.16	in taking us forward to the next stage to whatever's next.
270.16	The theme next year is re-birth.
273.16	It was at the same TED two years ago
277.16	when Richard and I reached an agreement on the future of TED.
281.16	And at about the same time, and I think partly because of that,
285.16	I started doing something that I'd forgotten about in my business focus:
290.16	I started to read again.
293.16	And I discovered that while I'd been busy playing business games,
298.16	there'd been this incredible revolution in so many areas of interest:
303.16	cosmology to psychology to evolutionary psychology to anthropology
309.16	to ... all this stuff had changed.
311.16	And the way in which you could think about us as a species
316.16	and us as a planet had just changed so much, and it was incredibly exciting.
320.16	And what was really most exciting --
322.16	and I think Richard Wurman discovered this at least 20 years before I did --
327.16	was that all this stuff is connected.
331.16	It's connected; it all hooks into each other.
334.16	We talk about this a lot,
336.16	and I thought about trying to give an example of this. So, just one example:
339.16	Madame de Gaulle, the wife of the French president,
346.16	"was famously asked once, ""What do you most desire?"""
349.16	"And she answered, ""A penis."""
353.16	And when you think about it, it's very true:
356.16	what we all most desire is a penis --
359.16	"or ""happiness"" as we say in English."
362.16	(Laughter)
372.16	And something ... good luck with that one in the Japanese translation room.
380.16	(Laughter)
382.16	(Applause)
387.16	But something as basic as happiness,
391.16	which 20 years ago would have been just something for discussion
394.16	in the church or mosque or synagogue,
397.16	today it turns out that there's dozens of TED-like questions
401.16	that you can ask about it, which are really interesting.
404.16	You can ask about what causes it biochemically:
407.16	neuroscience, serotonin, all that stuff.
409.16	You can ask what are the psychological causes of it:
413.16	nature? Nurture? Current circumstance?
416.16	Turns out that the research done on that is absolutely mind-blowing.
419.16	You can view it as a computing problem, an artificial intelligence problem:
