startsecond	text
26	Sergey Brin: I want to discuss a question
28	I know that's been pressing on many of your minds.
30	We spoke to you last several years ago.
33	And before I get started today,
35	since many of you are wondering,
38	I just wanted to get it out of the way.
40	The answer is boxers.
52	Now I hope all of you feel better.
54	Do you know what this might be? Does anyone know what that is?
57	Audience: Yes.
58	SB: What is it?
60	Audience: It's people logging on to Google around the world.
62	SB: Wow, OK. I didn't really realize what it was when I first saw it.
65	But this is what helped me see it.
68	This is what we run at the office, that actually runs real time.
71	Here it's slightly logged.
73	But here you can see around the world
75	how people are using Google.
78	And every one of those rising dots
80	represents probably about 20, 30 searches,
83	or something like that.
85	And they're labeled by color right now, by language.
89	So you can see: here we are in the U.S.,
91	and they're all coming up red.
93	There we are in Monterey -- hopefully I can get it right.
95	You can see that Japan is busy at night,
98	right there.
100	We have Tokyo coming in in Japanese.
103	There's a lot of activity in China.
105	There's a lot of activity in India.
108	There's some in the Middle East, the little pockets.
112	And Europe, which is right now in the middle of the day,
115	is going really strong with a whole wide variety of languages.
126	Now you can also see, if I turn this around here --
134	hopefully I won't shake the world too much.
137	But you can also see, there are places where there's not so much.
140	Australia, because there just aren't very many people there.
143	And this is something that we should really work on,
146	which is Africa, which is just a few trickles,
150	basically in South Africa and a few other urban cities.
153	But basically, what we've noticed is these queries,
157	which come in at thousands per second,
159	are available everywhere there is power.
162	And pretty much everywhere there is power, there is the Internet.
166	And even in Antarctica -- well, at least this time of year --
171	we from time to time will see a query rising up.
173	And if we had it plotted correctly,
175	I think the International Space Station would have it, too.
186	So this is
189	some of the challenge that we have here,
193	is you can see that it's actually kind of hard to get the --
202	there we go.
204	This is how we have to move the bits around
205	to actually get the people the answers to their questions.
207	You can see that there's a lot of data running around.
211	It has to go all over the world: through fibers,
214	through satellites, through all kinds of connections.
216	And it's pretty tricky for us to maintain the latencies
221	as low as we try to. Hopefully your experience is good.
225	But you can see also, once again -- so some places are much more wired
227	than others, and you can see all the bandwidth across the U.S.,
231	going up over to Asia, Europe in the other direction, and so forth.
236	Now what I would like to do is just to show you
239	what one second of this activity would look like.
243	And if we can switch to slides --
249	all right, here we go.
251	So this is slowed down.
257	This is what one second looks like.
260	And this is what we spend a lot of our time doing,
262	is just making sure that we can keep up
264	with this kind of traffic load.
270	Now, each one of those queries
272	has an interesting life and tale of its own.
274	I mean, it could be somebody's health,
276	it could be somebody's career, something important to them.
279	And it could potentially be something
283	as important as tomato sauce,
288	or in this case, ketchup.
291	So this is a query that we had --
294	I guess it's a popular band that was more popular in some parts of the world than others.
297	You can see that it got started right here.
300	In the U.S. and Spain, it was popular at the same time.
303	But it didn't have quite the same pickup in the U.S.
305	as it did in Spain.
307	And then from Spain, it went to Italy,
309	and then Germany got excited, and maybe right now the U.K. is enjoying it.
313	And so I guess the U.S. finally,
315	finally started to like it, too.
318	And I just wanted to play it for you.
326	Anyway, you can all enjoy it for yourselves --
328	hopefully that search will work.
331	As a part of --
335	you know, part of what we want to do to grow our company
337	is to have more searches.
339	And what that means is we want to have
341	more people who are healthy and educated.
