startsecond	text
12.16	Let me talk about India
14.16	through the evolution of ideas.
16.16	Now I believe this is an interesting way of looking at it
19.16	because in every society, especially an open democratic society,
23.16	it's only when ideas take root that things change.
26.16	Slowly ideas lead to ideology,
28.16	lead to policies that lead to actions.
31.16	In 1930 this country went through a Great Depression,
34.16	which led to all the ideas of the state and social security,
37.16	and all the other things that happened in Roosevelt's time.
40.16	In the 1980s we had the Reagan revolution, which lead to deregulation.
43.16	And today, after the global economic crisis,
46.16	there was a whole new set of rules
48.16	about how the state should intervene.
50.16	So ideas change states.
52.16	And I looked at India and said,
54.16	really there are four kinds of ideas
56.16	which really make an impact on India.
58.16	The first, to my mind,
60.16	"is what I call as ""the ideas that have arrived."""
63.16	These ideas have brought together something
65.16	which has made India happen the way it is today.
68.16	"The second set of ideas I call ""ideas in progress."""
71.16	Those are ideas which have been accepted
74.16	but not implemented yet.
76.16	The third set of ideas are what I call as
78.16	"""ideas that we argue about"" --"
80.16	those are ideas where we have a fight,
82.16	an ideological battle about how to do things.
85.16	And the fourth thing, which I believe is most important, is
88.16	"""the ideas that we need to anticipate."""
90.16	Because when you are a developing country
92.16	in the world where you can see the problems that other countries are having,
96.16	you can actually anticipate
98.16	what that did and do things very differently.
101.16	Now in India's case I believe there are six ideas
104.16	which are responsible for where it has come today.
106.16	The first is really the notion of people.
110.16	In the '60s and '70s
112.16	we thought of people as a burden.
114.16	We thought of people as a liability.
117.16	Today we talk of people as an asset.
119.16	We talk of people as human capital.
122.16	And I believe this change in the mindset,
124.16	of looking at people as something of a burden
126.16	to human capital,
128.16	has been one of the fundamental changes in the Indian mindset.
131.16	And this change in thinking of human capital
133.16	is linked to the fact
135.16	that India is going through a demographic dividend.
138.16	As healthcare improves,
140.16	as infant mortality goes down,
142.16	fertility rates start dropping. And India is experiencing that.
145.16	India is going to have
147.16	a lot of young people with a demographic dividend
150.16	for the next 30 years.
152.16	What is unique about this demographic dividend
154.16	is that India will be the only country in the world
157.16	to have this demographic dividend.
159.16	In other words, it will be the only young country in an aging world.
163.16	And this is very important. At the same time
166.16	if you peel away the demographic dividend in India,
168.16	there are actually two demographic curves.
170.16	One is in the south and in the west of India,
173.16	which is already going to be fully expensed by 2015,
177.16	because in that part of the country, the fertility rate is
180.16	almost equal to that of a West European country.
183.16	Then there is the whole northern India,
186.16	which is going to be the bulk of the future demographic dividend.
189.16	But a demographic dividend is only as good
192.16	as the investment in your human capital.
195.16	Only if the people have education,
197.16	they have good health, they have infrastructure,
199.16	they have roads to go to work, they have lights to study at night --
202.16	only in those cases can you really get the benefit
205.16	of a demographic dividend.
207.16	In other words, if you don't really invest in the human capital,
210.16	the same demographic dividend
212.16	can be a demographic disaster.
214.16	Therefore India is at a critical point
216.16	where either it can leverage its demographic dividend
219.16	or it can lead to a demographic disaster.
222.16	The second thing in India has been the change in
224.16	the role of entrepreneurs.
226.16	When India got independence entrepreneurs were seen
229.16	as a bad lot, as people who would exploit.
232.16	But today, after 60 years, because of the rise of entrepreneurship,
235.16	entrepreneurs have become role models,
237.16	and they are contributing hugely to the society.
240.16	This change has contributed
242.16	to the vitality and the whole economy.
246.16	The third big thing I believe that has changed India
248.16	is our attitude towards the English language.
251.16	English language was seen as a language of the imperialists.
254.16	But today, with globalization,
256.16	with outsourcing, English has become a language of aspiration.
260.16	This has made it something that everybody wants to learn.
262.16	And the fact that we have English is now becoming
265.16	a huge strategic asset.
267.16	The next thing is technology.
270.16	Forty years back, computers were seen
273.16	as something which was forbidding, something which was intimidating,
276.16	something that reduced jobs.
278.16	Today we live in a country
280.16	which sells eight million mobile phones a month,
283.16	of which 90 percent of those mobile phones
285.16	are prepaid phones
287.16	because people don't have credit history.
289.16	Forty percent of those prepaid phones
292.16	are recharged at less than 20 cents at each recharge.
296.16	That is the scale at which
298.16	technology has liberated and made it accessible.
301.16	And therefore technology has gone
303.16	from being seen as something forbidding
305.16	and intimidating to something that is empowering.
308.16	Twenty years back,
310.16	when there was a report on bank computerization,
312.16	they didn't name the report as
315.16	a report on computers,
317.16	"they call them as ""ledger posting machines."""
319.16	They didn't want the unions to believe that they were actually computers.
322.16	And when they wanted to have more advanced, more powerful computers
326.16	"they called them ""advanced ledger posting machines."""
329.16	So we have come a long way from those days
331.16	where the telephone has become an instrument of empowerment,
334.16	and really has changed the way Indians think of technology.
338.16	And then I think the other point
340.16	is that Indians today are far more
342.16	comfortable with globalization.
345.16	Again, after having lived for more than 200 years
348.16	under the East India Company and under imperial rule,
351.16	Indians had a very natural reaction towards globalization
355.16	believing it was a form of imperialism.
357.16	But today, as Indian companies go abroad,
359.16	as Indians come and work all over the world,
361.16	Indians have gained a lot more confidence
363.16	and have realized that globalization is something they can participate in.
367.16	And the fact that the demographics are in our favor,
370.16	because we are the only young country in an aging world,
372.16	makes globalization all the more attractive to Indians.
375.16	And finally, India has had
378.16	the deepening of its democracy.
380.16	When democracy came to India 60 years back
382.16	it was an elite concept.
384.16	It was a bunch of people who wanted to bring in democracy
387.16	because they wanted to bring in the idea of
389.16	universal voting and parliament and constitution and so forth.
393.16	But today democracy has become a bottom-up process
396.16	where everybody has realized
398.16	the benefits of having a voice,
400.16	the benefits of being in an open society.
403.16	And therefore democracy has become embedded.
405.16	I believe these six factors --
407.16	the rise of the notion of population as human capital,
410.16	the rise of Indian entrepreneurs,
412.16	the rise of English as a language of aspiration,
414.16	technology as something empowering,
416.16	globalization as a positive factor,
419.16	and the deepening of democracy -- has contributed
421.16	to why India is today growing
423.16	at rates it has never seen before.
425.16	But having said that,
427.16	then we come to what I call as ideas in progress.
429.16	Those are the ideas where there is no argument in a society,
432.16	but you are not able to implement those things.
435.16	And really there are four things here.
437.16	One is the question of education.
439.16	For some reason, whatever reason -- lack of money,
441.16	lack of priorities, because of religion having an older culture --
445.16	primary education was never given the focus it required.
448.16	But now I believe it's reached a point
450.16	where it has become very important.
452.16	Unfortunately the government schools don't function,
455.16	so children are going to private schools today.
457.16	Even in the slums of India
459.16	more than 50 percent of urban kids are going into private schools.
462.16	So there is a big challenge in getting the schools to work.
465.16	But having said that, there is an enormous desire
