startsecond	text
15.26	One day a one-eyed monkey came into the forest.
19.26	Under a tree she saw a woman
21.26	meditating furiously.
24.26	The one-eyed monkey recognized the woman, a Sekhri.
29.26	She was the wife of an even more famous Brahmin.
35.26	To watch her better, the one-eyed monkey climbed onto the tree.
41.26	Just then, with a loud bang,
43.26	the heavens opened. (Claps)
46.26	And the god Indra jumped into the clearing.
50.26	Indra saw the woman, a Sekhri.
52.26	Ah-hah.
54.26	The woman paid him no heed.
57.26	So, Indra, attracted, threw her onto the floor,
59.26	and proceeded to rape her.
66.26	Then Indra disappeared. (Clap! Clap!)
70.26	And the woman's husband, the Brahmin, appeared.
76.26	He realized at once what had happened.
78.26	So, he petitioned the higher gods
80.26	so that he may have justice.
84.26	So, the god Vishnu arrived.
89.26	"""Are there any witnesses?"""
92.26	"""Just a one-eyed monkey,"" said the Brahmin."
94.26	Now, the one-eyed monkey
96.26	really wanted for the woman, a Sekhri, to get justice,
100.26	so she retold events exactly as they had happened.
111.26	Vishnu gave his judgment.
114.26	"""The god Indra has sinned,"
116.26	in that he has sinned against ... a Brahmin.
120.26	"May he be called to wash away his sins."""
124.26	So, Indra arrived,
126.26	and performed the sacrifice of the horse.
129.26	And so it transpired
131.26	that a horse was killed,
133.26	a god was made sin-free,
137.26	a Brahmin's ego was appeased,
140.26	a woman ... was ruined,
143.26	and a one-eyed monkey was left ...
152.26	very confused at what we humans call justice.
158.26	In India there is a rape every three minutes.
163.26	In India, only 25 percent of rapes
168.26	come to a police station,
170.26	and of these 25 percent that come to a police station,
175.26	convictions are only in four percent of the cases.
179.26	That's a lot of women who don't get justice.
182.26	And it's not only about women.
184.26	Look around you, look at your own countries.
187.26	There is a certain pattern in who gets charged with crimes.
192.26	If you're in Australia, it's mostly aboriginals who are in jail.
197.26	If you're in India, it's either Muslims or Adivasis,
200.26	our tribals, the Naxalites.
202.26	If you're in the U.S., it's mostly the blacks.
207.26	There is a trend here.
209.26	And the Brahmins and the gods, like in my story,
212.26	always get to tell their truth as The Truth.
215.26	So, have we all become
218.26	one-eyed -- two-eyed instead of one-eyed -- monkeys?
221.26	Have we stopped seeing injustice?
225.26	Good morning.
228.26	(Applause)
232.26	You know, I have told this story
237.26	close to 550 times,
239.26	in audiences in 40 countries,
241.26	to school students, to black-tie dinners at the Smithsonian, and so on and so forth,
246.26	and every time it hits something.
248.26	Now, if I were to go into the same crowd
250.26	"and say, ""I want to lecture you about justice and injustice,"""
253.26	"they would say, ""Thank you very much, we have other things to do."""
256.26	And that is the astonishing power of art.
260.26	Art can go through where other things can't.
263.26	You can't have barriers, because it breaks through your prejudices,
267.26	breaks through everything that you have as your mask,
270.26	"that says, ""I am this, I am that, I am that."""
273.26	No. It breaks through those.
275.26	And it reaches somewhere where other things don't.
277.26	And in a world where attitudes are so difficult to change,
280.26	we need a language that reaches through.
285.26	Hitler knew it; he used Wagner
287.26	to make all the Nazis feel wonderful and Aryan.
291.26	And Mr. Berlusconi knows it, as he sits atop
293.26	this huge empire of media and television and so on and so forth.
297.26	And all of the wonderful creative minds who are in all the advertising agencies,
301.26	and who help corporate sell us things we absolutely don't require,
305.26	they also know the power of the arts.
308.26	For me it came very early.
311.26	When I was a young child, my mother, who was a choreographer,
313.26	came upon a phenomenon that worried her.
316.26	It was a phenomenon where young brides
318.26	were committing suicide in rural Gujarat,
320.26	because they were being forced to bring more and more money for their in-laws' families.
325.26	And she created a dance piece which then Prime Minister Nehru saw.
329.26	"He came to talk to her and said, ""What is this about?"""
331.26	She told him and he set out the first inquiry
335.26	into what today we call Dowry Dance.
338.26	Imagine a dance piece
340.26	for the first inquiry into something
342.26	that even today kills thousands of women.
347.26	Many years later, when I was working with the director Peter Brook
350.26	"in ""The Mahabharata"" playing this feisty feminine feminist"
354.26	called Draupadi, I had similar experiences.
357.26	Big fat black mamas in the Bronx
359.26	"used to come and say, ""Hey girl, that's it!"""
362.26	And then these trendy young things in the Sorbonne would say,
364.26	"""Madame Draupadi, on n'est pas feministe, mais ça? Ça!"""
369.26	And then aboriginal women in Africa
371.26	"would come and say, ""This is it!"""
375.26	"And I thought, ""This is what we need,"
378.26	"as a language."""
381.26	We had somebody from public health. And Devdutt also mentioned public health.
385.26	Well, millions of people around the world die
388.26	of waterborne disease every year.
390.26	And that's because there is no clean water to drink,
393.26	or in countries like India,
395.26	people don't know that they need to soap their hands before defecation.
398.26	So, what do they do?
400.26	They drink the water they know is dirty,
402.26	they get cholera, they get diarrhea, they get jaundice
405.26	and they die.
407.26	And governments have not been able to provide clean water.
412.26	They try and build it. They try and build pipelines; it doesn't happen.
415.26	And the MNCs give them machines that they cannot afford.
419.26	So what do you do? Do you let them die?
421.26	Well, somebody had a great idea.
423.26	And it was a simple idea. It was an idea that could not profit anybody
426.26	but would help health in every field.
430.26	Most houses in Asia and India
432.26	have a cotton garment.
434.26	And it was discovered, and WHO endorses this,
438.26	that a clean cotton garment folded eight times over,
441.26	can reduce bacteria up to 80 percent from water sieved through.
445.26	So, why aren't governments blaring this on television?
449.26	Why isn't it on every poster across the third world?
453.26	Because there is no profit in it.
455.26	Because nobody can get a kickback.
457.26	But it still needs to get to people.
459.26	And here is one of the ways we get it to people.
461.26	[Video] Woman: Then get me one of those fancy water purifiers.
464.26	Man: You know how expensive those are.
467.26	I have a solution that requires neither machine,
471.26	nor wood, nor cooking gas.
477.26	Woman: What solution?
479.26	Man: Listen, go fetch that cotton sari you have.
482.26	Boy: Grand-dad, tell me the solution please.
484.26	Man: I will tell all of you. Just wait.
486.26	Woman: Here father. (Man: Is it clean?) Woman: Yes, of course.
489.26	Man: Then do as I tell you. Fold the sari into eight folds.
492.26	Woman: All right, father.
494.26	Man: And you, you count that she does it right. (Boy: All right, grand-dad.)
497.26	Man: One, two, three, four folds we make.
499.26	All the germs from the water we take.
502.26	Chorus: One, two, three, four folds we make.
504.26	All the germs from the water we take.
507.26	Five, six, seven, eight folds we make.
509.26	Our drinking water safe we make.
512.26	Five, six, seven, eight folds we make.
514.26	Our drinking water safe we make.
517.26	Woman: Here, father, your eight-times folded cotton sari.
519.26	Man: So this is the cotton sari.
522.26	And through this we will have clean water.
525.26	(Applause)
529.26	I think it's safe to say that all of us here
531.26	are deeply concerned about the escalating violence in our daily lives.
536.26	While universities are trying to devise courses in conflict resolution,
539.26	and governments are trying to stop skirmishes at borders,
543.26	we are surrounded by violence, whether it's road rage,
546.26	or whether it's domestic violence,
548.26	whether it's a teacher beating up a student and killing her
552.26	because she hasn't done her homework, it's everywhere.
555.26	So, why are we not doing something
557.26	to actually attend that problem on a day to day basis?
559.26	What are we doing to try and make children
562.26	and young people realize
564.26	that violence is something that we indulge in,
567.26	that we can stop,
569.26	and that there are other ways of actually
571.26	taking violence, taking anger, taking frustrations
575.26	into different things that do not harm other people.
578.26	Well, here is one such way.
581.26	(Video) (Laughs) You are peaceful people.
586.26	Your parents were peaceful people.
590.26	Your grandparents were peaceful people.
594.26	So much peace in one place?
598.26	How could it be otherwise?
601.26	(Music)
605.26	But, what if ...
610.26	Yes. What if ...
615.26	One little gene in you
617.26	has been trying to get through?
620.26	From your beginnings in Africa,
622.26	through each generation, may be passed on to you,
625.26	in your creation. It's a secret urge, hiding deep in you.
629.26	And if it's in you, then it's in me too. Oh, dear.
635.26	It's what made you smack your baby brother,
639.26	stamp on a cockroach, scratch your mother.
642.26	It's the feeling that wells up from deep inside,
645.26	when your husband comes home drunk and you wanna tan his hide.
650.26	Want to kill that cyclist on the way to work,
653.26	and string up your cousin 'cause she's such a jerk. Oh, dear.
660.26	And as for outsiders, white, black or brown,
663.26	tar and feather them, and whip them out of town.
666.26	It's that little gene. It's small and it's mean.
669.26	Too small for detection, it's your built-in protection.
673.26	Adrenaline, kill. It'll give you the will.
676.26	Yes, you'd better face it 'cause you can't displace it.
679.26	You're V-I-O-L-E-N-T.
682.26	Cause you're either a victim, or on top, like me.
702.26	Goodbye, Abraham Lincoln.
707.26	Goodbye, Mahatma Gandhi.
711.26	Goodbye, Martin Luther King.
715.26	Hello, gangs from this neighborhood
719.26	killing gangs from that neighborhood.
723.26	Hello governments of rich countries
726.26	selling arms to governments of poor countries
730.26	who can't even afford to give them food.
734.26	Hello civilization. Hello, 21st century.
739.26	Look what we've ...
744.26	look what they've done.
749.26	(Applause)
755.26	Mainstream art, cinema,
758.26	has been used across the world to talk about social issues.
762.26	A few years ago we had a film called Rang De Basanti,
765.26	which suddenly spawned thousands of young people
769.26	wanting to volunteer for social change.
771.26	In Venezuela, one of the most popular
773.26	soap operas has a heroine called Crystal.
775.26	And when, onscreen, Crystal got breast cancer,
785.26	"And of course, ""The Vagina Monologues"" we know about."
787.26	And there are stand-up comics
789.26	who are talking about racial issues, about ethnic issues.
792.26	So, why is it,
794.26	that if we think that we all agree
797.26	that we need a better world,
799.26	we need a more just world,
801.26	why is it that we are not using the one language
803.26	that has consistently showed us
805.26	that we can break down barriers, that we can reach people?
809.26	What I need to say to the planners of the world,
812.26	the governments, the strategists
814.26	"is, ""You have treated the arts as the cherry on the cake."
819.26	"It needs to be the yeast."""
821.26	Because, any future planning,
824.26	if 2048 is when we want to get there,
827.26	unless the arts are put with the scientists,
830.26	with the economists,
832.26	with all those who prepare for the future, badly,
837.26	we're not going to get there.
840.26	And unless this is actually internalized, it won't happen.
