startsecond	text
16.379	You may have heard
16.379	about the Koran's idea of paradise
19.832	being 72 virgins,
22.135	and I promise I will come back
22.135	to those virgins.
25.112	But in fact, here in the Northwest,
25.112	we're living very close
28.09	to the real Koranic idea of paradise,
30.717	"defined 36 times as ""gardens"
30.717	"watered by running streams."""
37.16	Since I live on a houseboat
37.16	on the running stream of Lake Union,
41.421	this makes perfect sense to me.
43.667	But the thing is, how come
43.667	it's news to most people?
47.967	I know many well-intentioned non-Muslims
50.16	who've begun reading
50.16	the Koran, but given up,
52.851	"disconcerted by its ""otherness."""
56.172	The historian Thomas Carlyle
56.172	considered Muhammad
58.924	one of the world's greatest heroes,
60.924	yet even he called the Koran
63.36	"""as toilsome reading as I ever undertook;"
63.36	"a wearisome, confused jumble."""
68.75	(Laughter)
71.05	Part of the problem,
71.05	I think, is that we imagine
74.08	that the Koran can be read
74.08	as we usually read a book --
77.76	as though we can curl up
77.76	with it on a rainy afternoon
80.76	with a bowl of popcorn within reach,
82.76	as though God --
84.304	and the Koran is entirely in the voice
84.304	of God speaking to Muhammad --
88.07	were just another author
88.07	on the best-seller list.
92.935	Yet, the fact that so few people
92.935	do actually read the Koran
97.012	is precisely why it's so easy to quote --
97.012	that is, to misquote.
102.298	(Laughter)
103.346	Phrases and snippets taken out of context
105.76	"in what I call the ""highlighter version,"""
107.86	which is the one favored
107.86	by both Muslim fundamentalists
110.971	and anti-Muslim Islamophobes.
114.256	So this past spring,
116.106	as I was gearing up to begin writing
116.106	a biography of Muhammad,
120.192	I realized I needed to read
120.192	the Koran properly --
124.45	as properly as I could, that is.
127.236	My Arabic is reduced by now
127.236	to wielding a dictionary,
130.37	so I took four well-known translations
132.76	and decided to read them
132.76	side by side, verse by verse,
136.949	along with a transliteration
136.949	and the original seventh-century Arabic.
144.072	Now, I did have an advantage.
147.743	My last book was about the story
147.743	behind the Shi'a-Sunni split,
152.435	and for that, I'd worked closely
152.435	with the earliest Islamic histories,
155.872	so I knew the events
155.872	to which the Koran constantly refers,
159.658	its frame of reference.
161.659	I knew enough, that is, to know
161.659	that I'd be a tourist in the Koran --
166.76	an informed one,
168.76	an experienced one, even,
170.259	but still an outsider,
172.632	an agnostic Jew reading
172.632	someone else's holy book.
176.478	(Laughter)
178.577	So I read slowly.
180.171	(Laughter)
184.68	I'd set aside three weeks
184.68	for this project,
