startsecond	text
15.26	Every presentation needs this slide in it.
18.26	(Laughter)
20.26	It's beautiful, isn't it?
22.26	Do you see?
24.26	All the points, all the lines --
26.26	it's incredible.
28.26	It is the network;
30.26	and in my case, the network has been important in media,
32.26	because I get to connect to people.
35.26	Isn't it amazing?
37.26	Through that, I connect to people.
40.26	And the way that I've been doing it
42.26	has been multifaceted.
44.26	For example, I get people to dress up their vacuum cleaners.
47.26	(Laughter)
52.26	I put together projects like Earth Sandwich,
54.26	where I ask people
56.26	to try and simultaneously place
58.26	two pieces of bread
60.26	perfectly opposite each other on the Earth.
62.26	And people started laying bread in tribute,
65.26	and eventually a team was able to do it
67.26	between New Zealand and Spain.
70.26	It's pretty incredible -- the video's online.
73.26	Connecting to people in projects
75.26	like YoungmeNowme for example.
77.26	In YoungmeNowme, the audience was asked
79.26	to find a childhood photograph of themselves
82.26	and restage it as an adult.
85.26	(Laughter)
97.26	This is the same person --
99.26	top photo, James, bottom photo, [Jennifer].
102.26	Poignant.
104.26	This was a Mother's Day gift.
106.26	(Laughter)
108.26	Particularly creepy.
110.26	(Applause)
112.26	(Laughter)
114.26	My favorite of these photos, which I couldn't find,
116.26	is there's a picture of a 30 year-old woman or so
119.26	with a little baby on her lap,
121.26	and the next photo is a 220-lb man
124.26	with a tiny, little old lady peaking over his shoulder.
128.26	But this project changed the way
130.26	that I thought about connecting to people.
132.26	This is project called Ray.
134.26	And what happened was I was sent this piece of audio
137.26	and had no idea who generated the audio.
139.26	"Somebody said, ""You have to listen to this."""
142.26	And this is what came to me.
144.26	Recording: Hi, my name is Ray,
146.26	and on yesterday my daughter called me
148.26	because she was stressed out
150.26	because of things that were going on on her job
152.26	that she felt was quite unfair.
155.26	Being quite disturbed, she called for comfort,
157.26	and I didn't really know what to tell her,
159.26	because we have to deal with so much mess in our society.
162.26	So I was led to write this song just for her,
166.26	just to give her some encouragement
168.26	while dealing with stress and pressures on her job.
171.26	And I figured I'd put it on the Internet
173.26	for all employees under stress
175.26	to help you better deal with what you're going through on your job.
178.26	Here's how the song goes.
180.26	♫ I'm about to whip somebody's ass ♫
186.26	♫ Oh, I'm about to whip somebody's ass ♫
194.26	♫ Oh, if you don't leave me alone, ♫
198.26	♫ you gonna have to send me home ♫
201.26	♫ 'Cause I'm about to whip somebody's ass ♫
206.26	Now you might not be able to sing that out loud,
209.26	but you can hum it to yourself, and you know what the words are.
212.26	And let it give you some strength to get the next few moments on your job.
215.26	All right. Stay strong. Peace.
218.26	Ze Frank: So -- yeah.
220.26	No, no, no, shush. We've got to go quickly.
224.26	So I was so moved by this --
226.26	this is incredible. This was connecting, right.
228.26	This was, at a distance,
230.26	realizing that someone was feeling something,
232.26	wanting to affect them in a particular way,
234.26	using media to do it, putting it online
236.26	and realizing that there was a greater impact.
238.26	This was incredible; this is what I wanted to do.
240.26	So the first thing I thought of is we have to thank him.
242.26	"And I asked my audience, I said, ""Listen to this piece of audio."
244.26	We have to remix it. He's got a great voice.
247.26	It's actually in the key of B flat.
250.26	"And have to do something with it."""
252.26	Hundreds of remixes came back -- lots of different attempts.
255.26	One stood out in particular.
257.26	It was done by a guy named Goose.
260.26	Remix: ♫ I'm about to whip somebody's ass ♫
267.26	♫ Oh, I'm about to whip somebody's ass ♫
276.26	♫ Oh, if you don't leave me alone, ♫
280.26	♫ You gonna have to send me home ♫
284.26	♫ Cuz I'm about to whip somebody's ass ♫
299.26	♫ I'm about to whip some ♫ --
303.26	ZF: Great, so it was incredible.
305.26	That song -- (Applause) Thank you.
308.26	So that song, somebody told me that it was at a baseball game
311.26	in Kansas City.
313.26	In the end,
315.26	it was one of the top downloads
317.26	on a whole bunch of music streaming services.
319.26	"And so I said, ""Let's put this together in an album."""
322.26	And the audience came together, and they designed an album cover.
324.26	"And I said, ""If you put it all on this, I'm going to deliver it to him,"
327.26	"if you can figure out who this person is,"""
330.26	because all I had was his name -- Ray --
333.26	and this little piece of audio
335.26	and the fact that his daughter was upset.
338.26	In two weeks, they found him.
340.26	I received and email and it said,
342.26	"""Hi, I'm Ray."
344.26	"I heard you were looking for me."""
346.26	(Laughter)
348.26	"And I was like, ""Yeah, Ray."
350.26	"It's been an interesting two weeks."""
353.26	And so I flew to St. Louis
355.26	and met Ray,
357.26	and he's a preacher --
359.26	(Laughter)
362.26	among other things.
364.26	So but anyways, here's the thing --
366.26	is it reminds me of this,
368.26	which is a sign that you see in Amsterdam on every street corner.
371.26	And it's sort of a metaphor for me for the virtual world.
374.26	I look at this photo, and he seems really interested
377.26	in what's going on with that button,
379.26	but it doesn't seem like he is really that interested in crossing the street.
382.26	(Laughter)
384.26	And it makes me think of this.
386.26	On street corners everywhere, people are looking at their cell phones,
389.26	and it's easy to dismiss this
391.26	as some sort of bad trend
393.26	in human culture.
395.26	But the truth is
397.26	life is being lived there.
399.26	When they smile --
401.26	right, you've seen people stop --
404.26	all of a sudden, life is being lived there,
406.26	somewhere up in that weird, dense network.
410.26	And this is it, right, to feel and be felt.
413.26	It's the fundamental force
415.26	that we're all after.
417.26	We can build all sorts of environments
419.26	to make it a little bit easier,
421.26	but ultimately, what we're trying to do
423.26	is really connect with one other person.
426.26	And that's not always going to happen in physical spaces.
428.26	It's also going to now happen in virtual spaces,
431.26	and we have to get better at figuring that out.
433.26	I think, of the people that build all this technology in the network,
436.26	a lot of them aren't very good
438.26	at connecting with people.
440.26	This is kind of like something I used to do
442.26	in third grade.
444.26	(Laughter)
446.26	So here's a series of projects
448.26	over the last few years
450.26	where I've been inspired by trying to figure out
453.26	how to really facilitate close connection.
456.26	Sometimes they're very, very simple things.
458.26	A Childhood Walk, which is a project
460.26	where I ask people to remember a walk
462.26	that they used to take as a child over and over again
465.26	that was sort of meaningless --
467.26	like on the route to the bus stop, to a neighbor's house,
470.26	and take it inside of Google Streetview.
472.26	And I promise you,
474.26	if you take that walk inside Google Streetview,
476.26	you come to a moment
478.26	where something comes back
480.26	and hits you in the face.
482.26	And I collected those moments --
484.26	the photos inside Google Streetview
486.26	and the memories, specifically.
488.26	"""Our conversation started with me saying, 'I'm bored,'"
491.26	and her replying, 'When I'm bored I eat pretzels.'
493.26	"I remember this distinctly because it came up a lot."""
496.26	"""Right after he told me and my brother"
498.26	he was going to be separating from my mom,
500.26	I remember walking to a convenience store
502.26	"and getting a cherry cola."""
504.26	"""They used some of the morbidly artist footage,"
506.26	a close-up of Chad's shoes in the middle of the highway.
508.26	I guess the shoes came off when he was hit.
511.26	He slept over at my house once, and he left his pillow.
514.26	It had 'Chad' written in magic marker on it.
516.26	He died long after he left the pillow at my house,
518.26	"but we never got around to returning it."""
520.26	Sometimes they're a little bit more abstract.
522.26	This is Pain Pack.
524.26	Right after September 11th, last year,
526.26	I was thinking about pain and the way that we disperse it,
528.26	the way that we excise it from our bodies.
531.26	So what I did is I opened up a hotline --
533.26	a hotline where people could leave voicemails of their pain,
536.26	not necessarily related to that event.
539.26	And people called in and left messages like this.
543.26	Recording: Okay, here's something.
547.26	I'm not alone,
549.26	and I am loved.
551.26	I'm really fortunate.
555.26	But sometimes I feel really lonely.
559.26	And when I feel that way
565.26	even the smallest act of kindness
568.26	can make me cry.
570.26	Like even people in convenience stores
572.26	"saying, ""Have a nice day,"""
575.26	when they're accidentally looking me in the eye.
581.26	ZF: So what I did was I took those voicemails,
583.26	and with their permission, converted them to MP3s
586.26	and distributed them to sound editors
588.26	who created short sounds
590.26	using just those voicemails.
594.26	And those were then distributed to DJs
597.26	who have made hundreds of songs
600.26	using that source material.
605.26	(Music)
607.26	We don't have time to play much of it.
609.26	You can look at it online.
611.26	"""From 52 to 48 with love"""
613.26	was a project around the time of the last election cycle,
616.26	where McCain and Obama both,
618.26	in their speeches after the election, talked about reconciliation,
621.26	"and I was like, ""What the hell"
623.26	"does that look like?"""
625.26	"So I thought, ""Well let's just give it a try."
627.26	"Let's have people hold up signs about reconciliation."""
630.26	And so some really nice things came together.
632.26	"""I voted blue. I voted red."
634.26	"Together, for our future."""
636.26	These are very, very cute little things right.
639.26	Some came from the winning party.
641.26	"""Dear 48, I promise to listen to you, to fight for you, to respect you always."""
644.26	Some came from the party who had just lost.
646.26	"""From a 48 to a 52, may your party's leadership be as classy as you,"
649.26	"but I doubt it."""
652.26	But the truth was that as this start becoming popular,
655.26	a couple rightwing blogs and some message boards
657.26	apparently found it to be a little patronizing,
659.26	which I could also see.
661.26	And so I started getting amazing amounts of hate mail,
664.26	death threats even.
666.26	And one guy in particular kept on writing me these pretty awful messages,
669.26	and he was dressed as Batman.
672.26	"And he said, ""I'm dressed as Batman to hide my identity."""
675.26	Just in case I thought the real Batman
677.26	was coming after me;
679.26	which actually made me feel a little better --
681.26	"like, ""Phew, it's not him."""
683.26	So what I did --
685.26	unfortunately, I was harboring all this kind of
687.26	awful experience and this pain inside of me,
690.26	and it started to eat away at my psyche.
693.26	And I was protecting the project from it, I realized. I was protecting it --
696.26	I didn't want this special, little group of photographs
699.26	to get sullied in some way.
701.26	So what I did, I took all those emails,
704.26	and I put them together into something called Angrigami,
707.26	which was an origami template
709.26	made out of this sort of vile stuff.
711.26	And I asked people to send me beautiful things
713.26	made out of the Angrigami.
715.26	(Laughter)
722.26	But this was the emotional moment.
725.26	One of my viewer's uncles died on a particular day
728.26	and he chose to commemorate it with a piece of hate.
731.26	It's amazing.
733.26	The last thing I'm going to tell you about is a series of projects
736.26	called Songs You Already Know,
739.26	where the idea was,
741.26	I was trying to figure out to address
743.26	particular kinds of emotions with group projects.
746.26	So one of them was fairly straightforward.
748.26	A guy said that his daughter got scared at night
750.26	and could I write a song for her, his daughter.
752.26	"And I said, ""Oh yeah,"
754.26	I'll try to write a mantra that she can sing to herself
756.26	"to help herself go to sleep."""
758.26	"And this was ""Scared."""
774.26	(Video) ♫ This is a song that I sing when I'm scared of something ♫
778.26	♫ I don't know why but it helps me get over it ♫
782.26	♫ The words of the song just move me along ♫
786.26	♫ And somehow I get over it ♫
790.26	♫ At least I don't suck at life ♫
793.26	♫ I keep on trying despite ♫
797.26	♫ At least I don't suck at life ♫
801.26	♫ I keep on trying despite ♫
804.26	♫ This is a song that I sing when I'm scared of something ♫
808.26	Okay, so I wrote that song, right. Thank you.
812.26	So the nice thing was is he walked by his daughter's room at some point,
815.26	and she actually was singing that song to herself.
817.26	"So I was like, ""Awesome. This is great."""
819.26	And then I got this email. And there's a little bit of a back story to this.
821.26	And I don't have much time.
823.26	But the idea was that at one point
825.26	I did a project called Facebook Me Equals You,
827.26	where I wanted to experience what it was like
829.26	to live as another person.
