startsecond	text
16.16	I thought I'd start with telling you or showing you the people who started [Jet Propulsion Lab].
20.16	When they were a bunch of kids,
22.16	they were kind of very imaginative, very adventurous,
25.16	as they were trying at Caltech to mix chemicals
27.16	and see which one blows up more.
29.16	Well, I don't recommend that you try to do that now.
32.16	Naturally, they blew up a shack, and Caltech, well, then,
34.16	hey, you go to the Arroyo and really do all your tests in there.
38.16	So, that's what we call our first five employees
41.16	during the tea break, you know, in here.
44.16	As I said, they were adventurous people.
46.16	As a matter of fact, one of them, who was, kind of, part of a cult
50.16	which was not too far from here on Orange Grove,
54.16	and unfortunately he blew up himself because he kept mixing chemicals
58.16	and trying to figure out which ones were the best chemicals.
60.16	So, that gives you a kind of flavor
62.16	of the kind of people we have there.
63.16	We try to avoid blowing ourselves up.
65.16	This one I thought I'd show you.
67.16	Guess which one is a JPL employee in the heart of this crowd.
70.16	I tried to come like him this morning,
73.16	but as I walked out, then it was too cold,
75.16	and I said, I'd better put my shirt back on.
77.16	But more importantly, the reason I wanted to show this picture:
80.16	look where the other people are looking,
82.16	and look where he is looking.
85.16	Wherever anybody else looks, look somewhere else,
87.16	and go do something different, you know, and doing that.
90.16	And that's kind of what has been the spirit of what we are doing.
93.16	And I want to tell you a quote from Ralph Emerson
96.16	that one of my colleagues, you know, put on my wall in my office,
99.16	"and it says, ""Do not go where the path may lead."
102.16	"Go instead where there is no path, and leave a trail."""
104.16	And that's my recommendation to all of you:
106.16	look what everybody is doing, what they are doing;
108.16	go do something completely different.
110.16	Don't try to improve a little bit on what somebody else is doing,
113.16	because that doesn't get you very far.
115.16	In our early days we used to work a lot on rockets,
118.16	but we also used to have a lot of parties, you know.
120.16	As you can see, one of our parties, you know, a few years ago.
124.16	But then a big difference happened about 50 years ago,
127.16	after Sputnik was launched. We launched the first American satellite,
131.16	and that's the one you see on the left in there.
133.16	And here we made 180 degrees change:
135.16	we changed from a rocket house to be an exploration house.
139.16	And that was done over a period of a couple of years,
142.16	and now we are the leading organization, you know,
144.16	exploring space on all of your behalf.
147.16	But even when we did that, we had to remind ourselves,
150.16	sometimes there are setbacks.
