startsecond	text
12.16	(Applause)
18.16	AIDS was discovered 1981; the virus, 1983.
23.16	These Gapminder bubbles show you
25.16	how the spread of the virus was in 1983 in the world,
29.16	or how we estimate that it was.
31.16	What we are showing here is --
33.16	on this axis here, I'm showing percent of infected adults.
40.16	And on this axis, I'm showing dollars per person in income.
45.16	And the size of these bubbles, the size of the bubbles here,
49.16	that shows how many are infected in each country,
52.16	and the color is the continent.
54.16	Now, you can see United States, in 1983,
56.16	had a very low percentage infected,
59.16	but due to the big population, still a sizable bubble.
63.16	There were quite many people infected in the United States.
66.16	And, up there, you see Uganda.
68.16	They had almost five percent infected,
71.16	and quite a big bubble in spite of being a small country, then.
74.16	And they were probably the most infected country in the world.
79.16	Now, what has happened?
81.16	Now you have understood the graph
83.16	and now, in the next 60 seconds,
86.16	we will play the HIV epidemic in the world.
89.16	But first, I have a new invention here.
94.16	(Laughter)
99.16	I have solidified the beam of the laser pointer.
103.16	(Laughter)
106.16	(Applause)
112.16	So, ready, steady, go!
116.16	First, we have the fast rise in Uganda and Zimbabwe.
120.16	They went upwards like this.
122.16	In Asia, the first country to be heavily infected was Thailand --
126.16	they reached one to two percent.
128.16	Then, Uganda started to turn back,
130.16	whereas Zimbabwe skyrocketed,
132.16	and some years later South Africa had a terrible rise of HIV frequency.
136.16	Look, India got many infected,
138.16	but had a low level.
140.16	And almost the same happens here.
142.16	See, Uganda coming down, Zimbabwe coming down,
145.16	Russia went to one percent.
147.16	In the last two to three years,
150.16	we have reached a steady state of HIV epidemic in the world.
157.16	But, steady state doesn't mean that things are getting better,
160.16	it's just that they have stopped getting worse.
163.16	And it has -- the steady state is, more or less,
167.16	one percent of the adult world population is HIV-infected.
171.16	It means 30 to 40 million people,
174.16	the whole of California -- every person,
176.16	that's more or less what we have today in the world.
178.16	Now, let me make a fast replay of Botswana.
183.16	Botswana -- upper middle-income country in southern Africa,
187.16	democratic government, good economy,
190.16	and this is what happened there.
192.16	They started low, they skyrocketed,
194.16	they peaked up there in 2003,
197.16	and now they are down.
199.16	But they are falling only slowly,
201.16	because in Botswana, with good economy and governance,
203.16	they can manage to treat people.
206.16	And if people who are infected are treated, they don't die of AIDS.
209.16	These percentages won't come down
212.16	because people can survive 10 to 20 years.
214.16	So there's some problem with these metrics now.
217.16	But the poorer countries in Africa, the low-income countries down here,
221.16	there the rates fall faster, of the percentage infected,
227.16	because people still die.
229.16	In spite of PEPFAR, the generous PEPFAR,
232.16	all people are not reached by treatment,
235.16	and of those who are reached by treatment in the poor countries,
237.16	only 60 percent are left on treatment after two years.
240.16	It's not realistic with lifelong treatment
244.16	for everyone in the poorest countries.
246.16	But it's very good that what is done is being done.
249.16	But focus now is back on prevention.
253.16	It is only by stopping the transmission
256.16	that the world will be able to deal with it.
259.16	Drugs is too costly -- had we had the vaccine,
261.16	or when we will get the vaccine, that's something more effective --
264.16	but the drugs are very costly for the poor.
266.16	Not the drug in itself, but the treatment
268.16	and the care which is needed around it.
272.16	So, when we look at the pattern,
275.16	one thing comes out very clearly:
277.16	you see the blue bubbles
279.16	and people say HIV is very high in Africa.
281.16	I would say, HIV is very different in Africa.
284.16	You'll find the highest HIV rate in the world
288.16	in African countries,
290.16	and yet you'll find Senegal, down here --
292.16	the same rate as United States.
294.16	And you'll find Madagascar,
296.16	and you'll find a lot of African countries
298.16	about as low as the rest of the world.
301.16	It's this terrible simplification that there's one Africa
305.16	and things go on in one way in Africa.
307.16	We have to stop that.
309.16	It's not respectful, and it's not very clever
312.16	to think that way.
314.16	(Applause)
318.16	I had the fortune to live and work for a time in the United States.
321.16	I found out that Salt Lake City and San Francisco were different.
325.16	(Laughter)
327.16	And so it is in Africa -- it's a lot of difference.
330.16	So, why is it so high? Is it war?
332.16	No, it's not. Look here.
334.16	War-torn Congo is down there -- two, three, four percent.
337.16	And this is peaceful Zambia, neighboring country -- 15 percent.
341.16	And there's good studies of the refugees coming out of Congo --
344.16	they have two, three percent infected,
346.16	and peaceful Zambia -- much higher.
348.16	There are now studies clearly showing
350.16	that the wars are terrible, that rapes are terrible,
353.16	but this is not the driving force for the high levels in Africa.
356.16	So, is it poverty?
358.16	Well if you look at the macro level,
360.16	it seems more money, more HIV.
362.16	But that's very simplistic,
365.16	so let's go down and look at Tanzania.
367.16	I will split Tanzania in five income groups,
371.16	from the highest income to the lowest income,
373.16	and here we go.
375.16	The ones with the highest income, the better off -- I wouldn't say rich --
378.16	they have higher HIV.
380.16	The difference goes from 11 percent down to four percent,
383.16	and it is even bigger among women.
385.16	There's a lot of things that we thought, that now, good research,
389.16	done by African institutions and researchers
392.16	together with the international researchers, show that that's not the case.
395.16	So, this is the difference within Tanzania.
397.16	And, I can't avoid showing Kenya.
399.16	Look here at Kenya.
401.16	I've split Kenya in its provinces.
403.16	Here it goes.
405.16	See the difference within one African country --
408.16	it goes from very low level to very high level,
411.16	and most of the provinces in Kenya is quite modest.
414.16	So, what is it then?
416.16	Why do we see this extremely high levels in some countries?
420.16	Well, it is more common with multiple partners,
423.16	there is less condom use,
426.16	and there is age-disparate sex --
429.16	that is, older men tend to have sex with younger women.
432.16	We see higher rates in younger women than younger men
435.16	in many of these highly affected countries.
437.16	But where are they situated?
439.16	I will swap the bubbles to a map.
441.16	Look, the highly infected are four percent of all population
445.16	and they hold 50 percent of the HIV-infected.
448.16	HIV exists all over the world.
451.16	Look, you have bubbles all over the world here.
453.16	Brazil has many HIV-infected.
456.16	Arab countries not so much, but Iran is quite high.
459.16	They have heroin addiction and also prostitution in Iran.
463.16	India has many because they are many.
465.16	Southeast Asia, and so on.
467.16	But, there is one part of Africa --
469.16	and the difficult thing is, at the same time,
471.16	not to make a uniform statement about Africa,
475.16	not to come to simple ideas of why it is like this, on one hand.
479.16	On the other hand, try to say that this is not the case,
482.16	because there is a scientific consensus about this pattern now.
486.16	UNAIDS have done good data available, finally,
489.16	about the spread of HIV.
492.16	It could be concurrency.
495.16	It could be some virus types.
498.16	It could be that there is other things
502.16	which makes transmission occur in a higher frequency.
505.16	After all, if you are completely healthy and you have heterosexual sex,
508.16	the risk of infection in one intercourse is one in 1,000.
513.16	Don't jump to conclusions now on how to
515.16	behave tonight and so on.
517.16	(Laughter)
519.16	But -- and if you are in an unfavorable situation,
522.16	more sexually transmitted diseases, it can be one in 100.
525.16	But what we think is that it could be concurrency.
528.16	And what is concurrency?
530.16	In Sweden, we have no concurrency.
532.16	We have serial monogamy.
534.16	Vodka, New Year's Eve -- new partner for the spring.
