startsecond	text
26	Welcome to Africa! Or rather, I should say, welcome home.
30	Because this is where it all really began, isn't it?
33	Looking at fossils dating back several millions of years --
36	it all points to evidence that life
38	for the human species as we know it began right here.
44	We are on an amazing journey the next four days.
48	"You're going to hear stories of ""Africa: The Next Chapter."""
52	Fantastic tales, anecdotes from speakers.
54	But I want to turn that upside down for a moment,
58	and get something out on the table and clear the air so to say.
63	What's the worst thing you've ever heard about Africa?
66	And this is not a rhetorical question.
67	I actually want answers from you.
70	Go for it! The worst.
73	Famine.
75	Corruption.
77	More.
79	Genocide.
81	AIDS.
84	Slavery.
88	That's enough.
90	We've all heard these things.
92	But this is about Africa, the story we have not heard.
96	The stories that we want to know,
98	and the stories that do exist about positive tales.
102	A part of my talk is going to be about investment opportunities
106	that exist on this continent,
108	to separate the rhetoric from the reality, the fact from the fiction.
112	To go to the actual data and statistics that exist
115	about the actual things that are happening on the ground
118	that make Africa a realistic investment opportunity and option for you.
125	So let's get going because Africa,
126	to some degree, is on a turnaround.
130	A turnaround in terms of how it manages its image,
134	and how it takes control of its own destiny.
137	And turnarounds are part and parcel
139	of what I have focused on for most of my professional career.
143	And it all started almost a decade ago,
146	as a young consultant at McKinsey &amp; Company
148	at their first African office in Johannesburg.
151	And there we worked with leading CEOs
154	on African issues, and African companies on turnarounds,
157	making the companies not just the best in Africa
160	but the best globally.
162	But I really formalized this focus on turnarounds
166	when I was completing my MBA in the United States.
169	It all began with a fantastic phone call.
171	It was from Rosabeth Moss Kanter,
174	Harvard Business School guru and a professor of mine.
176	"And she said, ""I want to write a case, Euvin --"
179	a case on a public-sector leader
181	"that has lessons for the corporate world."""
185	And the leader that came to mind was Nelson Mandela.
189	Because Nelson Mandela, as he took over power
192	as the first democratically-elected president of South Africa,
195	faced a situation of a country
197	that could have slid into the abyss of chaos.
200	But he started the country on a path of a positive cycle.
204	"Now the case, ""Nelson Mandela: Change Leader,"""
207	became part of the research base for a chapter
210	"in Rosabeth's new book called ""Confidence."""
214	"And ""Confidence"" became a New York Times bestseller"
218	and topped Business Week's hardcover bestseller list.
221	And why I tell you this story is because later, when I was interviewed
224	on SABC Africa, on a pan-African broadcast, they asked,
227	"""What is your key lesson, or the key thing you enjoy the most?"" --"
231	because it was a huge privilege to be part of such a project.
234	The lesson from that was that it was Africa -- an African story --
239	that was used to share news with the rest of the world
243	of what the benchmark can be for corporate turnarounds.
246	Africa was being used as a success story!
251	So I want to share with you a personal story
253	about a turnaround or a transformation.
255	And that has to do with me
257	because in 1994, I packed a few things into a backpack
261	and headed off for a year of travel
263	in the middle of my university career.
266	You should have seen my parents' reaction!
268	(Laughter)
269	But very soon, I found myself from the southern part of Africa,
273	in South Africa -- at the very north, in Egypt.
276	And I sought out the most remote places.
278	I went to the Siwa Oasis. That was one of my stops.
281	And the Siwa Oasis is famous for several things,
283	but the key thing is that it was the place
285	that Alexander the Great went to
288	when he wanted to find out what his destiny had in store for him.
291	And legend has it that Alexander trekked through this desert.
294	Half his battalion was wiped out in the sandstorm.
297	And myth says that he had an audience with the oracle,
300	and it foretold his destiny of greatness.
303	This was 300 BC.
305	So Africa had long been seen as a place to go to for answers.
311	Now, the thing I remember about Siwa
314	was the magical view of the sky at night.
317	With no natural light source, Siva is one of these amazing places
320	that when you look up you see a perfect tapestry.
324	Fast forward to 2002.
326	I'm sitting in Cambridge, Massachusetts
328	at the Healthcare Development Conference.
330	And I see the same picture, but from the opposite side.
333	A satellite picture looking down at the earth.
338	And it was that picture that made such a profound impact on me
341	because I'll never forget it. I remember the very moment.
344	And I wanted to share that image with you of what I saw at that point.
350	The first thing that I saw was North America at night --
355	glowing, in all its glory. A warm feeling. Light.
365	"And then I saw it -- Africa. Quite literally the ""Dark Continent."""
375	And while Africa may be dark,
377	the thing that brought the message home to me
380	was that this is the challenge we are facing,
383	but it's also the opportunity.
386	Because whilst Africa may be dark -- other than the few specks
389	that exist north and in the south and other areas --
393	it's aglow with the light in the hearts
395	of the millions of people that are there.
397	Entrepreneurs, dynamic people, people with hope.
401	It was George Kimble, the geographer, who said
404	"that, ""The only thing dark about Africa is our ignorance of it."""
409	So let's start shedding light on this amazing eclectic continent
413	that has so much to offer.
415	Let's start unpacking it.
420	Africa is the second-largest continent, a landmass second from Asia.
427	It also is the second most populated continent,
429	with 900 million people.
431	In fact -- coming back to the land mass -- Africa is so big
434	that you could fit in the continental United States,
437	China, and the entire Europe into Africa, and still have space.
442	Africa is home to over 1,000 languages --
445	2,000 is another estimate that's out there --
448	with over 2,000 languages and dialects.
451	"But you could say, ""Invest in Africa in over 1,000 languages,"
455	"and it wouldn't make a difference."""
458	What does the data say?
460	As an investment banker, I'm in the cross-flow of information
464	and the changes that are taking place in capital markets.
467	So I want to share with you some of these bellwether signals, or signs,
470	and winds of change that are sweeping this continent.
472	So let's start on that.
474	And let's start at the high level, on the macro-factors.
476	Inflation, in general, is coming down across Africa --
479	that's the first sign --
481	in many countries reaching double-digit figures.
483	So let's start looking at some of those.
485	I call it my Z.E.N. cluster.
487	Zambia: from 2004 to 2006, moves from the 18 percent in inflation
492	to the nine percent.
494	Egypt: from the 16 percent to about 8.4 percent.
