startsecond	text
12.42	Imagine that when you walked
12.42	in here this evening,
15.26	you discovered that everybody in the room
15.26	looked almost exactly the same:
20.1	ageless, raceless,
22.06	generically good-looking.
24.1	That person sitting right next to you
26.1	might have the most
26.1	idiosyncratic inner life,
28.26	but you don't have a clue
29.54	because we're all wearing
29.54	the same blank expression all the time.
34.78	That is the kind of creepy transformation
34.78	that is taking over cities,
39.74	only it applies to buildings, not people.
43.3	Cities are full of roughness and shadow,
49.3	texture and color.
50.54	You can still find architectural surfaces
50.54	of great individuality and character
57.18	in apartment buildings in Riga
59.9	and Yemen,
62.34	social housing in Vienna,
64.82	Hopi villages in Arizona,
67.22	brownstones in New York,
69.34	wooden houses in San Francisco.
71.62	These aren't palaces or cathedrals.
73.9	These are just ordinary residences
75.7	expressing the ordinary
75.7	splendor of cities.
79.3	And the reason they're like that
79.3	is that the need for shelter
82.62	is so bound up with
82.62	the human desire for beauty.
88.42	Their rough surfaces
88.42	give us a touchable city.
92.66	Right? Streets that you can read
94.26	by running your fingers
94.26	over brick and stone.
97.42	But that's getting harder to do,
100.02	because cities are becoming smooth.
103.5	New downtowns sprout towers
105.58	that are almost always
105.58	made of concrete and steel
107.94	and covered in glass.
110.74	You can look at skylines
110.74	all over the world --
113.62	Houston,
115.46	Guangzhou,
117.26	Frankfurt --
119.26	and you see the same army
119.26	of high-gloss robots
122.7	marching over the horizon.
125.38	Now, just think of everything we lose
127.54	when architects stop using
127.54	the full range of available materials.
132.62	When we reject granite
132.62	and limestone and sandstone
136.38	and wood and copper
136.38	and terra-cotta and brick
138.58	and wattle and plaster,
140.94	we simplify architecture
143.1	and we impoverish cities.
145.7	It's as if you reduced
145.7	all of the world's cuisines
149.42	down to airline food.
151.38	(Laughter)
152.46	Chicken or pasta?
155.26	But worse still,
157.58	assemblies of glass towers
157.58	like this one in Moscow
161.18	suggest a disdain for the civic
161.18	and communal aspects of urban living.
166.1	Right? Buildings like these are intended
166.1	to enrich their owners and tenants,
171.18	but not necessarily
171.18	the lives of the rest of us,
173.78	those of us who navigate
173.78	the spaces between the buildings.
178.26	And we expect to do so for free.
181.62	Shiny towers are an invasive species
184.9	and they are choking our cities
184.9	and killing off public space.
189.14	We tend to think of a facade
189.14	as being like makeup,
192.62	a decorative layer applied at the end
192.62	to a building that's effectively complete.
196.98	But just because a facade is superficial
199.54	doesn't mean it's not also deep.
201.82	Let me give you an example
204.02	of how a city's surfaces
204.02	affect the way we live in it.
207.06	When I visited Salamanca in Spain,
209.98	I gravitated to the Plaza Mayor
212.26	at all hours of the day.
213.7	Early in the morning,
213.7	sunlight rakes the facades,
216.7	sharpening shadows,
218.42	and at night, lamplight
218.42	segments the buildings
221.74	into hundreds of distinct areas,
224.34	balconies and windows and arcades,
226.74	each one a separate pocket
226.74	of visual activity.
230.5	That detail and depth, that glamour
234.46	gives the plaza a theatrical quality.
238.82	It becomes a stage
238.82	where the generations can meet.
241.98	You have teenagers
241.98	sprawling on the pavers,
245.38	seniors monopolizing the benches,
248.22	and real life starts to look
248.22	like an opera set.
252.14	The curtain goes up on Salamanca.
255.34	So just because I'm talking
255.34	about the exteriors of buildings,
260.34	not form, not function, not structure,
264.58	even so those surfaces
264.58	give texture to our lives,
269.219	because buildings
269.219	create the spaces around them,
272.14	and those spaces can draw people in
275.18	or push them away.
277.1	And the difference often has to do
277.1	with the quality of those exteriors.
280.82	So one contemporary equivalent
280.82	of the Plaza Mayor in Salamanca
284.58	is the Place de la Défense in Paris,
287.7	a windswept, glass-walled open space
291.34	that office workers hurry through
293.14	on the way from the metro
293.14	to their cubicles
295.66	but otherwise spend
295.66	as little time in as possible.
299.94	In the early 1980s,
299.94	the architect Philip Johnson
303.26	tried to recreate a gracious
303.26	European plaza in Pittsburgh.
307.5	This is PPG Place,
309.02	a half acre of open space
309.02	encircled by commercial buildings
314.26	made of mirrored glass.
315.74	And he ornamented those buildings
315.74	with metal trim and bays
319.18	and Gothic turrets
321.14	which really pop on the skyline.
323.7	But at ground level,
326.34	the plaza feels like a black glass cage.
329.9	I mean, sure, in summertime
331.78	kids are running back and forth
331.78	through the fountain
334.26	and there's ice-skating in the winter,
336.26	but it lacks the informality
336.26	of a leisurely hangout.
339.5	It's just not the sort of place
339.5	you really want to just hang out and chat.
347.3	Public spaces thrive or fail
347.3	for many different reasons.
351.06	Architecture is only one,
353.3	but it's an important one.
355.66	Some recent plazas
357.02	like Federation Square in Melbourne
360.46	or Superkilen in Copenhagen
363.78	succeed because they combine old and new,
367.18	rough and smooth,
369.22	neutral and bright colors,
371.1	and because they don't rely
371.1	excessively on glass.
375.82	Now, I'm not against glass.
379.62	It's an ancient and versatile material.
