startsecond	text
20.566	Good morning.
22.853	I'm here today to talk
22.853	about autonomous flying beach balls.
27.03	(Laughter)
28.062	No, agile aerial robots like this one.
31.624	I'd like to tell you a little bit
31.624	about the challenges in building these,
35.108	and some of the terrific opportunities
35.108	for applying this technology.
38.957	So these robots are related
38.957	to unmanned aerial vehicles.
44.199	However, the vehicles
44.199	you see here are big.
47.318	They weigh thousands of pounds,
47.318	are not by any means agile.
50.611	They're not even autonomous.
52.886	In fact, many of these vehicles
52.886	are operated by flight crews
57.092	that can include multiple pilots,
59.676	operators of sensors,
61.906	and mission coordinators.
63.922	What we're interested in
63.922	is developing robots like this --
66.689	and here are two other pictures --
68.403	of robots that you can buy off the shelf.
71.11	So these are helicopters with four rotors,
74.418	and they're roughly
74.418	a meter or so in scale,
78.132	and weigh several pounds.
80.076	And so we retrofit these
80.076	with sensors and processors,
83.455	and these robots can fly indoors.
85.685	Without GPS.
87.457	The robot I'm holding in my hand
89.369	is this one,
91.043	and it's been created by two students,
94.21	Alex and Daniel.
96.493	So this weighs a little more
96.493	than a tenth of a pound.
99.632	It consumes about 15 watts of power.
102.235	And as you can see,
102.235	it's about eight inches in diameter.
106.33	So let me give you
106.33	just a very quick tutorial
108.949	on how these robots work.
111.043	So it has four rotors.
112.26	If you spin these rotors
112.26	at the same speed,
114.332	the robot hovers.
116.42	If you increase the speed
116.42	of each of these rotors,
120.08	then the robot flies up,
120.08	it accelerates up.
122.643	Of course, if the robot were tilted,
125.099	inclined to the horizontal,
126.433	then it would accelerate
126.433	in this direction.
129.686	So to get it to tilt,
131.123	there's one of two ways of doing it.
133.24	So in this picture, you see
133.24	that rotor four is spinning faster
136.9	and rotor two is spinning slower.
138.892	And when that happens,
140.476	there's a moment that causes
140.476	this robot to roll.
144.495	And the other way around,
145.774	if you increase the speed of rotor three
145.774	and decrease the speed of rotor one,
151.377	then the robot pitches forward.
153.82	And then finally,
155.012	if you spin opposite pairs of rotors
157.93	faster than the other pair,
159.646	then the robot yaws
159.646	about the vertical axis.
162.391	So an on-board processor
163.875	essentially looks at what motions
163.875	need to be executed
167.206	and combines these motions,
169.2	and figures out what commands
169.2	to send to the motors --
173.77	That's basically how this thing operates.
176.247	So one of the advantages of this design
178.413	is when you scale things down,
180.336	the robot naturally becomes agile.
183.194	So here, R is the characteristic
183.194	length of the robot.
187.281	It's actually half the diameter.
189.595	And there are lots of physical parameters
189.595	that change as you reduce R.
194.968	The one that's most important
194.968	is the inertia,
197.623	or the resistance to motion.
199.568	So it turns out the inertia,
199.568	which governs angular motion,
204.068	scales as a fifth power of R.
207.046	So the smaller you make R,
208.766	the more dramatically the inertia reduces.
211.956	So as a result, the angular acceleration,
214.915	denoted by the Greek letter alpha here,
216.978	goes as 1 over R.
218.621	It's inversely proportional to R.
220.374	The smaller you make it,
220.374	the more quickly you can turn.
224.219	So this should be clear in these videos.
226.204	On the bottom right, you see a robot
226.204	performing a 360-degree flip
230.687	in less than half a second.
232.656	Multiple flips, a little more time.
236.259	So here the processes on board
238.164	are getting feedback from accelerometers
238.164	and gyros on board,
241.372	and calculating, like I said before,
243.514	commands at 600 times a second,
245.347	to stabilize this robot.
247.607	So on the left, you see Daniel
247.607	throwing this robot up into the air,
250.981	and it shows you
250.981	how robust the control is.
253.032	No matter how you throw it,
254.366	the robot recovers and comes back to him.
258.881	So why build robots like this?
261.079	Well, robots like this
261.079	have many applications.
264.198	You can send them
264.198	inside buildings like this,
266.693	as first responders to look for intruders,
270.304	maybe look for biochemical leaks,
273.629	gaseous leaks.
275.102	You can also use them
275.102	for applications like construction.
278.84	So here are robots carrying beams, columns
283.388	and assembling cube-like structures.
285.26	I'll tell you a little bit
285.26	more about this.
288.695	The robots can be used
288.695	for transporting cargo.
291.583	So one of the problems
291.583	with these small robots
294.72	is their payload-carrying capacity.
296.745	So you might want to have
296.745	multiple robots carry payloads.
300.746	This is a picture of a recent
300.746	experiment we did --
303.125	actually not so recent anymore --
304.744	in Sendai, shortly after the earthquake.
307.938	So robots like this could be sent
307.938	into collapsed buildings,
311.153	to assess the damage
311.153	after natural disasters,
314.068	or sent into reactor buildings,
