startsecond	text
15.26	We are now going through an amazing and unprecedented moment
18.26	where the power dynamics between men and women
20.26	are shifting very rapidly,
23.26	and in many of the places where it counts the most,
25.26	women are, in fact, taking control of everything.
28.26	In my mother's day, she didn't go to college.
30.26	Not a lot of women did.
32.26	And now, for every two men who get a college degree,
35.26	three women will do the same.
37.26	Women, for the first time this year,
39.26	became the majority of the American workforce.
41.26	And they're starting to dominate lots of professions --
44.26	doctors, lawyers,
46.26	bankers, accountants.
48.26	Over 50 percent of managers are women these days,
51.26	and in the 15 professions
53.26	projected to grow the most in the next decade,
55.26	all but two of them are dominated by women.
57.26	So the global economy is becoming a place
59.26	where women are more successful than men,
61.26	believe it or not,
63.26	and these economic changes
65.26	are starting to rapidly affect our culture --
67.26	what our romantic comedies look like,
69.26	what our marriages look like,
71.26	what our dating lives look like,
73.26	and our new set of superheroes.
75.26	For a long time, this is the image of American manhood that dominated --
78.26	tough, rugged,
80.26	in control of his own environment.
82.26	A few years ago, the Marlboro Man was retired
84.26	and replaced by this
86.26	much less impressive specimen,
88.26	who is a parody of American manhood,
90.26	and that's what we have in our commercials today.
93.26	"The phrase ""first-born son"""
95.26	is so deeply ingrained in our consciousness
98.26	that this statistic alone shocked me.
100.26	In American fertility clinics,
104.26	are requesting girls and not boys.
106.26	And in places where you wouldn't think,
108.26	such as South Korea, India and China,
111.26	the very strict patriarchal societies
113.26	are starting to break down a little,
115.26	and families are no longer
117.26	strongly preferring first-born sons.
120.26	If you think about this, if you just open your eyes to this possibility
123.26	and start to connect the dots,
125.26	you can see the evidence everywhere.
127.26	You can see it in college graduation patterns,
129.26	in job projections,
131.26	in our marriage statistics,
133.26	you can see it in the Icelandic elections, which you'll hear about later,
136.26	and you can see it on South Korean surveys on son preference,
139.26	that something amazing and unprecedented
141.26	is happening with women.
143.26	Certainly this is not the first time that we've had great progress with women.
146.26	The '20s and the '60s also come to mind.
149.26	But the difference is that, back then,
151.26	it was driven by a very passionate feminist movement
154.26	that was trying to project its own desires,
156.26	whereas this time, it's not about passion,
158.26	and it's not about any kind of movement.
160.26	This is really just about the facts
162.26	of this economic moment that we live in.
164.26	The 200,000-year period
166.26	in which men have been top dog
168.26	is truly coming to an end, believe it or not,
171.26	"and that's why I talk about the ""end of men."""
174.26	Now all you men out there,
176.26	this is not the moment where you tune out or throw some tomatoes,
179.26	because the point is that this
181.26	is happening to all of us.
183.26	I myself have a husband and a father
186.26	and two sons whom I dearly love.
188.26	And this is why I like to talk about this,
190.26	because if we don't acknowledge it,
192.26	then the transition will be pretty painful.
194.26	But if we do take account of it,
196.26	then I think it will go much more smoothly.
199.26	I first started thinking about this about a year and a half ago.
202.26	I was reading headlines about the recession just like anyone else,
205.26	and I started to notice a distinct pattern --
207.26	that the recession was affecting men
210.26	much more deeply than it was affecting women.
212.26	And I remembered back to about 10 years ago
214.26	when I read a book by Susan Faludi
217.26	"called ""Stiffed: The Betrayal of the American Man,"""
220.26	in which she described how hard the recession had hit men,
223.26	and I started to think about
225.26	whether it had gotten worse this time around in this recession.
228.26	And I realized that two things were different this time around.
231.26	The first was that
233.26	these were no longer just temporary hits
235.26	that the recession was giving men --
237.26	that this was reflecting a deeper
239.26	underlying shift in our global economy.
241.26	And second, that the story was no longer
243.26	just about the crisis of men,
245.26	but it was also about what was happening to women.
247.26	And now look at this second set of slides.
249.26	These are headlines about what's been going on with women in the next few years.
252.26	These are things we never could have imagined a few years ago.
255.26	Women, a majority of the workplace.
257.26	And labor statistics: women take up most managerial jobs.
260.26	This second set of headlines --
262.26	you can see that families and marriages are starting to shift.
265.26	And look at that last headline --
267.26	young women earning more than young men.
269.26	That particular headline comes to me from a market research firm.
272.26	They were basically asked by one of their clients
275.26	who was going to buy houses in that neighborhood in the future.
278.26	And they expected that it would be young families,
280.26	or young men, just like it had always been.
282.26	But in fact, they found something very surprising.
284.26	It was young, single women
286.26	who were the major purchasers of houses in the neighborhood.
289.26	And so they decided, because they were intrigued by this finding,
292.26	to do a nationwide survey.
294.26	So they spread out all the census data,
296.26	and what they found, the guy described to me as a shocker,
299.26	which is that in 1,997
302.26	out of 2,000 communities,
304.26	women, young women,
306.26	were making more money than young men.
308.26	So here you have a generation of young women
310.26	who grow up thinking of themselves
312.26	as being more powerful earners
314.26	than the young men around them.
316.26	Now, I've just laid out the picture for you,
319.26	but I still haven't explained to you why this is happening.
322.26	And in a moment, I'm going to show you a graph,
324.26	and what you'll see on this graph --
326.26	it begins in 1973,
328.26	just before women start flooding the workforce,
330.26	and it brings us up to our current day.
333.26	And basically what you'll see
335.26	is what economists talk about
337.26	as the polarization of the economy.
339.26	Now what does that mean?
341.26	It means that the economy is dividing into high-skill, high-wage jobs
344.26	and low-skill, low-wage jobs --
346.26	and that the middle, the middle-skill jobs,
349.26	and the middle-earning jobs, are starting to drop out of the economy.
352.26	This has been going on for 40 years now.
354.26	But this process is affecting men
356.26	very differently than it's affecting women.
358.26	You'll see the women in red, and you'll see the men in blue.
361.26	You'll watch them both drop out of the middle class,
364.26	but see what happens to women and see what happens to men.
368.26	There we go.
370.26	So watch that. You see them both drop out of the middle class.
373.26	Watch what happens to the women. Watch what happens to the men.
376.26	The men sort of stagnate there,
378.26	while the women zoom up in those high-skill jobs.
380.26	So what's that about?
382.26	It looks like women got some power boost on a video game,
385.26	or like they snuck in some secret serum into their birth-control pills
388.26	that lets them shoot up high.
390.26	But of course, it's not about that.
392.26	What it's about is that the economy has changed a lot.
395.26	We used to have a manufacturing economy,
397.26	which was about building goods and products,
399.26	and now we have a service economy
402.26	and an information and creative economy.
404.26	Those two economies require very different skills,
407.26	and as it happens, women have been much better
409.26	at acquiring the new set of skills than men have been.
412.26	It used to be that you were
414.26	a guy who went to high school
416.26	who didn't have a college degree,
418.26	but you had a specific set of skills,
420.26	and with the help of a union,
422.26	you could make yourself a pretty good middle-class life.
424.26	But that really isn't true anymore.
426.26	This new economy is pretty indifferent
428.26	to size and strength,
430.26	which is what's helped men along all these years.
432.26	What the economy requires now
434.26	is a whole different set of skills.
436.26	You basically need intelligence,
438.26	you need an ability to sit still and focus,
441.26	to communicate openly,
443.26	to be able to listen to people
