startsecond	text
12.88	I'm here to recruit men
12.88	to support gender equality.
16.48	(Cheers)
19.64	Wait, wait. What?
22.68	What do men have to do
22.68	with gender equality?
25.52	Gender equality is about women, right?
27.52	I mean, the word gender is about women.
32.2	Actually, I'm even here speaking
32.2	as a middle class white man.
36.52	Now, I wasn't always
36.52	a middle class white man.
39.44	It all happened for me about 30 years ago
39.44	when I was in graduate school,
44.64	and a bunch of us graduate students
44.64	got together one day,
48.08	and we said, you know,
48.08	there's an explosion
50.76	of writing and thinking
50.76	in feminist theory,
54.52	but there's no courses yet.
56.44	So we did what graduate students
56.44	typically do in a situation like that.
59.798	We said, OK, let's have a study group.
62.48	We'll read a text, we'll talk about it,
65.08	we'll have a potluck dinner.
66.68	(Laughter)
68.2	So every week,
71.72	(Laughter)
74.52	We would read some text in feminist theory
74.52	and have a conversation about it.
78.48	And during one of our conversations,
80.72	I witnessed an interaction
80.72	that changed my life forever.
85.64	It was a conversation between two women.
88.64	One of the women was white,
88.64	and one was black.
92.92	And the white woman said --
94.28	this is going to sound
94.28	very anachronistic now --
96.64	"the white woman said, ""All women"
96.64	face the same oppression as women.
102.36	All women are similarly
102.36	situated in patriarchy,
105.2	and therefore all women have a kind
105.2	"of intuitive solidarity or sisterhood."""
110.84	And the black woman said,
110.84	"""I'm not so sure."
114.4	"Let me ask you a question."""
116.32	So the black woman
116.32	says to the white woman,
119.08	"""When you wake up in the morning"
119.08	and you look in the mirror,
121.96	"what do you see?"""
123.2	"And the white woman said, ""I see a woman."""
125.84	And the black woman said,
125.84	"""You see, that's the problem for me."
129.04	Because when I wake up in the morning
129.04	"and I look in the mirror,"" she said,"
132.56	"""I see a black woman."
133.96	To me, race is visible. But to you,
133.96	"race is invisible. You don't see it."""
139.76	And then she said
139.76	something really startling.
142.479	"She said, ""That's how privilege works."
145.16	Privilege is invisible
145.16	"to those who have it."""
148.68	It is a luxury, I will say
148.68	to the white people sitting in this room,
151.96	not to have to think about race
151.96	every split second of our lives.
155.72	Privilege is invisible
155.72	to those who have it.
159.48	Now remember, I was
159.48	the only man in this group,
161.88	"so when I witnessed this, I went, ""Oh no."""
164.8	(Laughter)
166.56	And somebody said,
166.56	"""Well what was that reaction?"""
168.92	"And I said, ""Well, when I wake up"
168.92	in the morning and I look in the mirror,
172.6	I see a human being.
174.52	I'm kind of the generic person.
177	You know, I'm a middle class white man.
177	I have no race, no class, no gender.
181.04	"I'm universally generalizable."""
183.08	(Laughter)
184.92	So I like to think that was the moment
184.92	I became a middle class white man,
188.68	that class and race and gender
188.68	were not about other people,
192.64	they were about me.
194.2	I had to start thinking about them,
196.4	and it had been privilege that had
196.4	kept it invisible to me for so long.
201.2	Now, I wish I could tell you
201.2	this story ends 30 years ago
203.891	in that little discussion group,
205.48	but I was reminded of it quite recently
205.48	at my university where I teach.
209.28	I have a colleague, and she and I
209.28	both teach the sociology of gender course
213.24	on alternate semesters.
215.12	So she gives a guest lecture
215.12	for me when I teach.
217.52	I give a guest lecture
217.52	for her when she teaches.
219.92	So I walk into her class
219.92	to give a guest lecture,
223.28	about 300 students in the room,
225.48	and as I walk in, one of the students
225.48	looks up and says,
228.84	"""Oh, finally, an objective opinion."""
232.84	All that semester, whenever
232.84	my colleague opened her mouth,
236	what my students saw was a woman.
238.4	I mean, if you were to say to my students,
240.52	"""There is structural inequality"
240.52	"based on gender in the United States,"""
244	"they'd say, ""Well of course"
244	you'd say that.
246.04	"You're a woman. You're biased."""
247.541	When I say it, they go,
247.541	"""Wow, is that interesting."
250.44	Is that going to be on the test?
250.44	"How do you spell 'structural'?"""
253.464	(Laughter)
255.32	So I hope you all can see,
257.6	this is what objectivity looks like.
260.48	(Laughter) (Applause)
264.24	Disembodied Western rationality.
267.52	(Laughter)
270.279	And that, by the way, is why I think
270.279	men so often wear ties.
274.36	(Laughter)
276.08	Because if you are going to embody
276.08	disembodied Western rationality,
280.68	you need a signifier,
282.2	and what could be a better signifier
282.2	of disembodied Western rationality
286.44	than a garment that at one end is a noose
286.44	and the other end points to the genitals?
290.88	(Laughter) (Applause)
297.64	That is mind-body dualism right there.
304.04	So making gender visible to men
308.2	is the first step to engaging men
308.2	to support gender equality.
313.04	Now, when men first hear
313.04	about gender equality,
315.4	when they first start thinking about it,
317.329	they often think, many men think,
319.84	well, that's right,
319.84	that's fair, that's just,
324.12	that's the ethical imperative.
327.12	But not all men.
328.72	Some men think --
328.72	the lightning bolt goes off,
331.44	"and they go, ""Oh my God,"
331.44	"yes, gender equality,"""
