startsecond	text
13.062	Good morning.
15.327	When I was a little boy,
17.114	I had an experience that changed my life,
20.191	and is in fact why I'm here today.
23.099	That one moment
25.04	profoundly affected how I think about
27.302	art, design and engineering.
30.523	As background, I was fortunate enough to grow up
33.28	in a family of loving and talented artists
36.993	in one of the world's great cities.
39.557	My dad, John Ferren, who died when I was 15,
43.434	was an artist by both passion and profession,
46.964	as is my mom, Rae.
49.224	He was one of the New York School
51.029	abstract expressionists who,
52.79	together with his contemporaries,
55.302	invented American modern art,
58.2	and contributed to moving the American zeitgeist
61.385	towards modernism in the 20th century.
65.928	Isn't it remarkable that, after thousands of years
68.849	of people doing mostly representational art,
72.49	that modern art, comparatively speaking,
74.523	is about 15 minutes old,
76.863	yet now pervasive.
78.761	As with many other important innovations,
80.705	those radical ideas required no new technology,
84.325	just fresh thinking and a willingness to experiment,
87.218	plus resiliency in the face of near-universal criticism
91.386	and rejection.
92.84	In our home, art was everywhere.
95.357	It was like oxygen,
96.928	around us and necessary for life.
100.09	As I watched him paint,
101.949	Dad taught me that art
104.256	was not about being decorative,
106.465	but was a different way of communicating ideas,
109.579	and in fact one that could bridge the worlds
111.616	of knowledge and insight.
114.544	Given this rich artistic environment,
116.684	you'd assume that I would have been compelled
118.299	to go into the family business,
120.408	but no.
123.024	I followed the path of most kids
124.811	who are genetically programmed
126.161	to make their parents crazy.
128.36	I had no interest in becoming an artist,
130.983	certainly not a painter.
132.543	What I did love was electronics and machines --
135.842	taking them apart, building new ones,
137.462	and making them work.
139.349	Fortunately, my family also had engineers in it,
143.251	and with my parents,
144.459	these were my first role models.
147.087	What they all had in common
148.444	was they worked very, very hard.
151.152	My grandpa owned and operated a sheet metal
153.522	kitchen cabinet factory in Brooklyn.
156.222	On weekends, we would go
156.222	together to Cortlandt Street,
159.646	which was New York City's radio row.
162.321	There we would explore massive piles
165.124	of surplus electronics,
166.345	and for a few bucks bring home treasures
168.647	like Norden bombsights
170.079	and parts from the first IBM tube-based computers.
174.59	I found these objects both useful and fascinating.
177.656	I learned about engineering and how things worked,
180.287	not at school
181.747	but by taking apart and studying
183.536	these fabulously complex devices.
186.013	I did this for hours every day,
188.597	apparently avoiding electrocution.
191.895	Life was good.
193.467	However, every summer, sadly,
195.788	the machines got left behind
197.821	while my parents and I traveled overseas
200.025	to experience history, art and design.
203.665	We visited the great museums and historic buildings
206.059	of both Europe and the Middle East,
207.919	but to encourage my growing interest
210.179	in science and technology,
211.994	they would simply drop me off in places
214.278	like the London Science Museum,
216.718	where I would wander endlessly for hours by myself
220.436	studying the history of science and technology.
224.412	Then, when I was about nine years old,
227.676	we went to Rome.
229.544	On one particularly hot summer day,
231.905	we visited a drum-shaped
231.905	building that from the outside
234.784	was not particularly interesting.
237.028	My dad said it was called the Pantheon,
239.353	a temple for all of the gods.
241.821	It didn't look all that special from the outside,
244.095	as I said, but when we walked inside,
246.534	I was immediately struck by three things:
249.847	First of all, it was pleasantly cool
253.077	despite the oppressive heat outside.
255.155	It was very dark, the only source of light
257.869	being an big open hole in the roof.
260.342	Dad explained that this wasn't a big open hole,
262.575	but it was called the oculus,
264.389	an eye to the heavens.
266.765	And there was something about this place,
268.91	I didn't know why, that just felt special.
271.913	As we walked to the center of the room,
273.911	I looked up at the heavens through the oculus.
276.732	This was the first church that I'd been to
279.029	that provided an unrestricted view
281.232	between God and man.
284.39	But I wondered, what about when it rained?
287.82	Dad may have called this an oculus,
289.677	but it was, in fact, a big hole in the roof.
292.764	I looked down and saw floor drains
294.593	had been cut into the stone floor.
297.178	As I became more accustomed to the dark,
