startsecond	text
25	So anyway, who am I?
26	"I usually say to people, when they say, ""What do you do?"""
29	"I say, ""I do hardware,"""
31	because it sort of conveniently encompasses everything I do.
33	And I recently said that to a venture capitalist casually at some
37	"Valley event, to which he replied, ""How quaint."""
40	(Laughter)
42	And I sort of really was dumbstruck.
45	And I really should have said something smart.
47	And now I've had a little bit of time to think about it,
52	"I would have said, ""Well, you know,"
54	if we look at the next 100 years
56	and we've seen all these problems in the last few days,
58	most of the big issues -- clean water, clean energy --
61	and they're interchangeable in some respects --
63	and cleaner, more functional materials --
65	they all look to me to be hardware problems.
68	This doesn't mean we should ignore software,
70	"or information, or computation."""
72	And that's in fact probably what I'm going to try and tell you about.
75	So, this talk is going to be about how do we make things
78	and what are the new ways that we're going to make things in the future.
83	Now, TED sends you a lot of spam if you're a speaker
88	"about ""do this, do that"" and you fill out all these forms,"
90	and you don't actually know how they're going to describe you,
93	and it flashed across my desk that they were going to introduce me as a futurist.
96	"And I've always been nervous about the term ""futurist,"""
98	because you seem doomed to failure because you can't really predict it.
101	And I was laughing about this with the very smart colleagues I have,
104	"and said, ""You know, well, if I have to talk about the future, what is it?"""
108	"And George Homsey, a great guy, said, ""Oh, the future is amazing."
113	It is so much stranger than you think.
115	We're going to reprogram the bacteria in your gut,
117	"and we're going to make your poo smell like peppermint."""
122	(Laughter)
124	So, you may think that's sort of really crazy,
127	but there are some pretty amazing things that are happening
129	that make this possible.
130	So, this isn't my work, but it's work of good friends of mine at MIT.
134	This is called the registry of standard biological parts.
136	This is headed by Drew Endy and Tom Knight
138	and a few other very, very bright individuals.
141	Basically, what they're doing is looking at biology as a programmable system.
144	Literally, think of proteins as subroutines
148	that you can string together to execute a program.
151	Now, this is actually becoming such an interesting idea.
156	This is a state diagram. That's an extremely simple computer.
159	This one is a two-bit counter.
161	So that's essentially the computational equivalent of two light switches.
167	And this is being built by a group of students at Zurich
170	for a design competition in biology.
172	And from the results of the same competition last year,
175	a University of Texas team of students programmed bacteria
179	so that they can detect light and switch on and off.
182	So this is interesting in the sense that you can now
184	"do ""if-then-for"" statements in materials, in structure."
189	This is a pretty interesting trend,
191	because we used to live in a world where everyone's said glibly,
193	"""Form follows function,"" but I think I've sort of grown up in a world"
197	-- you listened to Neil Gershenfeld yesterday;
200	I was in a lab associated with his -- where it's really a world
204	where information defines form and function.
207	I spent six years thinking about that,
211	but to show you the power of art over science --
213	"this is actually one of the cartoons I write. These are called ""HowToons."""
216	I work with a fabulous illustrator called Nick Dragotta.
218	Took me six years at MIT,
220	and about that many pages to describe what I was doing,
224	and it took him one page. And so this is our muse Tucker.
229	He's an interesting little kid -- and his sister, Celine --
231	and what he's doing here
233	is observing the self-assembly of his Cheerios in his cereal bowl.
237	And in fact you can program the self-assembly of things,
240	so he starts chocolate-dipping edges,
242	changing the hydrophobicity and the hydrophylicity.
244	In theory, if you program those sufficiently,
246	you should be able to do something pretty interesting
248	and make a very complex structure.
250	In this case, he's done self-replication of a complex 3D structure.
255	And that's what I thought about for a long time,
258	because this is how we currently make things.
260	This is a silicon wafer, and essentially
