startsecond	text
13.24	A few years ago,
13.24	I broke into my own house.
16.88	I had just driven home,
18.12	it was around midnight
18.12	in the dead of Montreal winter,
20.68	I had been visiting my friend,
20.68	Jeff, across town,
23	and the thermometer on the front porch
23	read minus 40 degrees --
27.8	and don't bother asking
27.8	if that's Celsius or Fahrenheit,
30.92	minus 40 is where the two scales meet --
33.4	it was very cold.
34.68	And as I stood on the front porch
34.68	fumbling in my pockets,
37.92	I found I didn't have my keys.
40.2	In fact, I could see them
40.2	through the window,
42.32	lying on the dining room table
42.32	where I had left them.
45.44	So I quickly ran around
45.44	and tried all the other doors and windows,
48.6	and they were locked tight.
50.2	I thought about calling a locksmith --
50.2	at least I had my cellphone,
53.367	but at midnight, it could take a while
53.367	for a locksmith to show up,
56.72	and it was cold.
60.421	I couldn't go back to my friend
60.421	Jeff's house for the night
63.16	because I had an early flight
63.16	to Europe the next morning,
65.851	and I needed to get
65.851	my passport and my suitcase.
68.4	So, desperate and freezing cold,
70.92	I found a large rock and I broke
70.92	through the basement window,
74.56	cleared out the shards of glass,
76.56	I crawled through,
77.92	I found a piece of cardboard
77.92	and taped it up over the opening,
81.36	figuring that in the morning,
81.36	on the way to the airport,
84.004	I could call my contractor
84.004	and ask him to fix it.
86.8	This was going to be expensive,
88.301	but probably no more expensive
88.301	than a middle-of-the-night locksmith,
91.88	so I figured, under the circumstances,
91.88	I was coming out even.
96.92	Now, I'm a neuroscientist by training
99.12	and I know a little bit
99.12	about how the brain performs under stress.
103.24	It releases cortisol
103.24	that raises your heart rate,
106.8	it modulates adrenaline levels
109.08	and it clouds your thinking.
111.08	So the next morning,
113.08	when I woke up on too little sleep,
115.56	worrying about the hole in the window,
118.32	and a mental note
118.32	that I had to call my contractor,
121.12	and the freezing temperatures,
122.84	and the meetings I had upcoming in Europe,
125.32	and, you know, with all
125.32	the cortisol in my brain,
128.88	my thinking was cloudy,
130.28	but I didn't know it was cloudy
130.28	because my thinking was cloudy.
133.72	(Laughter)
135.24	And it wasn't until I got
135.24	to the airport check-in counter,
138.52	that I realized I didn't have my passport.
140.8	(Laughter)
142.84	So I raced home in the snow
142.84	and ice, 40 minutes,
146.32	got my passport,
146.32	raced back to the airport,
148.8	I made it just in time,
150.64	but they had given away
150.64	my seat to someone else,
152.903	so I got stuck in the back of the plane,
152.903	next to the bathrooms,
155.903	in a seat that wouldn't recline,
155.903	on an eight-hour flight.
159.88	Well, I had a lot of time to think
159.88	during those eight hours and no sleep.
163.36	(Laughter)
164.52	And I started wondering,
164.52	are there things that I can do,
167.2	systems that I can put into place,
169.16	that will prevent bad things
169.16	from happening?
171.64	Or at least if bad things happen,
173.56	will minimize the likelihood
173.56	of it being a total catastrophe.
179.36	So I started thinking about that,
180.96	but my thoughts didn't crystallize
180.96	until about a month later.
183.842	I was having dinner with my colleague,
183.842	Danny Kahneman, the Nobel Prize winner,
