startsecond	text
12.212	When I was a young man, I spent six years
14.285	of wild adventure in the tropics
16.398	working as an investigative journalist
18.526	in some of the most bewitching parts of the world.
21.911	I was as reckless and foolish as only young men can be.
25.11	This is why wars get fought.
26.648	But I also felt more alive than I've ever done since.
30.875	And when I came home, I found the scope of my existence
34.768	gradually diminishing
36.751	until loading the dishwasher seemed like an interesting challenge.
41.197	And I found myself sort of
43.337	scratching at the walls of life,
45.394	as if I was trying to find a way out
47.432	into a wider space beyond.
49.319	I was, I believe, ecologically bored.
53.85	Now, we evolved in rather more challenging times than these,
58.331	in a world of horns and tusks and fangs and claws.
63.157	And we still possess the fear and the courage
65.753	and the aggression required to navigate those times.
68.946	But in our comfortable, safe, crowded lands,
73.63	we have few opportunities to exercise them
76.613	without harming other people.
79.765	And this was the sort of constraint that I found myself
83.903	bumping up against.
86.153	To conquer uncertainty,
88.765	to know what comes next,
92.083	that's almost been the dominant aim of industrialized societies,
96.653	and having got there, or almost got there,
100.253	we have just encountered a new set of unmet needs.
103.616	We've privileged safety over experience
106.618	and we've gained a lot in doing so,
109.122	but I think we've lost something too.
112.13	Now, I don't romanticize evolutionary time.
114.932	I'm already beyond the lifespan of most hunter-gatherers,
118.45	and the outcome of a mortal combat between me
121.679	myopically stumbling around with a stone-tipped spear
124.592	and an enraged giant aurochs
127.074	isn't very hard to predict.
129.556	Nor was it authenticity that I was looking for.
132.552	I don't find that a useful or even intelligible concept.
135.692	I just wanted a richer and rawer life
139.618	than I've been able to lead in Britain, or, indeed,
142.114	that we can lead in most parts of the industrialized world.
145.526	And it was only when I stumbled across an unfamiliar word
151.032	that I began to understand what I was looking for.
154.637	And as soon as I found that word,
157.291	I realized that I wanted to devote
159.319	much of the rest of my life to it.
163.074	"The word is ""rewilding,"""
166.575	and even though rewilding is a young word,
169.357	it already has several definitions.
171.224	But there are two in particular that fascinate me.
175.26	The first one is the mass restoration
179.211	of ecosystems.
181.866	One of the most exciting scientific findings
184.836	of the past half century
186.606	has been the discovery of widespread trophic cascades.
191.352	A trophic cascade is an ecological process
194.53	which starts at the top of the food chain
196.905	and tumbles all the way down to the bottom,
200.2	and the classic example is what happened
202.543	in the Yellowstone National Park in the United States
205.354	when wolves were reintroduced in 1995.
209.443	Now, we all know that wolves kill various species of animals,
213.878	but perhaps we're slightly less aware
216.277	that they give life to many others.
220.115	It sounds strange, but just follow me for a while.
223.228	Before the wolves turned up,
225.054	they'd been absent for 70 years.
226.713	The numbers of deer, because there was nothing to hunt them,
229.778	had built up and built up in the Yellowstone Park,
232.532	and despite efforts by humans to control them,
235.623	they'd managed to reduce much of the vegetation there
238.318	to almost nothing, they'd just grazed it away.
241.739	But as soon as the wolves arrived,
243.934	even though they were few in number,
245.761	they started to have the most remarkable effects.
249.66	First, of course, they killed some of the deer,
251.831	but that wasn't the major thing.
253.643	Much more significantly,
255.674	they radically changed the behavior of the deer.
258.873	The deer started avoiding certain parts of the park,
261.786	the places where they could be trapped most easily,
264.009	particularly the valleys and the gorges,
266.748	and immediately those places started to regenerate.
269.937	In some areas, the height of the trees
272.336	quintupled in just six years.
275.348	Bare valley sides quickly became forests of aspen
279.415	and willow and cottonwood.
281.686	And as soon as that happened,
283.464	the birds started moving in.
285.622	The number of songbirds, of migratory birds,
288.043	started to increase greatly.
290.117	The number of beavers started to increase,
292.174	because beavers like to eat the trees.
294.855	And beavers, like wolves, are ecosystem engineers.
298.083	They create niches for other species.
300.962	And the dams they built in the rivers
303.174	provided habitats for otters and muskrats
306.108	and ducks and fish and reptiles and amphibians.
310.289	The wolves killed coyotes, and as a result of that,
314.394	the number of rabbits and mice began to rise,
316.856	which meant more hawks, more weasels,
319.766	more foxes, more badgers.
322.165	Ravens and bald eagles came down to feed
324.652	on the carrion that the wolves had left.
326.888	Bears fed on it too, and their population began to rise as well,
330.597	partly also because there were more berries
332.94	growing on the regenerating shrubs,
335.252	and the bears reinforced the impact of the wolves
338.483	by killing some of the calves of the deer.
342.882	But here's where it gets really interesting.
346.558	The wolves changed the behavior of the rivers.
351.843	They began to meander less.
353.53	There was less erosion. The channels narrowed.
357.153	More pools formed, more riffle sections,
359.548	all of which were great for wildlife habitats.
361.779	The rivers changed
363.981	in response to the wolves,
