startsecond	text
12.943	I'm really glad to be here.
15.015	I'm glad you're here,
16.727	because that would be a little weird.
19.46	I'm glad we're all here.
22.303	"And by ""here,"" I don't mean here."
26.831	Or here.
28.728	But here.
29.904	I mean Earth.
31.627	"And by ""we,"" I don't mean"
31.627	those of us in this auditorium,
35.594	but life,
37.088	all life on Earth --
38.561	(Laughter)
44.28	from complex to single-celled,
46.295	from mold to mushrooms
48.643	to flying bears.
50.045	(Laughter)
53.736	The interesting thing is,
55.269	Earth is the only place
55.269	we know of that has life --
58.324	8.7 million species.
60.66	We've looked other places,
61.938	maybe not as hard
61.938	as we should or we could,
64.059	but we've looked and haven't found any;
66.01	Earth is the only place
66.01	we know of with life.
69.318	Is Earth special?
71.591	This is a question I've wanted
71.591	to know the answer to
74.069	since I was a small child,
75.347	and I suspect 80 percent
75.347	of this auditorium
77.403	has thought the same thing
77.403	and also wanted to know the answer.
80.879	To understand whether
80.879	there are any planets --
83.07	out there in our solar system or beyond --
85.372	that can support life,
86.854	the first step is to understand
86.854	what life here requires.
90.575	It turns out, of all of those
90.575	8.7 million species,
94.162	life only needs three things.
97.032	On one side, all life
97.032	on Earth needs energy.
99.908	Complex life like us derives
99.908	our energy from the sun,
103.417	but life deep underground
103.417	can get its energy
105.542	from things like chemical reactions.
107.288	There are a number
107.288	of different energy sources
109.463	available on all planets.
111.4	On the other side,
112.58	all life needs food or nourishment.
115.741	And this seems like a tall order,
115.741	especially if you want a succulent tomato.
120.239	(Laughter)
121.979	However, all life on Earth
121.979	derives its nourishment
125.069	from only six chemical elements,
127.123	and these elements can be found
127.123	on any planetary body
130.151	in our solar system.
132.537	So that leaves the thing
132.537	in the middle as the tall pole,
135.788	the thing that's hardest to achieve.
137.766	Not moose, but water.
139.682	(Laughter)
143.285	Although moose would be pretty cool.
145.103	(Laughter)
146.285	And not frozen water, and not water
146.285	in a gaseous state, but liquid water.
152.748	This is what life needs
152.748	to survive, all life.
155.68	And many solar system bodies
155.68	don't have liquid water,
159.04	and so we don't look there.
160.7	Other solar system bodies
160.7	might have abundant liquid water,
163.717	even more than Earth,
165.076	but it's trapped beneath an icy shell,
167.55	and so it's hard to access,
167.55	it's hard to get to,
169.835	it's hard to even find out
169.835	if there's any life there.
173.475	So that leaves a few bodies
173.475	that we should think about.
176.494	So let's make the problem
176.494	simpler for ourselves.
178.947	Let's think only about liquid water
178.947	on the surface of a planet.
182.312	There are only three bodies
182.312	to think about in our solar system,
185.292	with regard to liquid water
185.292	on the surface of a planet,
187.898	and in order of distance from the sun,
187.898	it's: Venus, Earth and Mars.
193.265	You want to have an atmosphere
193.265	for water to be liquid.
196.661	You have to be very careful
196.661	with that atmosphere.
199.063	You can't have too much atmosphere,
199.063	too thick or too warm an atmosphere,
202.499	because then you end up
202.499	too hot like Venus,
205.428	and you can't have liquid water.
207.189	But if you have too little atmosphere
207.189	and it's too thin and too cold,
211.166	you end up like Mars, too cold.
213.865	So Venus is too hot, Mars is too cold,
216.364	and Earth is just right.
217.552	You can look at these images behind me
217.552	and you can see automatically
221.051	where life can survive
221.051	in our solar system.
224.296	It's a Goldilocks-type problem,
225.92	and it's so simple
225.92	that a child could understand it.
229.452	However,
231.45	I'd like to remind you of two things
234.402	from the Goldilocks story
234.402	that we may not think about so often
237.38	but that I think are really relevant here.
240.056	Number one:
242.311	if Mama Bear's bowl is too cold
245.833	when Goldilocks walks into the room,
248.642	does that mean it's always been too cold?
251.825	Or could it have been just right
251.825	at some other time?
255.65	When Goldilocks walks into the room
255.65	determines the answer
259.355	that we get in the story.
261.114	And the same is true with planets.
262.868	They're not static things. They change.
264.918	They vary. They evolve.
266.684	And atmospheres do the same.
268.751	So let me give you an example.
270.477	Here's one of my favorite
270.477	pictures of Mars.
272.503	It's not the highest resolution image,
272.503	it's not the sexiest image,
275.658	it's not the most recent image,
277.185	but it's an image that shows riverbeds
277.185	cut into the surface of the planet;
281.32	riverbeds carved by flowing, liquid water;
285.515	riverbeds that take hundreds or thousands
285.515	or tens of thousands of years to form.
290.425	This can't happen on Mars today.
292.067	The atmosphere of Mars today
292.067	is too thin and too cold
294.572	for water to be stable as a liquid.
296.737	This one image tells you
296.737	that the atmosphere of Mars changed,
301.109	and it changed in big ways.
303.714	And it changed from a state
303.714	that we would define as habitable,
308.547	because the three requirements
308.547	for life were present long ago.
313.049	Where did that atmosphere go
315.141	that allowed water
315.141	to be liquid at the surface?
317.985	Well, one idea is it escaped
317.985	away to space.
321.356	Atmospheric particles
321.356	got enough energy to break free
324.047	from the gravity of the planet,
325.724	escaping away to space, never to return.
328.437	And this happens with all bodies
328.437	with atmospheres.
331.149	Comets have tails
332.345	that are incredibly visible reminders
332.345	of atmospheric escape.
335.626	But Venus also has an atmosphere
335.626	that escapes with time,
339.059	and Mars and Earth as well.
340.743	It's just a matter of degree
