startsecond	text
26	Okay.
30	♫ Strolling along in Central Park ♫
34	♫ Everyone's out today ♫
39	♫ The daisies and dogwoods are all in bloom ♫
43	♫ Oh, what a glorious day ♫
47	♫ For picnics and Frisbees and roller skaters, ♫
52	♫ Friends and lovers and lonely sunbathers ♫
57	♫ Everyone's out in merry Manhattan in January ♫
65	(Laughter) (Applause)
73	♫ I brought the iced tea; ♫
75	♫ Did you bring the bug spray? ♫
77	♫ The flies are the size of your head ♫
81	♫ Next to the palm tree, ♫
84	♫ Did you see the 'gators ♫
86	♫ Looking happy and well fed? ♫
90	♫ Everyone's out in merry Manhattan in January ♫
101	(Whistling)
107	Everyone!
109	(Whistling) (Laughter)
120	♫ My preacher said, ♫
123	♫ Don't you worry ♫
125	♫ The scientists have it all wrong ♫
129	♫ And so, who cares it's winter here? ♫
133	♫ And I have my halter-top on ♫
137	♫ I have my halter-top on ♫
142	♫ Everyone's out in merry Manhattan in January. ♫
153	(Applause)
157	Chris Anderson: Jill Sobule!
