startsecond	text
26	A public, Dewey long ago observed,
29	is constituted through discussion and debate.
33	If we are to call the tyranny of assumptions into question,
39	and avoid doxa, the realm of the unquestioned,
43	then we must be willing to subject our own assumptions
46	to debate and discussion.
50	It is in this spirit that I join into a discussion
55	of one of the critical issues of our time,
58	namely, how to mobilize different forms of capital
62	for the project of state building.
64	To put the assumptions very clearly:
67	capitalism, after 150 years, has become acceptable,
72	and so has democracy.
74	If we looked in the world of 1945
78	and looked at the map of capitalist economies and democratic polities,
83	they were the rare exception, not the norm.
88	The question now, however,
90	is both about which form of capitalism
95	and which type of democratic participation.
99	But we must acknowledge
101	that this moment has brought about
103	a rare consensus of assumptions.
106	And that provides the ground
109	for a type of action,
111	because consensus of each moment
113	allows us to act.
115	And it is necessary, no matter how fragile
118	or how provisional our consensus,
121	to be able to move forward.
123	But the majority of the world
126	neither benefits from capitalism
128	nor from democratic systems.
134	Most of the globe
136	experiences the state as repressive,
140	as an organization that is concerned
143	about denial of rights,
145	about denial of justice,
147	rather than provision of it.
151	And in terms of experience of capitalism,
154	there are two aspects
156	that the rest of the globe experiences.
158	First, extractive industry.
160	Blood diamonds, smuggled emeralds,
163	timber,
166	that is cut right from under the poorest.
169	Second is technical assistance.
172	And technical assistance might shock you,
174	but it's the worst form
176	of -- today -- of the ugly face
179	of the developed world to the developing countries.
183	Tens of billions of dollars
185	are supposedly spent on building capacity
187	with people who are paid up to 1,500 dollars a day,
191	who are incapable
193	of thinking creatively,
195	or organically.
201	Next assumption --
203	and of course the events of July 7,
205	I express my deep sympathy, and before that, September 11 --
208	have reminded us
210	we do not live in three different worlds.
213	We live in one world.
217	But that's easily said.
220	But we are not dealing with the implications
223	of the one world that we are living in.
227	And that is that if we want to have one world,
230	this one world cannot be based
232	on huge pockets of exclusion,
235	and then inclusion for some.
237	We must now finally come
239	to think about the premises
241	of a truly global world,
243	in relationship to the regime of rights
245	and responsibilities and accountabilities
248	that are truly global in scope.
250	Otherwise we will be missing
253	this open moment in history,
255	where we have a consensus
257	on both the form of politics
259	and the form of economics.
262	What is one of these organizations to pick?
264	We have three critical terms:
266	economy,
268	civil society
270	and the state.
272	I will not deal with those first two, except to say
275	that uncritical transfer of assumptions,
278	from one context to another,
280	can only make for disaster.
283	Economics
286	taught in most of the elite universities
289	are practically useless in my context.
292	My country is dominated
294	by drug economy and a mafia.
297	Textbook economics does not work in my context,
299	and I have very few recommendations from anybody
302	as to how to put together a legal economy.
305	The poverty of our knowledge
307	must become the first basis
309	of moving forward,
311	and not imposition of the framework
314	that works on the basis of mathematical modeling,
317	for which I have enormous respect.
319	My colleagues at Johns Hopkins were among the best.
323	Second,
325	instead of debating endlessly
328	about what is the structure of the state,
330	why don't we simplify
332	and say, what are a series of functions
334	that the state in the 21st century must perform?
337	Clare Lockhart and I are writing a book on this;
340	we hope to share that much widely with --
342	and third is that we could actually construct an index
345	to measure comparatively
348	how well these functions that we would agree on
351	are being performed in different places.
353	So what are these functions?
355	We propose 10.
357	And it's legitimate monopoly of means of violence,
360	administrative control, management of public finances,
363	investment in human capital, provision of citizenship rights,
366	provision of infrastructure,
368	management of the tangible and intangible assets of the state
371	through regulation, creation of the market,
373	international agreements, including public borrowing,
376	and then, most importantly, rule of law.
379	I won't elaborate.
381	I hope the questions will give me an opportunity.
384	This is a feasible goal,
386	basically because, contrary to widespread assumption,
389	I would argue that we know how to do this.
392	Who would have imagined that Germany
394	would be either united or democratic today,
397	if you looked at it from the perspective of Oxford of 1943?
402	But people at Oxford prepared for a democratic Germany
405	and engaged in planning.
408	And there are lots of other examples.
412	Now in order to do this -- and this brings this group --
416	we have to rethink the notion of capital.
419	The least important form of capital, in this project,
423	is financial capital -- money.
427	Money is not capital in most of the developing countries.
430	It's just cash.
432	Because it lacks the institutional,
434	organizational, managerial forms
437	to turn it into capital.
440	And what is required
443	is a combination of physical capital,
445	institutional capital, human capital --
447	and security, of course, is critical,
450	but so is information.
452	Now, the issue that should concern us here --
455	and that's the challenge
457	that I would like to pose to this group --
461	is again, it takes 16 years
464	in your countries
467	to produce somebody with a B.S. degree.
470	It takes 20 years
472	to produce somebody with a Ph.D.
474	The first challenge is to rethink,
477	fundamentally,
480	the issue of the time.
483	Do we need to repeat
487	the modalities that we have inherited?
489	Our educational systems are inherited from the 19th century.
495	What is it that we need to do fundamentally
498	to re-engage in a project,
500	that capital formation is rapid?
503	The absolute majority of the world's population
506	are below 20,
508	and they are growing larger and faster.
512	They need different ways
