startsecond	text
16.16	I thought I'd tell you a little about what I like to write.
20.16	And I like to immerse myself in my topics.
24.16	I just like to dive right in and become sort of a human guinea pig.
29.16	And I see my life as a series of experiments.
34.16	So, I work for Esquire magazine, and a couple of years ago,
38.16	"I wrote an article called ""My Outsourced Life,"""
41.16	where I hired a team of people in Bangalore, India,
45.16	to live my life for me.
47.16	So, they answered my emails.
49.16	They answered my phone.
51.16	They argued with my wife for me, and they read my son bedtime stories.
58.16	It was the best month of my life,
60.16	because I just sat back and I read books and watched movies.
65.16	It was a wonderful experience.
67.16	More recently, I wrote an article for Esquire called --
70.16	about radical honesty.
73.16	And this is a movement where --
75.16	this is started by a psychologist in Virginia,
79.16	who says that you should never, ever lie,
82.16	except maybe during poker and golf, his only exceptions.
87.16	And, more than that, whatever is on your brain
89.16	should come out of your mouth.
91.16	So, I decided I would try this for a month.
94.16	This was the worst month of my life.
97.16	(Laughter)
98.16	I do not recommend this at all.
100.16	To give you a sense of the experience,
102.16	"the article was called, ""I Think You're Fat."""
106.16	(Laughter)
108.16	So, that was hard.
110.16	"My most recent book -- my previous book was called ""The Know-It-All,"""
115.16	and it was about the year I spent reading the Encyclopedia Britannica
119.16	from A to Z in my quest to learn everything in the world,
123.16	or more precisely from Aak, which is a type of East Asian music,
128.16	all the way to Zwyiec, which is -- well, I don't want to ruin the ending.
132.16	(Laughter)
133.16	It's a very exciting twist ending, like an O. Henry novel, so I won't ruin it.
137.16	But I love that one,
139.16	because that was an experiment about how much information
143.16	one human brain could absorb.
145.16	Although, listening to Kevin Kelly, you don't have to remember anything.
149.16	You can just Google it.
151.16	So, I wasted some time there.
153.16	I love those experiments,
156.16	but I think that the most profound
158.16	and life-changing experiment that I've done
162.16	is my most recent experiment, where I spent a year
166.16	trying to follow all of the rules of the Bible,
169.16	"""The Year of Living Biblically."""
172.16	And I undertook this for two reasons.
175.16	The first was that I grew up with no religion at all.
179.16	As I say in my book, I'm Jewish in the same way
183.16	the Olive Garden is Italian.
185.16	(Laughter)
187.16	So, not very.
189.16	But I've become increasingly interested in religion.
192.16	I do think it's the defining issue of our time,
194.16	or one of the main ones.
196.16	And I have a son. I want to know what to teach him.
199.16	So, I decided to dive in head first, and try to live the Bible.
204.16	The second reason I undertook this is because
207.16	I'm concerned about the rise of fundamentalism,
210.16	religious fundamentalism, and people who say
213.16	they take the Bible literally, which is, according to some polls,
216.16	as high as 45 or 50 percent of America.
220.16	So I decided, what if you really did take the Bible literally?
224.16	I decided to take it to its logical conclusion
228.16	and take everything in the Bible literally,
230.16	without picking and choosing.
233.16	The first thing I did was I got a stack of bibles.
236.16	I had Christian bibles.
238.16	I had Jewish bibles.
240.16	A friend of mine sent me something called a hip-hop bible,
243.16	"where the twenty-third Psalm is rendered as, ""The Lord is all that,"""
247.16	"as opposed to what I knew it as, ""The Lord is my shepherd."""
251.16	Then I went down and I read several versions,
255.16	and I wrote down every single law that I could find.
258.16	And this was a very long list -- over 700 rules.
263.16	And they range from the famous ones that I had heard of --
266.16	The Ten Commandments, love your neighbor, be fruitful and multiply.
269.16	So I wanted to follow those.
271.16	And actually, I take my projects very seriously,
274.16	because I had twins during my year,
276.16	so I definitely take my projects seriously.
279.16	But I also wanted to follow the hundreds
282.16	of arcane and obscure laws that are in the Bible.
285.16	There is the law in Leviticus,
287.16	"""You cannot shave the corners of your beard."""
289.16	I didn't know where my corners were,
291.16	so I decided to let the whole thing grow,
294.16	and this is what I looked like by the end.
297.16	As you can imagine, I spent a lot of time at airport security.
301.16	(Laughter)
303.16	My wife wouldn't kiss me for the last two months.
306.16	So, certainly the challenge was there.
308.16	The Bible says you cannot wear clothes made of mixed fibers,
313.16	"so I thought, ""Sounds strange, but I'll try it."""
315.16	You only know if you try it.
317.16	I got rid of all my poly-cotton T-shirts.
320.16	The Bible says that if two men are in a fight,
324.16	and the wife of one of those men grabs the testicles of the other man,
330.16	then her hand shall be cut off.
332.16	So, I wanted to follow that rule.
334.16	(Laughter)
335.16	That one I followed by default,
