startsecond	text
0	Translator: Morton Bast
0	Reviewer: Thu-Huong Ha
16.317	Tommy Mizzone: Tonight we're going to play you two songs.
18.482	We're three brothers from New Jersey,
20.482	and the funny thing is that,
22.13	believe it or not, we are hooked on bluegrass
24.77	and we're excited to play it for you tonight.
26.926	(Music)
142.74	(Applause)
145.593	TM: Thank you, thank you.
148.062	(Applause)
152.347	Robbie Mizzone: Thank you.
153.771	I'm Robbie Mizzone. I'm 13, and I play the fiddle.
156.091	This is my brother, Jonny. He's 10, and he plays the banjo.
158.651	And on guitar is my 14-year-old brother, Tommy.
161.38	(Applause)
165.227	We call ourselves the Sleepy Man Banjo Boys.
171.566	(Music)
288.059	(Applause)
290.662	TM: Thank you.
292.074	JM: Thank you all.
292.996	TM: Thank you very much.
