startsecond	text
12.489	This is a talk about sugar and cancer.
15.709	I became interested in sugar
15.709	when I was in college.
19.01	Not this kind of sugar.
20.886	It was the sugar that our biology
20.886	professors taught us about
25.861	in the context of the coating
25.861	of your cells.
30.553	Maybe you didn't know that your cells
30.553	are coated with sugar.
34.687	And I didn't know that, either,
36.286	until I took these courses in college,
38.465	but back then --
39.901	and this was in, let's just
39.901	call it the 1980s --
44.38	people didn't know much about why
44.38	our cells are coated with sugar.
48.658	And when I dug through my notes,
48.658	what I noticed I had written down
52.649	is that the sugar coating on our cells
52.649	is like the sugar coating
57.218	on a peanut M and M.
59.018	And people thought
59.018	the sugar coating on our cells
62.708	was like a protective coating
64.562	that somehow made our cells
64.562	stronger or tougher.
68.754	But we now know, many decades later,
70.904	that it's much more complicated than that,
73.726	and that the sugars on our cells
73.726	are actually very complex.
79.003	And if you could shrink yourself down
79.003	to a little miniature airplane
84.539	and fly right along
84.539	the surface of your cells,
88.345	it might look something like this --
90.735	with geographical features.
92.96	And now, the complex sugars
92.96	are these trees and bushes --
97.014	weeping willows that are
97.014	swaying in the wind
99.57	and moving with the waves.
101.631	And when I started thinking about
101.631	all these complex sugars
105.468	that are like this foliage on our cells,
108.418	it became one of the most interesting
108.418	problems that I encountered
111.559	as a biologist and also as a chemist.
115.477	And so now we tend
115.477	to think about the sugars
118.436	that are populating
118.436	the surface of our cells
121.728	as a language.
124.162	They have a lot of information
124.162	stored in their complex structures.
128.962	But what are they trying to tell us?
132.368	I can tell you that we do know
132.368	some information
135.707	that comes from these sugars,
137.336	and it's turned out already
137.336	to be incredibly important
140.295	in the world of medicine.
142.597	For example, one thing
142.597	your sugars are telling us
146.282	is your blood type.
148.861	So your blood cells, your red blood
148.861	cells, are coated with sugars,
153.039	and the chemical structures of those
153.039	sugars determine your blood type.
157.74	So for example, I know
157.74	that I am blood type O.
161.687	How many people are also blood type O?
164.822	Put your hands up.
166.004	It's a pretty common one,
167.221	so when so few hands go up,
167.221	either you're not paying attention
170.18	or you don't know your blood type,
170.18	and both of those are bad.
173.094	(Laughter)
174.133	But for those of you who share
174.133	the blood type O with me,
176.82	what this means is that we have
176.82	this chemical structure
179.559	on the surface of our blood cells:
182.116	three simple sugars linked together
182.116	to make a more complex sugar.
185.863	And that, by definition, is blood type O.
189.186	Now, how many people are blood type A?
192.394	Right here.
193.587	That means you have
193.587	an enzyme in your cells
196.572	that adds one more building block,
199.012	that red sugar,
200.411	to build a more complex structure.
202.936	And how many people are blood type B?
206.118	Quite a few.
207.307	You have a slightly different enzyme
207.307	than the A people,
210.059	so you build a slightly
210.059	different structure,
212.199	and those of you that are AB
214.336	have the enzyme from your mother,
214.336	the other enzyme from your father,
217.552	and now you make both of these structures
217.552	in roughly equal proportions.
221.351	And when this was figured out,
223.779	which is now back in the previous century,
226.541	this enabled one of the most important
226.541	medical procedures in the world,
230.082	which, of course,
230.082	is the blood transfusion.
232.484	And by knowing what your blood type is,
234.404	we can make sure,
234.404	if you ever need a transfusion,
237.02	that your donor has the same blood type,
239.565	so that your body
239.565	doesn't see foreign sugars,
243.603	which it wouldn't like
