startsecond	text
0	Translator: Timothy Covell
0	Reviewer: Morton Bast
15.76	So my freshman year of college
17.204	I signed up for an internship in the housing unit
19.954	at Greater Boston Legal Services.
22.154	Showed up the first day
23.807	ready to make coffee and photocopies,
26.123	but was paired with this righteous, deeply inspired attorney
30.705	named Jeff Purcell,
32.174	who thrust me onto the front lines
34.639	from the very first day.
36.639	And over the course of nine months
38.404	I had the chance
39.417	to have dozens of conversations
41.189	with low-income families in Boston
43.973	who would come in presenting with housing issues,
47.089	but always had an underlying health issue.
50.373	So I had a client who came in,
52.605	about to be evicted because he hasn't paid his rent.
54.923	But he hasn't paid his rent, of course,
57.211	because he's paying for his HIV medication
59.705	and just can't afford both.
61.905	We had moms who would come in,
63.256	daughter has asthma,
64.639	wakes up covered in cockroaches every morning.
67.524	And one of our litigation strategies
69.497	was actually to send me into the home of these clients
72.272	with these large glass bottles.
74.405	And I would collect the cockroaches,
76.405	hot glue-gun them to this poster board
79.423	that we'd bring to court for our cases.
81.455	And we always won
82.733	because the judges were just so grossed out.
85.455	Far more effective, I have to say,
87.604	than anything I later learned in law school.
90.455	But over the course of these nine months,
93.005	I grew frustrated with feeling
94.856	like we were intervening too far downstream
97.822	in the lives of our clients --
100.339	that by the time they came to us,
101.871	they were already in crisis.
104.039	And at the end of my freshman year of college,
106.855	I read an article about the work
108.539	that Dr. Barry Zuckerman was doing
110.321	as Chair of Pediatrics
112.457	at Boston Medical Center.
113.857	And his first hire was a legal services attorney
116.924	to represent the patients.
118.806	So I called Barry,
120.321	and with his blessing, in October 1995
122.924	walked into the waiting room
124.989	of the pediatrics clinic at Boston Medical Center.
127.855	I'll never forget,
129.188	the TVs played this endless reel of cartoons.
132.072	And the exhaustion of mothers
135.006	who had taken two, three, sometimes four buses
138.538	to bring their child to the doctor
140.47	was just palpable.
142.354	The doctors, it seemed,
143.602	never really had enough time for all the patients,
145.121	try as they might.
146.371	And over the course of six months,
147.589	I would corner them in the hallway
149.27	and ask them a sort of naive but fundamental question:
153.171	"""If you had unlimited resources,"
155.656	"what's the one thing you would give your patients?"""
158.971	And I heard the same story again and again,
161.671	a story we've heard hundreds of times since then.
164.621	"They said, ""Every day we have patients that come into the clinic --"
168.186	child has an ear infection,
169.887	I prescribe antibiotics.
171.82	But the real issue is there's no food at home.
174.653	The real issue
176.154	is that child is living with 12 other people
178.388	in a two-bedroom apartment.
179.886	And I don't even ask about those issues
181.736	because there's nothing I can do.
184.487	I have 13 minutes with each patient.
