startsecond	text
14.057	"Welcome to ""Five Dangerous Things"
14.057	"You Should Let Your Children Do."""
18.51	I don't have children.
20.51	I borrow my friends' children, so --
22.844	(Laughter)
26.082	take all this advice with a grain of salt.
29.855	I'm Gever Tulley.
31.703	I'm a contract computer
31.703	scientist by trade,
36.287	but I'm the founder of something
36.287	called the Tinkering School.
40.946	It's a summer program
40.946	which aims to help kids
43.857	learn how to build the things
43.857	that they think of.
46.459	So we build a lot of things,
48.372	and I do put power tools
48.372	into the hands of second-graders.
52.516	So if you're thinking about sending
52.516	your kid to Tinkering School,
55.594	they do come back bruised,
55.594	scraped and bloody.
59.002	(Laughter)
61.295	You know, we live in a world
62.891	that's subjected to ever more
62.891	stringent child safety regulations.
66.85	There doesn't seem to be
66.85	any limit on how crazy
72.941	child safety regulations can get.
75.31	We put suffocation warnings
75.31	on every piece of plastic film
79.51	manufactured in the United States,
81.168	or for sale with an item
81.168	in the United States.
83.771	We put warnings on coffee cups
86.502	to tell us that the contents may be hot.
89.253	And we seem to think that any item
89.253	sharper than a golf ball is too sharp
96.144	for children under the age of 10.
98.224	So where does this trend stop?
101.443	When we round every corner
101.443	and eliminate every sharp object,
106.261	every pokey bit in the world,
109.178	then the first time that kids
109.178	come in contact with anything sharp,
114.273	or not made out of round plastic,
117.586	they'll hurt themselves with it.
119.51	So, as the boundaries
119.51	of what we determine as the safety zone
125.838	grow ever smaller,
127.426	we cut off our children
127.426	from valuable opportunities
131.395	to learn how to interact
131.395	with the world around them.
134.51	And despite all of our best
134.51	efforts and intentions,
138.765	kids are always going to figure out
140.487	how to do the most dangerous
140.487	thing they can,
142.566	in whatever environment they can.
144.534	(Laughter)
145.95	So despite the provocative title,
149.322	this presentation is really about safety,
152.099	and about some simple things
152.099	that we can do
156.852	to raise our kids to be creative,
161.432	confident and in control
161.432	of the environment around them.
165.517	And what I now present to you
167.67	is an excerpt from a book in progress.
170.94	"The book is called ""50 Dangerous Things."""
173.267	"This is ""Five Dangerous Things."""
175.51	Thing number one: Play with fire.
178.668	Learning to control one of the most
178.668	elemental forces in nature
183.662	is a pivotal moment
183.662	in any child's personal history.
187.811	Whether we remember it or not,
189.786	it's the first time we really get control
193.262	of one of these mysterious things.
195.93	These mysteries are only revealed
197.775	to those who get the opportunity
197.775	to play with it.
200.18	So, playing with fire.
203.159	This is like one of the great things
203.159	we ever discovered, fire.
208.509	From playing with it, they learn
208.509	some basic principles about fire,
211.677	about intake, combustion, exhaust.
215.51	These are the three working
215.51	elements of fire
217.63	that you have to have
217.63	for a good, controlled fire.
220.827	And you can think of the open-pit
220.827	fire as a laboratory.
225.755	You don't know what they're going
225.755	to learn from playing with it.
228.794	Let them fool around with it
228.794	on their own terms and trust me,
233.241	they're going to learn things
235.067	that you can't get out of playing
235.067	with Dora the Explorer toys.
240.103	(Laughter)
241.825	Number two: Own a pocketknife.
244.881	Pocketknives are kind of drifting
244.881	out of our cultural consciousness,
249.121	which I think is a terrible thing.
251.908	(Laughter)
255.395	Your first pocketknife
255.395	is like the first universal tool
259.291	that you're given.
260.51	You know, it's a spatula, it's a pry bar,
263.51	it's a screwdriver and it's a blade, yeah.
266.51	And it's a powerful and empowering tool.
271.122	And in a lot of cultures
271.122	they give knives --
273.95	like, as soon as they're
