startsecond	text
19.33	It's hard to believe that it's less than a year since the extraordinary moment
23.33	when the finance, the credit, which drives our economies froze.
27.33	A massive cardiac arrest.
30.33	The effect, the payback, perhaps, for years of vampire predators like Bernie Madoff,
34.33	whom we saw earlier.
36.33	Abuse of steroids, binging and so on.
39.33	And it's only a few months since governments
41.33	injected enormous sums of money to try and keep the whole system afloat.
47.33	And we're now in a very strange sort of twilight zone,
49.33	where no one quite knows what's worked, or what doesn't.
53.33	We don't have any very clear maps, any compass to guide us.
58.33	We don't know which experts to believe anymore.
61.33	What I'm going to try and do is to give some pointers
64.33	to what I think is the landscape on the other side of the crisis,
68.33	what things we should be looking out for
70.33	and how we can actually use the crisis.
73.33	There's a definition of leadership which says,
75.33	"""It's the ability to use the smallest possible crisis"
79.33	"for the biggest possible effect."""
81.33	And I want to talk about how we ensure that this crisis,
84.33	which is by no means small, really is used to the full.
88.33	I want to start just by saying a bit about where I'm coming from.
91.33	I've got a very confused background
94.33	which perhaps makes me appropriate for confused times.
98.33	I've got a Ph.D. in Telecoms, as you can see.
101.33	I trained briefly as a Buddhist monk under this guy.
104.33	I've been a civil servant,
106.33	and I've been in charge of policy for this guy as well.
109.33	But what I want to talk about begins when I was at this city, this university, as a student.
114.33	And then as now, it was a beautiful place of balls and punts, beautiful people,
120.33	many of whom took to heart Ronald Reagan's comment
123.33	"that, ""even if they say hard work doesn't do you any harm,"
126.33	"why risk it?"""
129.33	But when I was here,
131.33	a lot of my fellow teenagers were in a very different situation,
135.33	leaving school at a time then of rapidly growing youth unemployment,
139.33	and essentially hitting a brick wall in terms of their opportunities.
143.33	And I spent quite a lot of time with them rather than in punts.
147.33	And they were people who were not short of wit, or grace or energy,
152.33	but they had no hope, no jobs, no prospects.
155.33	And when people aren't allowed to be useful,
157.33	they soon think that they're useless.
160.33	And although that was great for the music business at the time,
163.33	it wasn't much good for anything else.
165.33	And ever since then, I've wondered why it is that capitalism
168.33	is so amazingly efficient at some things, but so inefficient at others,
172.33	why it's so innovative in some ways and so un-innovative in others.
177.33	Now, since that time,
179.33	we've actually been through an extraordinary boom,
182.33	the longest boom ever in the history of this country.
186.33	Unprecedented wealth and prosperity,
188.33	but that growth hasn't always delivered what we needed.
192.33	"H.L. Mencken once said that, ""to every complex problem,"
195.33	"there is a simple solution and it's wrong."""
199.33	But I'm not saying growth is wrong,
201.33	but it's very striking that throughout the years of growth,
204.33	many things didn't get better.
206.33	Rates of depression carried on up, right across the Western world.
210.33	If you look at America, the proportion of Americans
212.33	with no one to talk to about important things
214.33	went up from a tenth to a quarter.
217.33	We commuted longer to work, but as you can see from this graph,
220.33	the longer you commute the less happy you're likely to be.
224.33	And it became ever clearer that economic growth
227.33	doesn't automatically translate into social growth or human growth.
232.33	We're now at another moment
234.33	when another wave of teenagers are entering a cruel job market.
239.33	There will be a million unemployed young people here
241.33	by the end of the year,
243.33	thousands losing their jobs everyday in America.
246.33	We've got to do whatever we can to help them,
249.33	but we've also got to ask, I think, a more profound question
252.33	of whether we use this crisis to jump forward
255.33	to a different kind of economy that's more suited to human needs,
259.33	to a better balance of economy and society.
263.33	And I think one of the lessons of history is that
265.33	even the deepest crises can be moments of opportunity.
270.33	They bring ideas from the margins into the mainstream.
