startsecond	text
12.133	I'm a teacher and a practitioner
14.014	of civics in America.
16.499	Now, I will kindly ask those of
16.499	you who have just fallen asleep
19.571	to please wake up. (Laughter)
21.683	"Why is it that the very word ""civics"""
23.974	has such a soporific, 
23.974	even a narcoleptic effect
26.865	on us?
28.171	I think it's because the very 
28.171	word signifies something
32.312	exceedingly virtuous, 
32.312	exceedingly important,
35.42	and exceedingly boring.
37.83	Well, I think it's the responsibility of people like us,
40.883	people who show up for gatherings like this
42.637	in person or online, in any way we can,
45.384	to make civics sexy again,
48.285	as sexy as it was during the American Revolution,
51.111	as sexy as it was during the Civil Rights Movement.
54.554	And I believe the way we make civics sexy again
57.76	is to make explicitly about the teaching of power.
62.11	The way we do that, I believe,
64.603	is at the level of the city.
66.997	This is what I want to talk about today,
68.796	and I want to start by defining some terms
71.108	and then I want to describe the scale
73.183	of the problem I think we face
75.046	and then suggest the ways that I believe cities
77.472	can be the seat of the solution.
79.992	So let me start with some definitions.
83.78	By civics, I simply mean the art
85.557	of being a pro-social, problem-solving contributor
88.808	in a self-governing community.
90.935	Civics is the art of citizenship,
93.364	what Bill Gates Sr. calls simply
95.479	showing up for life,
97.571	and it encompasses three things:
99.956	a foundation of values,
103.5	an understanding of the systems
103.5	that make the world go round,
107.266	and a set of skills
109.62	that allow you to pursue goals
111.104	and to have others join in that pursuit.
114.777	And that brings me to my definition of power,
117.036	which is simply this:
119.204	the capacity to make others do
121.87	what you would have them do.
124.631	It sounds menacing, doesn't it?
127.312	We don't like to talk about power.
129.653	We find it scary. We find it somehow evil.
135.347	We feel uncomfortable naming it.
137.129	In the culture and mythology of democracy,
139.542	power resides with the people.
141.285	Period. End of story.
143.078	Any further inquiry not necessary
144.653	and not really that welcome.
146.633	Power has a negative moral valence.
150.691	It sounds Machiavellian inherently.
153.473	It seems inherently evil.
156.107	But in fact power is no more inherently good or evil
159.912	than fire or physics.
163.03	It just is.
165.14	And power governs
166.346	how any form of government operates,
167.947	whether a democracy or a dictatorship.
171.427	And the problem we face today,
171.427	here in America in particular,
174.668	but all around the world,
176.198	is that far too many people 
176.198	are profoundly illiterate
179.483	in power —
181.463	what it is, who has it,
183.533	how it operates, how it flows,
185.996	what part of it is visible, 
185.996	what part of it is not,
188.516	why some people have it, 
188.516	why that's compounded.
192.128	And as a result of this illiteracy,
195.617	those few who do understand
198.483	how power operates in civic life,
200.973	those who understand
202.311	how a bill becomes a law, yes,
204.134	but also how a friendship 
204.134	becomes a subsidy,
208.289	or how a bias becomes a policy,
211.694	or how a slogan becomes a movement,
214.629	the people who understand those things
216.609	wield disproportionate influence,
218.18	and they're perfectly happy
219.66	to fill the vacuum created by the ignorance
222.74	of the great majority.
227.124	This is why it is so fundamental for us right now
230.543	to grab hold of this idea of power
234.999	and to democratize it.
236.755	One of the things that is so profoundly exciting
241.299	and challenging about this moment
243.282	is that as a result of this power illiteracy
246.484	that is so pervasive,
249.151	there is a concentration
252.24	of knowledge, of understanding, of clout.
256.491	I mean, think about it:
258.578	How does a friendship become a subsidy?
261.993	Seamlessly,
263.27	when a senior government official decides
265.905	to leave government and become a lobbyist
268.402	for a private interest
270.316	and convert his or her relationships into capital
273.018	for their new masters.
275.325	How does a bias become a policy?
277.75	Insidiously, just the way that
281.35	stop-and-frisk, for instance,
283.51	became over time a bureaucratic numbers game.
287.166	How does a slogan become a movement?
290.271	Virally, in the way that the Tea Party, for instance,
293.252	"was able to take the ""Don't Tread on Me"" flag"
296.718	from the American Revolution,
298.465	or how, on the other side,
300.315	a band of activists could take a magazine headline,
303.279	"""Occupy Wall Street,"""
305.216	and turn that into a global meme and movement.
308.132	The thing is, though, most people
310.638	aren't looking for and don't
310.638	want to see these realities.
313.89	So much of this ignorance, this civic illiteracy,
317.325	is willful.
319.122	There are some millennials, for instance,
320.97	who think the whole business is just sordid.
323.636	They don't want to have anything to do with politics.
325.312	They'd rather just opt out
326.391	and engage in volunteerism.
329.179	There are some techies out there
331.372	who believe that the cure-all
332.668	for any power imbalance or power abuse
