startsecond	text
13.863	What does it mean to spend our time well?
20.111	I spend a lot of my time
22.463	thinking about how to spend my time.
26.914	Probably too much --
26.914	I probably obsess over it.
29.225	My friends think I do.
30.694	But I feel like I kind of have to,
30.694	because these days,
35.205	it feels like little bits of my time
35.205	kind of slip away from me,
39.11	and when that happens, it feels like
39.11	parts of my life are slipping away.
45.086	Specifically,
46.261	it feels like little bits
46.261	of my time get slipped away
49.134	to various things like this,
50.762	like technology -- I check things.
53.515	I'll give you an example.
55.586	If this email shows up --
57.601	how many of you have gotten
57.601	an email like this, right?
60.31	I've been tagged in a photo.
63.684	When this appears,
65.511	I can't help but click on it right now.
68.946	Right? Because, like,
68.946	what if it's a bad photo?
71.511	So I have to click it right now.
73.582	But I'm not just going
73.582	"to click ""See photo,"""
76.053	what I'm actually going to do
76.053	is spend the next 20 minutes.
78.975	(Laughter)
80.176	But the worst part is that I know
80.176	this is what's going to happen,
84.237	and even knowing
84.237	that's what's going to happen
87.706	doesn't stop me
87.706	from doing it again the next time.
91.871	Or I find myself in a situation like this,
96.097	where I check my email
96.097	and I pull down to refresh,
101.164	But the thing is that 60 seconds later,
104.539	I'll pull down to refresh again.
110.145	Why am I doing this?
111.971	This doesn't make any sense.
115.01	But I'll give you a hint
115.01	why this is happening.
120.357	What do you think makes
120.357	more money in the United States
125.547	than movies, game parks
125.547	and baseball combined?
133.742	Slot machines.
137.195	How can slot machines make all this money
140.799	when we play with such small
140.799	amounts of money?
146.022	We play with coins.
147.704	How is this possible?
150.137	Well, the thing is ...
153.49	my phone is a slot machine.
157.809	Every time I check my phone,
159.821	I'm playing the slot machine to see,
162.162	what am I going to get?
163.925	What am I going to get?
165.109	Every time I check my email,
166.974	I'm playing the slot machine,
168.45	"saying, ""What am I going to get?"""
170.085	Every time I scroll a news feed,
173.334	I'm playing the slot machine to see,
175.3	what am I going to get next?
178.346	And the thing is that,
179.521	again, knowing exactly
179.521	how this works -- and I'm a designer,
182.637	I know exactly how
182.637	the psychology of this works,
184.938	I know exactly what's going on --
186.817	but it doesn't leave me with any choice,
189.083	I still just get sucked into it.
192.173	So what are we going to do?
194.991	Because it leaves us
194.991	with this all-or-nothing relationship
198.036	with technology, right?
200.478	You're either on,
202.51	and you're connected
202.51	and distracted all the time,
204.909	or you're off,
206.783	but then you're wondering,
208.061	am I missing something important?
210.352	In other words, you're either distracted
213.443	or you have fear of missing out.
216.363	Right?
218.822	So we need to restore choice.
223.942	We want to have
223.942	a relationship with technology
226.486	that gives us back choice
226.486	about how we spend time with it,
230.716	and we're going to need
230.716	help from designers,
234.662	because knowing this stuff doesn't help.
237.491	We're going to need design help.
239.567	So what would that look like?
242.656	So let's take an example that we all face:
245.487	chat -- text messaging.
248.089	So let's say there's two people.
249.69	Nancy's on the left
249.69	and she's working on a document,
252.87	and John's on the right.
254.669	And John suddenly remembers,
256.33	"""I need to ask Nancy"
256.33	"for that document before I forget."""
262.291	So when he sends her that message,
263.982	it blows away her attention.
267.436	That's what we're doing all the time,
267.436	bulldozing each other's attention,
270.868	left and right.
272.306	And there's serious cost to this,
274.534	because every time
274.534	we interrupt each other,
278.729	it takes us about 23 minutes, on average,
282	to refocus our attention.
283.864	We actually cycle through
283.864	two different projects
287.236	before we come back
287.236	to the original thing we were doing.
290.806	This is Gloria Mark's research
290.806	combined with Microsoft research,
295.171	that showed this.
296.553	And her research also shows
296.553	that it actually trains bad habits.
300.532	The more interruptions we get externally,
303.482	it's conditioning and training us
303.482	to interrupt ourselves.
308.303	We actually self-interrupt
308.303	every three-and-a-half minutes.
313.176	This is crazy.
314.351	So how do we fix this?
315.676	Because Nancy and John are in this
