startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
12.868	There's something that I'd like you to see.
16.473	(Video) Reporter: It's a story that's deeply unsettled
18.957	millions in China:
21.011	footage of a two-year-old girl
22.891	hit by a van and left bleeding in the street by passersby,
27.443	footage too graphic to be shown.
30.683	The entire accident is caught on camera.
33.363	The driver pauses after hitting the child,
36.171	his back wheels seen resting on her for over a second.
40.083	Within two minutes, three people pass two-year-old Wang Yue by.
44.028	The first walks around the badly injured toddler completely.
47.712	Others look at her before moving off.
53.54	Peter Singer: There were other people
54.807	who walked past Wang Yue,
57.134	and a second van ran over her legs
58.853	before a street cleaner raised the alarm.
62.069	She was rushed to hospital, but it was too late. She died.
67.27	I wonder how many of you, looking at that,
71.078	"said to yourselves just now, ""I would not have done that."
74.761	"I would have stopped to help."""
76.965	Raise your hands if that thought occurred to you.
80.865	As I thought, that's most of you.
83.741	And I believe you. I'm sure you're right.
85.708	But before you give yourself too much credit,
88.947	look at this.
90.609	UNICEF reports that in 2011,
94.785	6.9 million children under five
98.734	died from preventable, poverty-related diseases.
104.186	UNICEF thinks that that's good news
106.448	because the figure has been steadily coming down
109.626	from 12 million in 1990. That is good.
113.679	But still, 6.9 million
116.783	is 19,000 children dying every day.
122.107	Does it really matter
124.893	that we're not walking past them in the street?
127.798	Does it really matter that they're far away?
133.016	I don't think it does make a morally relevant difference.
136.434	The fact that they're not right in front of us,
138.842	the fact, of course, that they're of a different nationality
141.003	or race, none of that seems morally relevant to me.
144.978	What is really important is,
146.498	can we reduce that death toll? Can we save
150.763	some of those 19,000 children dying every day?
155.729	And the answer is, yes we can.
159.347	Each of us spends money
161.89	on things that we do not really need.
164.071	You can think what your own habit is,
166.003	whether it's a new car, a vacation
168.568	or just something like buying bottled water
171.248	when the water that comes out of the tap
173.271	is perfectly safe to drink.
175.801	You could take the money you're spending
177.448	on those unnecessary things
179.343	and give it to this organization,
181.709	the Against Malaria Foundation,
184.636	which would take the money you had given
187.208	and use it to buy nets like this one
190.911	to protect children like this one,
194.45	and we know reliably that if we provide nets,
198.746	they're used, and they reduce the number of children
202.148	dying from malaria,
204.604	just one of the many preventable diseases
207.412	that are responsible for some of those 19,000 children
211.364	dying every day.
215.012	Fortunately, more and more people
217.196	are understanding this idea,
219.71	and the result is a growing movement:
223.028	effective altruism.
225.684	It's important because it combines both the heart and the head.
230.068	The heart, of course, you felt.
231.779	You felt the empathy for that child.
234.922	But it's really important to use the head as well
238.956	to make sure that what you do is effective and well-directed,
243.749	and not only that, but also I think reason helps us
248.083	to understand that other people, wherever they are,
251.852	are like us, that they can suffer as we can,
255.443	that parents grieve for the deaths of their children,
258.116	as we do,
259.919	and that just as our lives and our well-being matter to us,
264.137	it matters just as much to all of these people.
267.38	So I think reason is not just some neutral tool
270.448	to help you get whatever you want.
271.943	It does help us to put perspective on our situation.
276.573	And I think that's why
278.452	many of the most significant people in effective altruism
283.458	have been people who have had backgrounds
285.842	in philosophy or economics or math.
290.58	And that might seem surprising,
292.045	because a lot of people think,
293.378	"""Philosophy is remote from the real world;"
297.191	economics, we're told, just makes us more selfish,
301.134	"and we know that math is for nerds."""
304.665	But in fact it does make a difference,
307.423	and in fact there's one particular nerd
309.359	who has been a particularly effective altruist
313.579	because he got this.
315.496	This is the website of the Bill &amp; Melinda Gates Foundation,
318.775	and if you look at the words on the top right-hand side,
322.571	"it says, ""All lives have equal value."""
326.498	That's the understanding,
328.367	the rational understanding of our situation in the world
331.989	that has led to these people
334.25	being the most effective altruists in history,
338.931	Bill and Melinda Gates and Warren Buffett.
341.603	(Applause)
347.736	No one, not Andrew Carnegie, not John D. Rockefeller,
