startsecond	text
18.33	Most of the time, art and science stare at each other
22.33	across a gulf of mutual incomprehension.
25.33	There is great confusion when the two look at each other.
30.33	Art, of course, looks at the world through the psyche,
34.33	the emotions -- the unconscious at times -- and of course the aesthetic.
38.33	Science tends to look at the world through the rational, the quantitative --
43.33	things that can be measured and described --
46.33	but it gives art a terrific context of understanding.
50.33	In the Extreme Ice Survey,
54.33	we're dedicated to bringing those two parts of human understanding together,
59.33	to merging the art and science
61.33	to the end of helping us understand nature
64.33	and humanity's relationship with nature better.
68.33	Specifically, I as a person
70.33	who's been a professional nature photographer my whole adult life,
74.33	am firmly of the belief that photography, video, film
78.33	have tremendous powers for helping us understand
82.33	and shape the way we think about nature
85.33	and about ourselves in relationship to nature.
88.33	In this project, we're specifically interested, of course, in ice.
92.33	I'm fascinated by the beauty of it, the mutability of it,
96.33	the malleability of it,
98.33	and the fabulous shapes in which it can carve itself.
101.33	These first images are from Greenland.
103.33	But ice has another meaning.
105.33	Ice is the canary in the global coal mine.
108.33	It's the place where we can see and touch and hear and feel climate change in action.
114.33	Climate change is a really abstract thing in most of the world.
118.33	Whether or not you believe in it is based on your sense of
121.33	is it raining more or is it raining less?
123.33	Is it getting hotter or is it getting colder?
125.33	What do the computer models say about this, that and the other thing?
130.33	All of that, strip it away. In the world of the arctic and alpine environments,
134.33	where the ice is, it's real and it's present.
137.33	The changes are happening. They're very visible.
140.33	They're photographable. They're measurable.
148.33	That's outside Antarctica.
153.33	and that's because the precipitation patterns and the temperature patterns are changing.
157.33	There is no significant scientific dispute about that.
161.33	It's been observed, it's measured, it's bomb-proof information.
164.33	And the great irony and tragedy of our time
166.33	is that a lot of the general public thinks that science is still arguing about that.
171.33	Science is not arguing about that.
173.33	In these images we see ice from enormous glaciers,
178.33	ice sheets that are hundreds of thousands of years old
180.33	breaking up into chunks, and chunk by chunk by chunk,
184.33	iceberg by iceberg, turning into global sea level rise.
187.33	So, having seen all of this in the course of a 30-year career,
191.33	I was still a skeptic about climate change until about 10 years ago,
194.33	because I thought the story of climate change was based on computer models.
200.33	I hadn't realized it was based on concrete measurements
204.33	of what the paleoclimates -- the ancient climates -- were,
207.33	as recorded in the ice sheets, as recorded in deep ocean sediments,
213.33	as recorded in lake sediments, tree rings,
215.33	and a lot of other ways of measuring temperature.
219.33	When I realized that climate change was real, and it was not based on computer models,
224.33	I decided that one day I would do a project
226.33	looking at trying to manifest climate change photographically.
230.33	And that led me to this project.
233.33	Initially, I was working on a National Geographic assignment --
236.33	conventional, single frame, still photography.
238.33	And one crazy day, I got the idea that I should --
242.33	after that assignment was finished --
244.33	I got the idea that I should shoot in time-lapse photography,
248.33	that I should station a camera or two at a glacier
252.33	and let it shoot every 15 minutes, or every hour or whatever
