startsecond	text
15.26	Welcome to Thailand.
18.26	Now, when I was a young man -- 40 years ago,
21.26	the country was very, very poor
23.26	with lots and lots and lots of people living in poverty.
26.26	We decided to do something about it,
29.26	but we didn't begin with a welfare program
31.26	or a poverty reduction program.
34.26	But we began with a family-planning program,
37.26	following a very successful
39.26	maternal child health activity,
41.26	sets of activities.
43.26	So basically, no one would accept family planning
46.26	if their children didn't survive.
48.26	So the first step: get to the children, get to the mothers,
51.26	and then follow up with family planning.
53.26	Not just child mortality alone, you need also family planning.
56.26	Now let me take you back
58.26	as to why we needed to do it.
60.26	In my country, that was the case in 1974.
63.26	Seven children per family --
65.26	tremendous growth at 3.3 percent.
67.26	There was just no future.
69.26	We needed to reduce the population growth rate.
71.26	"So we said, ""Let's do it."""
73.26	"The women said, ""We agree. We'll use pills,"
75.26	"but we need a doctor to prescribe the pills,"""
78.26	and we had very, very few doctors.
80.26	We didn't take no as an answer;
82.26	we took no as a question.
84.26	We went to the nurses and the midwives, who were also women,
87.26	and did a fantastic job
89.26	at explaining how to use the pill.
91.26	That was wonderful,
93.26	but it covered only 20 percent of the country.
95.26	What do we do for the other 80 percent --
97.26	"leave them alone and say, ""Well, they're not medical personnel."""
100.26	No, we decided to do a bit more.
102.26	So we went to the ordinary people that you saw.
105.26	Actually, below that yellow sign --
107.26	I wish they hadn't wiped that,
109.26	"because there was ""Coca-Cola"" there."
112.26	We were so much bigger than Coca-Cola in those days.
115.26	And no difference,
117.26	the people they chose were the people we chose.
120.26	They were well-known in the community,
122.26	they knew that customers were always right,
124.26	and they were terrific, and they practiced their family planning themselves.
127.26	So they could supply pills and condoms
129.26	throughout the country, in every village of the country.
131.26	So there we are. We went to the people
133.26	who were seen as the cause of the problem
135.26	to be the solution.
137.26	Wherever there were people --
139.26	and you can see boats with the women, selling things --
141.26	here's the floating market
143.26	selling bananas and crabs
145.26	and also contraceptives --
147.26	wherever you find people,
149.26	you'll find contraceptives in Thailand.
151.26	And then we decided, why not get to religion
153.26	because in the Philippines,
155.26	the Catholic Church was pretty strong,
157.26	and Thai people were Buddhist.
159.26	"We went to them and they said, ""Look, could you help us?"""
161.26	I'm there -- the one in blue, not the yellow --
164.26	holding a bowl of holy water
166.26	for the monk to sprinkle holy water
168.26	on pills and condoms
170.26	for the sanctity of the family.
173.26	And this picture was sent throughout the country.
175.26	So some of the monks in the villages were doing the same thing themselves.
178.26	"And the women were saying, ""No wonder we have no side-effects."
181.26	"It's been blessed."""
183.26	That was their perception.
185.26	And then we went to teachers.
187.26	You need everybody to be involved
190.26	in trying to provide whatever it is
193.26	that make humanity a better place.
195.26	So we went to the teachers.
197.26	Over a quarter of a million were taught about family planning
199.26	with a new alphabet -- A, B for birth, C for condom,
202.26	I for IUD, V for vasectomy.
204.26	And then we had a snakes and ladders game, where you throw dice.
206.26	If you land on anything pro-family planning, you move ahead.
209.26	"Like, ""Mother takes the pill every night."
211.26	Very good, mother. Move ahead.
213.26	Uncle buys a condom. Very good, uncle. Move ahead.
215.26	"Uncle gets drunk, doesn't use condom. Come back, start again."""
217.26	(Laughter)
219.26	Again, education, class entertainment.
222.26	And the kids were doing it in school too.
224.26	We had relay races with condoms,
226.26	we had children's condom-blowing championship.
228.26	And before long,
230.26	the condom was know as the girl's best friend.
233.26	In Thailand, for poor people, diamonds don't make it --
235.26	so the condom is the girl's best friend.
239.26	We introduced our first microcredit program in 1975,
242.26	and the women who organized it said,
244.26	"""We only want to lend"
246.26	to women who practice family planning.
248.26	If you're pregnant, take care of your pregnancy.
250.26	"If you're not pregnant, you can take a loan out from us."""
252.26	And that was run by them.
254.26	And after 35/36 years,
256.26	it's still going on.
258.26	It's a part of the Village Development Bank;
260.26	it's not a real bank, but it's a fund -- microcredit.
263.26	And we didn't need a big organization to run it --
265.26	it was run by the villagers themselves.
267.26	And you probably hardly see a Thai man there,
269.26	it's always women, women, women, women.
272.26	And then we thought we'd help America,
274.26	because America's been helping everyone,
276.26	whether they want help or not.
278.26	(Laughter)
283.26	And this is on the Fourth of July.
286.26	We decided to provide vasectomy to all men,
289.26	but in particular, American men to the front of the queue,
291.26	right up to the Ambassador's residence
293.26	during his [unclear].
295.26	And the hotel gave us the ballroom for it --
297.26	very appropriate room.
299.26	(Laughter)
302.26	And since it was near lunch time,
