startsecond	text
15.26	I have a doppelganger.
18.26	(Laughter)
21.26	Dr. Gero is a brilliant
24.26	but slightly mad scientist
26.26	"in the ""Dragonball Z: Android Saga."""
29.26	If you look very carefully,
31.26	you see that his skull has been replaced
34.26	with a transparent Plexiglas dome
36.26	so that the workings of his brain can be observed
39.26	and also controlled with light.
42.26	That's exactly what I do --
44.26	optical mind control.
46.26	(Laughter)
48.26	But in contrast to my evil twin
50.26	who lusts after world domination,
53.26	my motives are not sinister.
56.26	I control the brain
58.26	in order to understand how it works.
60.26	Now wait a minute, you may say,
62.26	how can you go straight to controlling the brain
65.26	without understanding it first?
67.26	Isn't that putting the cart before the horse?
71.26	Many neuroscientists agree with this view
74.26	and think that understanding will come
77.26	from more detailed observation and analysis.
80.26	"They say, ""If we could record the activity of our neurons,"
84.26	"we would understand the brain."""
87.26	But think for a moment what that means.
90.26	Even if we could measure
92.26	what every cell is doing at all times,
94.26	we would still have to make sense
96.26	of the recorded activity patterns,
98.26	and that's so difficult,
100.26	chances are we'll understand these patterns
102.26	just as little as the brains that produce them.
105.26	Take a look at what brain activity might look like.
108.26	In this simulation, each black dot
110.26	is one nerve cell.
112.26	The dot is visible
114.26	whenever a cell fires an electrical impulse.
116.26	There's 10,000 neurons here.
118.26	So you're looking at roughly one percent
120.26	of the brain of a cockroach.
124.26	Your brains are about 100 million times
127.26	more complicated.
129.26	Somewhere, in a pattern like this,
131.26	is you,
133.26	your perceptions,
135.26	your emotions, your memories,
138.26	your plans for the future.
140.26	But we don't know where,
142.26	since we don't know how to read the pattern.
145.26	We don't understand the code used by the brain.
148.26	To make progress,
150.26	we need to break the code.
152.26	But how?
155.26	An experienced code-breaker will tell you
157.26	that in order to figure out what the symbols in a code mean,
160.26	it's essential to be able to play with them,
163.26	to rearrange them at will.
165.26	So in this situation too,
167.26	to decode the information
169.26	contained in patterns like this,
171.26	watching alone won't do.
173.26	We need to rearrange the pattern.
175.26	In other words,
177.26	instead of recording the activity of neurons,
179.26	we need to control it.
181.26	It's not essential that we can control
183.26	the activity of all neurons in the brain, just some.
186.26	The more targeted our interventions, the better.
188.26	And I'll show you in a moment
190.26	how we can achieve the necessary precision.
193.26	And since I'm realistic, rather than grandiose,
196.26	I don't claim that the ability to control the function of the nervous system
199.26	will at once unravel all its mysteries.
202.26	But we'll certainly learn a lot.
207.26	Now, I'm by no means
209.26	the first person to realize
211.26	how powerful a tool intervention is.
214.26	The history of attempts
216.26	to tinker with the function of the nervous system
218.26	is long and illustrious.
220.26	It dates back at least 200 years,
223.26	to Galvani's famous experiments
225.26	in the late 18th century and beyond.
229.26	Galvani showed that a frog's legs twitched
232.26	when he connected the lumbar nerve
234.26	to a source of electrical current.
237.26	This experiment revealed the first, and perhaps most fundamental,
240.26	nugget of the neural code:
242.26	that information is written in the form
244.26	of electrical impulses.
248.26	Galvani's approach
250.26	of probing the nervous system with electrodes
252.26	has remained state-of-the-art until today,
255.26	despite a number of drawbacks.
258.26	Sticking wires into the brain is obviously rather crude.
261.26	It's hard to do in animals that run around,
263.26	and there is a physical limit
265.26	to the number of wires
267.26	that can be inserted simultaneously.
270.26	So around the turn of the last century,
272.26	I started to think,
274.26	"""Wouldn't it be wonderful if one could take this logic"
277.26	"and turn it upside down?"""
279.26	So instead of inserting a wire
281.26	into one spot of the brain,
284.26	re-engineer the brain itself
286.26	so that some of its neural elements
289.26	become responsive to diffusely broadcast signals
292.26	such as a flash of light.
295.26	Such an approach would literally, in a flash of light,
298.26	overcome many of the obstacles to discovery.
301.26	First, it's clearly a non-invasive,
304.26	wireless form of communication.
307.26	And second, just as in a radio broadcast,
309.26	you can communicate with many receivers at once.
312.26	You don't need to know where these receivers are,
315.26	and it doesn't matter if these receivers move --
317.26	just think of the stereo in your car.
320.26	It gets even better,
323.26	for it turns out that we can fabricate the receivers
326.26	out of materials that are encoded in DNA.
329.26	So each nerve cell
331.26	with the right genetic makeup
333.26	will spontaneously produce a receiver
336.26	that allows us to control its function.
339.26	I hope you'll appreciate
341.26	the beautiful simplicity
343.26	of this concept.
345.26	There's no high-tech gizmos here,
347.26	just biology revealed through biology.
351.26	Now let's take a look at these miraculous receivers up close.
354.26	As we zoom in on one of these purple neurons,
357.26	we see that its outer membrane
