startsecond	text
15.26	The National Portrait Gallery is the place dedicated
19.26	to presenting great American lives,
21.26	amazing people.
23.26	And that's what it's about.
25.26	We use portraiture as a way to deliver those lives, but that's it.
29.26	And so I'm not going to talk about the painted portrait today.
33.26	I'm going to talk about a program I started there,
36.26	which, from my point of view, is the proudest thing I did.
41.26	I started to worry about the fact
45.26	that a lot of people don't get their portraits painted anymore,
48.26	and they're amazing people,
50.26	and we want to deliver them to future generations.
53.26	So, how do we do that?
55.26	And so I came up with the idea of the living self-portrait series.
57.26	And the living self-portrait series was the idea of basically
61.26	my being a brush in the hand
63.26	of amazing people who would come and I would interview.
66.26	And so what I'm going to do is, not so much give you
69.26	the great hits of that program,
71.26	as to give you this whole notion
73.26	of how you encounter people in that kind of situation,
76.26	what you try to find out about them,
78.26	and when people deliver and when they don't and why.
83.26	Now, I had two preconditions.
86.26	One was that they be American.
88.26	That's just because, in the nature of the National Portrait Gallery,
91.26	it's created to look at American lives.
94.26	That was easy, but then I made the decision,
97.26	maybe arbitrary,
99.26	that they needed to be people of a certain age,
103.26	which at that point, when I created this program,
105.26	seemed really old.
107.26	Sixties, seventies, eighties and nineties.
110.26	For obvious reasons, it doesn't seem that old anymore to me.
112.26	And why did I do that?
114.26	Well, for one thing, we're a youth-obsessed culture.
116.26	And I thought really what we need is an elders program
120.26	to just sit at the feet of amazing people and hear them talk.
124.26	But the second part of it -- and the older I get,
128.26	the more convinced I am that that's true.
131.26	It's amazing what people will say when they know
134.26	how the story turned out.
136.26	That's the one advantage that older people have.
140.26	Well, they have other, little bit of advantage,
142.26	but they also have some disadvantages,
144.26	but the one thing they or we have is that
146.26	we've reached the point in life
148.26	where we know how the story turned out.
151.26	So, we can then go back in our lives,
153.26	if we've got an interviewer who gets that,
156.26	and begin to reflect on how we got there.
160.26	All of those accidents that wound up
163.26	creating the life narrative that we inherited.
166.26	So, I thought okay, now,
168.26	what is it going to take to make this work?
171.26	There are many kinds of interviews. We know them.
173.26	There are the journalist interviews,
175.26	which are the interrogation that is expected.
177.26	This is somewhat against resistance
179.26	and caginess on the part of the interviewee.
183.26	Then there's the celebrity interview,
185.26	where it's more important who's asking the question than who answers.
188.26	That's Barbara Walters and others like that, and we like that.
192.26	That's Frost-Nixon, where Frost seems to be as important
195.26	as Nixon in that process.
197.26	Fair enough.
199.26	But I wanted interviews that were different.
201.26	I wanted to be, as I later thought of it, empathic,
208.26	which is to say, to feel what they wanted to say
213.26	and to be an agent of their self-revelation.
217.26	By the way, this was always done in public.
219.26	This was not an oral history program.
221.26	This was all about 300 people sitting at the feet of this individual,
226.26	and having me be the brush in their self-portrait.
230.26	Now, it turns out that I was pretty good at that.
233.26	I didn't know it coming into it.
235.26	And the only reason I really know that
237.26	is because of one interview I did with Senator William Fulbright,
242.26	and that was six months after he'd had a stroke.
246.26	And he had never appeared in public since that point.
248.26	This was not a devastating stroke,
250.26	but it did affect his speaking and so forth.
253.26	And I thought it was worth a chance,
255.26	he thought it was worth a chance,
257.26	and so we got up on the stage,
259.26	and we had an hour conversation about his life,
262.26	and after that a woman rushed up to me,
265.26	essentially did,
267.26	"and she said, ""Where did you train as a doctor?"""
270.26	"And I said, ""I have no training as a doctor. I never claimed that."""
274.26	"And she said, ""Well, something very weird was happening."
278.26	When he started a sentence, particularly
280.26	in the early parts of the interview,
283.26	and paused, you gave him the word,
285.26	the bridge to get to the end of the sentence,
288.26	and by the end of it,
290.26	"he was speaking complete sentences on his own."""
293.26	I didn't know what was going on,
295.26	but I was so part of the process of getting that out.
298.26	So I thought, okay, fine, I've got empathy,
302.26	or empathy, at any rate,
304.26	is what's critical to this kind of interview.
306.26	But then I began to think of other things.
308.26	Who makes a great interview in this context?
312.26	It had nothing to do with their intellect,
314.26	the quality of their intellect.
316.26	Some of them were very brilliant,
318.26	some of them were,
320.26	you know, ordinary people who would never claim to be intellectuals,
323.26	but it was never about that.
326.26	It was about their energy.
329.26	It's energy that creates extraordinary interviews
332.26	and extraordinary lives.
334.26	I'm convinced of it.
336.26	And it had nothing to do with the energy of being young.
339.26	These were people through their 90s.
341.26	In fact, the first person I interviewed
343.26	was George Abbott, who was 97,
346.26	and Abbott was filled with the life force --
349.26	I guess that's the way I think about it -- filled with it.
351.26	And so he filled the room,
353.26	and we had an extraordinary conversation.
356.26	He was supposed to be the toughest interview that anybody would ever do
359.26	because he was famous for being silent,
363.26	for never ever saying anything
365.26	except maybe a word or two.
367.26	And, in fact, he did wind up opening up --
369.26	by the way, his energy is evidenced in other ways.
373.26	He subsequently got married again at 102,
376.26	so he, you know, he had a lot of the life force in him.
380.26	But after the interview, I got a call,
382.26	very gruff voice, from a woman.
386.26	I didn't know who she was,
388.26	"and she said, ""Did you get George Abbott to talk?"""
392.26	"And I said, ""Yeah. Apparently I did."""
395.26	"And she said, ""I'm his old girlfriend, Maureen Stapleton,"
399.26	"and I could never do it."""
401.26	And then she made me go up with the tape of it
404.26	and prove that George Abbott actually could talk.
407.26	So, you know, you want energy,
409.26	you want the life force,
411.26	but you really want them also to think
415.26	that they have a story worth sharing.
419.26	The worst interviews that you can ever have
422.26	are with people who are modest.
425.26	Never ever get up on a stage with somebody who's modest,
428.26	because all of these people have been assembled
431.26	to listen to them, and they sit there and they say,
433.26	"""Aw, shucks, it was an accident."""
435.26	There's nothing that ever happens that justifies
439.26	people taking good hours of the day to be with them.
443.26	The worst interview I ever did: William L. Shirer.
446.26	"The journalist who did ""The Rise and Fall of the Third Reich."""
451.26	This guy had met Hitler and Gandhi within six months,
455.26	"and every time I'd ask him about it, he'd say, ""Oh, I just happened to be there."
458.26	"Didn't matter."" Whatever."
461.26	Awful.
463.26	I never would ever agree to interview a modest person.
466.26	They have to think that they did something
468.26	and that they want to share it with you.
470.26	But it comes down, in the end,
474.26	to how do you get through all the barriers we have.
481.26	All of us are public and private beings,
484.26	and if all you're going to get from the interviewee is their public self,
490.26	there's no point in it.
492.26	It's pre-programmed. It's infomercial,
495.26	and we all have infomercials about our lives.
498.26	We know the great lines, we know the great moments,
501.26	we know what we're not going to share,
503.26	and the point of this was not to embarrass anybody.
506.26	This wasn't -- and some of you will remember
508.26	Mike Wallace's old interviews --
510.26	tough, aggressive and so forth. They have their place.
513.26	I was trying to get them to say what they probably wanted to say,
517.26	to break out of their own cocoon of the public self,
524.26	and the more public they had been,
526.26	the more entrenched that person, that outer person was.
531.26	And let me tell you at once the worse moment and the best moment
534.26	that happened in this interview series.
536.26	It all has to do with that shell that most of us have,
541.26	and particularly certain people.
544.26	There's an extraordinary woman named Clare Boothe Luce.
547.26	It'll be your generational determinant
550.26	as to whether her name means much to you.
553.26	She did so much. She was a playwright.
558.26	"She did an extraordinary play called ""The Women."""
561.26	She was a congresswoman
563.26	when there weren't very many congresswomen.
566.26	She was editor of Vanity Fair,
568.26	one of the great phenomenal women of her day.
572.26	And, incidentally, I call her
575.26	the Eleanor Roosevelt of the Right.
578.26	She was sort of adored on the Right
580.26	the way Eleanor Roosevelt was on the Left.
