startsecond	text
13.015	You may never have heard
13.015	of Kenema, Sierra Leone
15.801	or Arua, Nigeria.
17.357	But I know them as two of the most
17.357	extraordinary places on earth.
21.956	In hospitals there, there's a community
21.956	of nurses, physicians and scientists
27.033	that have been quietly battling
28.614	one of the deadliest threats
28.614	to humanity for years:
31.338	Lassa virus.
33.118	Lassa virus is a lot like Ebola.
35.28	It can cause a severe fever
35.28	and can often be fatal.
39.053	But these individuals,
39.053	they risk their lives every day
43.016	to protect the individuals
43.016	in their communities,
45.957	and by doing so, protect us all.
49.093	But one of the most extraordinary things
49.093	I learned about them
52.025	on one of my first visits
52.025	out there many years ago
54.616	was that they start each morning --
56.349	these challenging, extraordinary days
56.349	on the front lines -- by singing.
61.731	They gather together,
61.731	and they show their joy.
65.094	They show their spirit.
66.64	And over the years,
67.823	from year after year as I've visited them
67.823	and they've visited me,
70.96	I get to gather with them and I sing
72.977	and we write and we love it,
75.175	because it reminds us that we're not
75.175	just there to pursue science together;
78.742	we're bonded through a shared humanity.
81.586	And that of course, as you can imagine,
81.586	becomes extremely important,
85.933	even essential, as things begin to change.
88.73	And that changed a great deal
88.73	in March of 2014,
93.543	when the Ebola outbreak
93.543	was declared in Guinea.
96.426	This is the first outbreak in West Africa,
98.582	near the border
98.582	of Sierra Leone and Liberia.
102.074	And it was frightening,
102.074	frightening for us all.
104.62	We had actually suspected for some time
106.556	that Lassa and Ebola were more
106.556	widespread than thought,
109.222	and we thought it could
109.222	one day come to Kenema.
111.896	And so members of my team
111.896	immediately went out
114.33	and joined Dr. Humarr Khan
114.33	and his team there,
116.751	and we set up diagnostics to be able
116.751	to have sensitive molecular tests
120.452	to pick up Ebola if it came
120.452	across the border
122.629	and into Sierra Leone.
123.916	We'd already set up this kind
123.916	of capacity for Lassa virus,
126.936	we knew how to do it,
128.117	the team is outstanding.
129.571	We just had to give them
129.571	the tools and place to survey for Ebola.
133.34	And unfortunately, that day came.
134.992	On May 23, 2014, a woman checked
134.992	into the maternity ward at the hospital,
139.997	and the team ran
139.997	those important molecular tests
143.747	and they identified the first
143.747	confirmed case of Ebola in Sierra Leone.
148.107	This was an exceptional
148.107	work that was done.
150.18	They were able to diagnose
150.18	the case immediately,
152.464	to safely treat the patient
154.801	and to begin to do contact tracing
154.801	to follow what was going on.
157.843	It could've stopped something.
159.839	But by the time that day came,
162.71	the outbreak had already
162.71	been breeding for months.
165.092	With hundreds of cases, it had already
165.092	eclipsed all previous outbreaks.
168.756	And it came into Sierra Leone
168.756	not as that singular case,
172.424	but as a tidal wave.
174.12	We had to work
174.12	with the international community,
176.419	with the Ministry of Health, with Kenema,
176.419	to begin to deal with the cases,
