startsecond	text
12.16	I'm delighted to be here.
14.16	I'm honored by the invitation, and thanks.
17.16	I would love to talk about stuff that I'm interested in,
20.16	but unfortunately, I suspect that what I'm interested in
22.16	won't interest many other people.
25.16	First off, my badge says I'm an astronomer.
27.16	I would love to talk about my astronomy,
29.16	but I suspect that the number of people who are interested in radiative transfer
32.16	in non-gray atmospheres
34.16	and polarization of light in Jupiter's upper atmosphere
36.16	are the number of people who'd fit in a bus shelter.
38.16	So I'm not going to talk about that.
40.16	(Laughter)
42.16	It would be just as much fun
44.16	to talk about some stuff that happened in 1986 and 1987,
47.16	when a computer hacker is breaking into our systems
50.16	over at Lawrence Berkeley Labs.
52.16	And I caught the guys,
54.16	and they turned out to be working for what was then the Soviet KGB,
58.16	and stealing information and selling it.
60.16	And I'd love to talk about that -- and it'd be fun --
64.16	but, 20 years later ...
67.16	I find computer security, frankly, to be kind of boring.
69.16	It's tedious.
71.16	I'm --
72.16	The first time you do something, it's science.
76.16	The second time, it's engineering.
79.16	A third time, it's just being a technician.
82.16	I'm a scientist. Once I do something, I do something else.
85.16	So, I'm not going to talk about that.
87.16	Nor am I going to talk about what I think are obvious statements from my first book,
94.16	"""Silicon Snake Oil,"" or my second book,"
98.16	nor am I going to talk about
100.16	why I believe computers don't belong in schools.
103.16	I feel that there's a massive and bizarre idea going around
107.16	that we have to bring more computers into schools.
111.16	My idea is: no! No!
113.16	Get them out of schools, and keep them out of schools.
117.16	And I'd love to talk about this,
119.16	but I think the argument is so obvious to anyone who's hung around a fourth grade classroom
124.16	that it doesn't need much talking about --
128.16	but I guess I may be very wrong about that,
130.16	and everything else that I've said.
131.16	So don't go back and read my dissertation.
133.16	It probably has lies in it as well.
135.16	Having said that, I outlined my talk about five minutes ago.
139.16	(Laughter)
142.16	And if you look at it over here,
144.16	the main thing I wrote on my thumb was the future.
147.16	I'm supposed to talk about the future, yes?
150.16	Oh, right. And my feeling is, asking me to talk about the future is bizarre,
157.16	because I've got gray hair,
159.16	and so, it's kind of silly for me to talk about the future.
165.16	In fact, I think that if you really want to know what the future's going to be,
169.16	if you really want to know about the future,
171.16	don't ask a technologist, a scientist, a physicist.
175.16	No! Don't ask somebody who's writing code.
182.16	No, if you want to know what society's going to be like in 20 years,
187.16	ask a kindergarten teacher.
189.16	They know.
192.16	In fact, don't ask just any kindergarten teacher,
195.16	ask an experienced one.
197.16	They're the ones who know what society is going to be like in another generation.
201.16	I don't. Nor, I suspect,
203.16	do many other people who are talking about what the future will bring.
206.16	Certainly, all of us can imagine these cool new things
210.16	that are going to be there.
211.16	But to me, things aren't the future.
215.16	What I ask myself is, what's society is going to be like,
218.16	when the kids today are phenomenally good at text messaging
224.16	and spend a huge amount of on-screen time,
227.16	but have never gone bowling together?
233.16	Change is happening, and the change that is happening
236.16	is not one that is in software.
239.16	But that's not what I'm going to talk about.
240.16	I'd love to talk about it, it'd be fun,
243.16	but I want to talk about what I'm doing now. What am I doing now?
246.16	Oh -- the other thing that I think I'd like to talk about
248.16	is right over here. Right over here.
252.16	Is that visible? What I'd like to talk about is one-sided things.
258.16	I would dearly love to talk about
260.16	things that have one side.
263.16	Because I love Mobius loops. I not only love Mobius loops,
267.16	but I'm one of the very few people,
270.16	if not the only person in the world, that makes Klein bottles.
273.16	Right away, I hope that all of your eyes glaze over.
276.16	This is a Klein bottle.
279.16	For those of you in the audience who know,
282.16	you roll your eyes and say, yup, I know all about it.
284.16	It's one sided. It's a bottle whose inside is its outside.
286.16	It has zero volume. And it's non-orientable.
289.16	It has wonderful properties.
291.16	If you take two Mobius loops and sew their common edge together,
293.16	you get one of these, and I make them out of glass.
296.16	And I'd love to talk to you about this,
298.16	but I don't have much in the way of ... things to say because --
304.16	(Laughter)
306.16	(Chris Anderson: I've got a cold.)
307.16	"However, the ""D"" in TED of course stands for design."
314.16	Just two weeks ago I made --
316.16	you know, I've been making small, medium and big Klein bottles for the trade.
322.16	But what I've just made --
326.16	and I'm delighted to show you, first time in public here.
335.16	This is a Klein bottle wine bottle,
340.16	which, although in four dimensions
343.16	it shouldn't be able to hold any fluid at all,
346.16	it's perfectly capable of doing so
348.16	because our universe has only three spatial dimensions.
350.16	And because our universe is only three spatial dimensions,
353.16	it can hold fluids.
356.16	So it's highly -- that one's the cool one.
361.16	That was a month of my life.
366.16	But although I would love to talk about topology with you, I'm not going to.
371.16	(Laughter)
377.16	Instead, I'm going to mention my mom,
382.16	who passed away last summer.
385.16	Had collected photographs of me, as mothers will do.
388.16	Could somebody put this guy up?
390.16	And I looked over her album
394.16	and she had collected a picture of me, standing --
397.16	well, sitting -- in 1969, in front of a bunch of dials.
402.16	And I looked at it, and said, oh my god,
405.16	that was me, when I was working at the electronic music studio!
407.16	As a technician, repairing and maintaining
411.16	the electronic music studio at SUNY Buffalo. And wow!
415.16	Way back machine. And I said to myself, oh yeah!
421.16	And it sent me back.
425.16	Soon after that, I found in another picture that she had, a picture of me.
433.16	This guy over here of course is me.
437.16	This man is Robert Moog,
439.16	the inventor of the Moog synthesizer,
441.16	who passed away this past August.
446.16	Robert Moog was a generous, kind person, extraordinarily competent engineer.
451.16	A musician who took time from his life to teach me,
457.16	a sophomore, a freshman at SUNY Buffalo.
460.16	He'd come up from Trumansburg to teach me
465.16	not just about the Moog synthesizer, but we'd be sitting there --
469.16	I'm studying physics at the time. This is 1969, 70, 71.
472.16	We're studying physics, I'm studying physics,
474.16	"and he's saying, ""That's a good thing to do."
476.16	"Don't get caught up in electronic music if you're doing physics."""
478.16	Mentoring me. He'd come up and
481.16	spend hours and hours with me.
485.16	He wrote a letter of recommendation for me to get into graduate school.
488.16	In the background, my bicycle.
490.16	I realize that this picture was taken at a friend's living room.
493.16	Bob Moog came by and hauled a whole pile of equipment
496.16	to show Greg Flint and I things about this.
498.16	We sat around talking about Fourier transforms,
500.16	Bessel functions, modulation transfer functions,
503.16	stuff like this.
508.16	Bob's passing this past summer has been a loss to all of us.
511.16	Anyone who's a musician has been profoundly influenced by Robert Moog.
516.16	(Applause)
518.16	And I'll just say what I'm about to do. What I'm about to do --
523.16	I hope you can recognize that there's a distorted sine wave,
527.16	almost a triangular wave upon this Hewlett-Packard oscilloscope.
533.16	Oh, cool. I can get to this place over here, right?
538.16	Kids. Kids is what I'm going to talk about -- is that okay?
540.16	It says kids over here, that's what I'd like to talk about.
544.16	I've decided that, for me at least,
548.16	I don't have a big enough head.
553.16	So I think locally and I act locally.
556.16	I feel that the best way I can help out anything is to help out very, very locally.
560.16	So Ph.D. this, and degree there, and the yadda yadda.
565.16	I was talking about this stuff to
569.16	some schoolteachers about a year ago.
571.16	And one of them, several of them would come up to me and say,
573.16	"""Well, how come you ain't teaching?"""
575.16	"And I said, ""Well, I've taught graduate --"
576.16	"I've had graduate students, I've taught undergraduate classes."""
579.16	"No, they said, ""If you're so into kids and all this stuff,"
581.16	how come you ain't over here on the front lines?
584.16	"Put your money where you mouth is."""
588.16	Is true. Is true. I teach eighth-grade science four days a week.
594.16	Not just showing up every now and then.
596.16	No, no, no, no, no. I take attendance.
600.16	I take lunch hour. (Applause)
603.16	This is not -- no, no, no, this is not claps.
606.16	I strongly suggest that this is a good thing for each of you to do.
610.16	Not just show up to class every now and then.
612.16	Teach a solid week. Okay, I'm teaching three-quarters time, but good enough.
616.16	One of the things that I've done for my science students
618.16	"is to tell them, ""Look, I'm going to teach you college-level physics."
621.16	No calculus, I'll cut out that.
623.16	You won't need to know trig.
625.16	But you will need to know eighth-grade algebra,
628.16	and we're going to do serious experiments.
630.16	None of this open-to-chapter-seven-and-do-all-the-odd-problem-sets.
633.16	"We're going to be doing genuine physics."""
636.16	And that's one of the things I thought I'd do right now.
638.16	(High-pitched tone)
641.16	Oh, before I even turn that on,
643.16	one of the things that we did about three weeks ago in my class --
647.16	this is through the lens, and one of the things we used a lens for
649.16	was to measure the speed of light.
651.16	My students in El Cerrito -- with my help, of course,
654.16	and with the help of a very beat up oscilloscope --
657.16	measured the speed of light.
658.16	We were off by 25 percent. How many eighth graders do you know of
663.16	who have measured the speed of light?
665.16	In addition to that, we've measured the speed of sound.
668.16	I'd love to measure the speed of light here.
670.16	"I was all set to do it and I was thinking, ""Aw man,"""
672.16	I was just going to impose upon the powers that be,
675.16	and measure the speed of light.
676.16	And I'm all set to do it. I'm all set to do it,
680.16	but then it turns out that to set up here, you have like 10 minutes to set up!
684.16	And there's no time to do it.
686.16	So, next time, maybe, I'll measure the speed of light!
688.16	But meanwhile, let's measure the speed of sound!
690.16	Well, the obvious way to measure the speed of sound
692.16	is to bounce sound off something and look at the echo.
695.16	But, probably -- one of my students, Ariel [unclear], said,
700.16	"""Could we measure the speed of light using the wave equation?"""
703.16	And all of you know the wave equation is
705.16	the frequency times the wavelength of any wave ...
711.16	is a constant. When the frequency goes up,
714.16	the wavelength comes down. Wavelength goes up,
717.16	frequency goes down. So, if we have a wave here --
722.16	over here, that's what's interesting --
726.16	as the pitch goes up, things get closer,
729.16	pitch goes down, things stretch out.
733.16	Right? This is simple physics.
735.16	All of you know this from eighth grade, remember?
738.16	What they didn't tell you in physics -- in eighth-grade physics --
742.16	but they should have, and I wish they had,
745.16	was that if you multiply the frequency times the wavelength of sound
749.16	or light, you get a constant.
753.16	And that constant is the speed of sound.
756.16	So, in order to measure the speed of sound,
759.16	all I've got to do is know its frequency. Well, that's easy.
763.16	I've got a frequency counter right here.
765.16	Set it up to around A, above A, above A. There's an A, more or less.
770.16	Now, so I know the frequency.
775.16	It's 1.76 kilohertz. I measure its wavelength.
780.16	All I need now is to flip on another beam,
783.16	and the bottom beam is me talking, right?
