startsecond	text
26	I really am honored to be here, and as Chris said,
28	it's been over 20 years since I started working in Africa.
31	My first introduction was at the Abidjan airport on a sweaty, Ivory Coast morning.
37	I had just left Wall Street, cut my hair to look like Margaret Mead,
41	given away most everything that I owned,
43	and arrived with all the essentials --
45	some poetry, a few clothes, and, of course, a guitar --
47	because I was going to save the world,
49	and I thought I would just start with the African continent.
55	But literally within days of arriving I was told, in no uncertain terms,
59	by a number of West African women, that Africans didn't want saving,
64	thank you very much, least of all not by me.
66	I was too young, unmarried, I had no children,
69	didn't really know Africa, and besides, my French was pitiful.
73	And so, it was an incredibly painful time in my life,
76	and yet it really started to give me the humility to start listening.
81	I think that failure can be an incredibly motivating force as well,
85	so I moved to Kenya and worked in Uganda,
88	and I met a group of Rwandan women, who asked me, in 1986,
91	to move to Kigali to help them start the first microfinance institution there.
95	And I did, and we ended up naming it Duterimbere,
99	"meaning ""to go forward with enthusiasm."" And while we were doing it,"
102	I realized that there weren't a lot of businesses that were viable
105	and started by women, and so maybe I should try to run a business, too.
109	And so I started looking around, and I heard about a bakery
111	that was run by 20 prostitutes.
113	And, being a little intrigued, I went to go meet this group,
117	and what I found was 20 unwed mothers who were trying to survive.
122	And it was really the beginning of my understanding the power of language,
127	and how what we call people so often distances us from them,
130	and makes them little.
132	I also found out that the bakery was nothing like a business,
136	that, in fact, it was a classic charity run by a well-intentioned person,
140	who essentially spent 600 dollars a month
144	to keep these 20 women busy making little crafts and baked goods,
149	and living on 50 cents a day, still in poverty.
152	"So, I made a deal with the women. I said, ""Look, we get rid of the charity side,"
155	"and we run this as a business and I'll help you."""
158	They nervously agreed. I nervously started, and, of course,
162	things are always harder than you think they're going to be.
164	First of all, I thought, well, we need a sales team,
166	and we clearly aren't the A-Team here,
168	so let's -- I did all this training.
171	And the epitome was when I literally marched into the streets
175	of Nyamirambo, which is the popular quarter of Kigali, with a bucket,
178	and I sold all these little doughnuts to people,
181	"and I came back, and I was like, ""You see?"""
183	"And the women said, ""You know, Jacqueline, who in Nyamirambo is not going to buy"
187	"doughnuts out of an orange bucket from a tall American woman?"" And like --"
191	(Laughter) -- it's a good point.
193	So then I went the whole American way,
195	with competitions, team and individual. Completely failed,
198	but over time, the women learnt to sell on their own way.
202	And they started listening to the marketplace,
204	and they came back with ideas for cassava chips, and banana chips,
207	and sorghum bread, and before you knew it,
209	we had cornered the Kigali market,
211	and the women were earning three to four times the national average.
214	"And with that confidence surge, I thought, ""Well, it's time to create a real bakery,"
218	"so let's paint it."" And the women said, ""That's a really great idea."""
222	"And I said, ""Well, what color do you want to paint it?"" And they said,"
224	"""Well, you choose."" And I said, ""No, no, I'm learning to listen."
227	"You choose. It's your bakery, your street, your country -- not mine."""
