startsecond	text
18.33	I think the future of this planet depends on humans,
22.33	not technology, and we already have the knowledge --
25.33	we’re kind of at the endgame with knowledge.
28.33	But we’re nowhere near the endgame
29.33	when it comes to our perception.
31.33	We still have one foot in the dark ages.
35.33	And when you listen to some of the presentations here --
38.33	and the extraordinary range of human capability, our understandings --
46.33	and then you contrast it with the fact
49.33	"we still call this planet, ""Earth:"" it’s pretty extraordinary --"
53.33	we have one foot in the dark ages.
55.33	"Just quickly: Aristotle, his thing was, ""It’s not flat, stupid, it’s round."""
63.33	Galileo -- he had the Inquisition, so he had to be a little bit more polite --
68.33	"his was, ""It’s not in the middle, you know."""
73.33	"And Hawkes: ""it’s not earth, stupid, it’s ocean."""
78.33	This is an ocean planet.
80.33	T.S. Eliot really said it for me --
82.33	and this should give you goose bumps:
84.33	"""we shall not cease from exploration"
86.33	and the end of our exploring shall be to return
89.33	"where we started and know the place for the first time."""
93.33	"And the next lines are, ""Through the unknown remembered gate,"
97.33	where the last of earth discovered
99.33	"is that which is the beginning."""
103.33	So I have one message.
106.33	It seems to me that we’re all pointed in the wrong direction.
111.33	For the rocketeers in the audience:
114.33	I love what you’re doing, I admire the guts,
117.33	I admire the courage -- but your rockets
118.33	are pointed in the wrong goddamn direction.
121.33	(Laughter)
125.33	And it’s all a question of perspective.
127.33	Let me try and tell you --
129.33	I don’t mean to insult you, but look,
132.33	if I -- and I’m not doing this for real
134.33	because it would be an insult,
135.33	so I’m going to pretend, and it softens the blow --
137.33	I’m going to tell you what you’re thinking.
139.33	If I held up a square that was one foot square and the color of earth,
143.33	and I held up another square that was the root two square --
149.33	so it’s 1.5 times bigger -- and was the color of the oceans;
153.33	and I said, what is the relative value of these two things?
156.33	Well, it’s the relative importance.
157.33	You would say -- yeah, yeah, yeah, we all know this;
160.33	water covers twice the area of the planet than dry land.
165.33	But it’s a question of perception,
166.33	and if that’s what you’re thinking,
168.33	if that’s what you think I mean when I say,
170.33	"""This is an ocean planet stupidly called 'Earth.'"""
173.33	If you think that that’s the relative importance,
176.33	two to one, you’re wrong by a factor of ten.
180.33	Now, you’re not as thick as two short planks,
182.33	"but you sound like it when you say ""Earth,"""
185.33	because that demonstration, if I turned around this way --
190.33	that earth plane would be as thin as paper.
196.33	It’s a thin film, two-dimensional existence.
199.33	The ocean representation would have a depth to it.
202.33	And if you hefted those two things
204.33	you might find that the relative scale of those is 20 to 1.
209.33	It turns out that something more than
216.33	That means that us terrestrials occupy a minority.
221.33	The problem we have in believing that
223.33	is -- you just have to give up this notion
225.33	that this Earth was created for us.
227.33	Because it’s a problem we have.
229.33	If this is an ocean planet
231.33	and we only have a small minority of this planet,
235.33	it just interferes with a lot of what humanity thinks.
240.33	Okay. Let me criticize this thing.
243.33	I’m not talking about James Cameron --
245.33	although I could, but I won’t.
247.33	You really do have to go and see his latest film,
249.33	"""Aliens of the Deep."" It’s incredible."
252.33	It features two of these deep rovers,
254.33	and I can criticize them because these sweet things are mine.
258.33	This, I think, represents one of the most beautiful
260.33	classic submersibles built.
