startsecond	text
16.26	We live in difficult and challenging
18.26	economic times, of course.
20.26	And one of the first victims
23.26	of difficult economic times,
25.26	I think, is public spending of any kind,
28.26	but certainly in the firing line at the moment
30.26	is public spending for science,
32.26	and particularly curiosity-led science
34.26	and exploration.
36.26	So I want to try and convince you in about 15 minutes
39.26	that that's a ridiculous
41.26	and ludicrous thing to do.
43.26	But I think to set the scene,
45.26	I want to show -- the next slide is not my attempt
47.26	to show the worst TED slide in the history of TED,
50.26	but it is a bit of a mess.
52.26	(Laughter)
54.26	But actually, it's not my fault; it's from the Guardian newspaper.
57.26	And it's actually a beautiful demonstration
59.26	of how much science costs.
61.26	Because, if I'm going to make the case
63.26	for continuing to spend on curiosity-driven science and exploration,
66.26	I should tell you how much it costs.
68.26	"So this is a game called ""spot the science budgets."""
70.26	This is the U.K. government spend.
72.26	You see there, it's about 620 billion a year.
75.26	The science budget is actually --
77.26	if you look to your left, there's a purple set of blobs
80.26	and then yellow set of blobs.
82.26	And it's one of the yellow set of blobs
84.26	around the big yellow blob.
86.26	It's about 3.3 billion pounds per year
88.26	out of 620 billion.
90.26	That funds everything in the U.K.
92.26	from medical research, space exploration,
95.26	where I work, at CERN in Geneva, particle physics,
97.26	engineering, even arts and humanities,
100.26	funded from the science budget,
102.26	which is that 3.3 billion, that little, tiny yellow blob
105.26	around the orange blob at the top left of the screen.
108.26	So that's what we're arguing about.
110.26	That percentage, by the way, is about the same
112.26	in the U.S. and Germany and France.
114.26	R&amp;D in total in the economy,
116.26	publicly funded, is about
118.26	0.6 percent of GDP.
120.26	So that's what we're arguing about.
122.26	The first thing I want to say,
124.26	"and this is straight from ""Wonders of the Solar System,"""
127.26	is that our exploration of the solar system and the universe
130.26	has shown us that it is indescribably beautiful.
133.26	This is a picture that actually was sent back
135.26	by the Cassini space probe around Saturn,
137.26	"after we'd finished filming ""Wonders of the Solar System."""
139.26	So it isn't in the series.
141.26	It's of the moon Enceladus.
143.26	So that big sweeping, white
145.26	sphere in the corner is Saturn,
147.26	which is actually in the background of the picture.
150.26	And that crescent there is the moon Enceladus,
152.26	which is about as big as the British Isles.
155.26	It's about 500 kilometers in diameter.
157.26	So, tiny moon.
159.26	What's fascinating and beautiful ...
161.26	this an unprocessed picture, by the way, I should say,
163.26	it's black and white, straight from Saturnian orbit.
166.26	What's beautiful is, you can probably see on the limb there
168.26	some faint, sort of,
170.26	wisps of almost smoke
172.26	rising up from the limb.
174.26	"This is how we visualize that in ""Wonders of the Solar System."""
177.26	It's a beautiful graphic.
179.26	What we found out were that those faint wisps
181.26	are actually fountains of ice
183.26	rising up from the surface of this tiny moon.
186.26	That's fascinating and beautiful in itself,
189.26	but we think that the mechanism
191.26	for powering those fountains
193.26	requires there to be lakes of liquid water
196.26	beneath the surface of this moon.
198.26	And what's important about that
200.26	is that, on our planet, on Earth,
202.26	wherever we find liquid water,
204.26	we find life.
206.26	So, to find strong evidence
209.26	of liquid, pools of liquid, beneath the surface of a moon
215.26	is really quite astounding.
218.26	So what we're saying, essentially,
220.26	is maybe that's a habitat for life in the solar system.
224.26	Well, let me just say, that was a graphic. I just want to show this picture.
227.26	That's one more picture of Enceladus.
229.26	This is when Cassini flew beneath Enceladus.
232.26	So it made a very low pass,
234.26	just a few hundred kilometers above the surface.
236.26	And so this, again, a real picture of the ice fountains rising up into space,
239.26	absolutely beautiful.
241.26	But that's not the prime candidate for life in the solar system.
244.26	That's probably this place,
246.26	which is a moon of Jupiter, Europa.
248.26	And again, we had to fly to the Jovian system
251.26	to get any sense that this moon, as most moons,
254.26	was anything other than a dead ball of rock.
256.26	It's actually an ice moon.
258.26	So what you're looking at is the surface of the moon Europa,
261.26	which is a thick sheet of ice, probably a hundred kilometers thick.
264.26	But by measuring the way that
266.26	Europa interacts
268.26	with the magnetic field of Jupiter,
270.26	and looking at how those cracks in the ice
272.26	that you can see there on that graphic move around,
275.26	we've inferred very strongly
277.26	that there's an ocean of liquid surrounding
279.26	the entire surface of Europa.
282.26	So below the ice, there's an ocean of liquid around the whole moon.
285.26	It could be hundreds of kilometers deep, we think.
288.26	We think it's saltwater, and that would mean that
290.26	there's more water on that moon of Jupiter
293.26	than there is in all the oceans of the Earth combined.
296.26	So that place, a little moon around Jupiter,
299.26	is probably the prime candidate
302.26	for finding life on a moon
304.26	or a body outside the Earth, that we know of.
307.26	Tremendous and beautiful discovery.
310.26	Our exploration of the solar system
312.26	has taught us that the solar system is beautiful.
314.26	It may also have pointed the way to answering
317.26	one of the most profound questions that you can possibly ask,
320.26	"which is: ""Are we alone in the universe?"""
323.26	Is there any other use to exploration and science,
325.26	other than just a sense of wonder?
327.26	Well, there is.
329.26	This is a very famous picture
331.26	taken, actually, on my first Christmas Eve,
333.26	December 24th, 1968,
336.26	when I was about eight months old.
338.26	It was taken by Apollo 8
340.26	as it went around the back of the moon.
342.26	Earthrise from Apollo 8.
344.26	A famous picture; many people have said that it's the picture
346.26	that saved 1968,
348.26	which was a turbulent year --
350.26	the student riots in Paris,
352.26	the height of the Vietnam War.
354.26	The reason many people think that about this picture,
