startsecond	text
12.992	This year, Germany is celebrating
14.47	the 25th anniversary of the peaceful revolution
17.556	in East Germany.
19.092	In 1989, the Communist regime was moved away,
23.858	the Berlin Wall came down, and one year later,
27.32	the German Democratic Republic, the GDR,
31.485	in the East was unified
33.154	with the Federal Republic of Germany in the West
35.844	to found today's Germany.
39.117	Among many other things, Germany inherited
42.511	the archives of the East German secret police,
47.104	known as the Stasi.
50.42	Only two years after its dissolution,
52.96	its documents were opened to the public,
56.602	and historians such as me started
59.677	to study these documents
61.105	to learn more about how the GDR surveillance state
65.797	functioned.
67.507	Perhaps you have watched the movie
70.303	"""The Lives of Others."""
72.341	This movie made the Stasi known worldwide,
77.092	and as we live in an age where words
79.942	"such as ""surveillance"" or ""wiretapping"""
83.229	are on the front pages of newspapers,
85.979	I would like to speak about how the Stasi
88.802	really worked.
91.201	At the beginning, let's have a short look
93.97	at the history of the Stasi,
95.928	because it's really important for understanding
98.219	its self-conception.
101.706	Its origins are located in Russia.
104.418	In 1917, the Russian Communists founded
106.736	the Emergency Commission for Combating
108.93	Counter-Revolution and Sabotage,
111.731	shortly Cheka.
113.95	It was led by Felix Dzerzhinsky.
116.96	The Cheka was an instrument of the Communists
120.203	to establish their regime by terrorizing the population
123.96	and executing their enemies.
126.435	It evolved later into the well-known KGB.
132.244	The Cheka was the idol of the Stasi officers.
135.75	They called themselves Chekists,
138.822	and even the emblem was very similar,
141.68	as you can see here.
144.661	In fact, the secret police of Russia
148.227	was the creator and instructor of the Stasi.
151.518	When the Red Army occupied East Germany in 1945,
155.109	it immediately expanded there,
157.497	and soon it started to train the German Communists
161.118	to build up their own secret police.
164.366	By the way, in this hall where we are now,
167.886	the ruling party of the GDR was founded in 1946.
173.566	Five years later, the Stasi was established,
176.95	and step by step, the dirty job of oppression
179.569	was handed over to it.
182.111	For instance, the central jail
184.542	for political prisoners,
185.856	which was established by the Russians,
188.604	was taken over by the Stasi
190.864	and used until the end of Communism.
194.048	You see it here.
195.85	At the beginning, every important step
199.485	took place under the attendance of the Russians.
203.04	But the Germans are known to be very effective,
206.141	so the Stasi grew very quickly,
209.519	and already in 1953, it had more employees
213.207	than the Gestapo had,
214.905	the secret police of Nazi Germany.
217.695	The number doubled in each decade.
220.133	In 1989, more than 90,000 employees
223.558	worked for the Stasi.
225.223	This meant that one employee
227.597	was responsible for 180 inhabitants,
230.81	which was really unique in the world.
234.809	At the top of this tremendous apparatus,
237.405	there was one man, Erich Mielke.
241.189	He ruled the Ministry of State Security
243.45	for more than 30 years.
245.769	He was a scrupulous functionary —
248.4	in his past, he killed two policemen
251.122	not far away from here —
253.13	who in fact personalized the Stasi.
257.197	But what was so exceptional about the Stasi?
261.69	Foremost, it was its enormous power,
264.6	because it united different functions
268.09	in one organization.
270.365	First of all, the Stasi
272.476	was an intelligence service.
275.571	It used all the imaginable instruments
278.05	for getting information secretly,
280.333	such as informers, or tapping phones,
283.934	as you can see it on the picture here.
286.802	And it was not only active in East Germany,
289.806	but all over the world.
292.543	Secondly, the Stasi was a secret police.
296.506	It could stop people on the street
298.65	and arrest them in its own prisons.
303.078	Thirdly, the Stasi worked
304.58	as a kind of public prosecutor.
307.435	It had the right to open preliminary investigations
310.565	and to interrogate people officially.
314.262	Last but not least,
316.353	the Stasi had its own armed forces.
320.218	More than 11,000 soldiers were serving
322.222	in its so-called Guards Regiment.
325.732	It was founded to crash down protests and uprisings.
330.148	Due to this concentration of power,
332.875	the Stasi was called a state in the state.
337.94	But let's look in more and more detail
340.199	at the tools of the Stasi.
342.816	Please keep in mind that at that time
344.459	the web and smartphones were not yet invented.
348.284	Of course, the Stasi used all kinds
351.525	of technical instruments to survey people.
354.598	Telephones were wiretapped,
356.711	including the phone of the
356.711	German chancellor in the West,
360.85	and often also the apartments.
363.802	Every day, 90,000 letters were being opened
367.195	by these machines.
370.541	The Stasi also shadowed
370.541	tens of thousands of people
374.239	using specially trained agents and secret cameras
377.471	to document every step one took.
381.006	In this picture, you can see me
383.674	as a young man just in front of this building
387.154	where we are now, photographed by a Stasi agent.
390.908	The Stasi even collected the smell of people.
395.304	It stored samples of it in closed jars
398.563	which were found after the peaceful revolution.
403.022	For all these tasks, highly specialized departments
407.258	were responsible.
409.626	The one which was tapping phone calls
411.806	was completely separated
413.696	from the one which controlled the letters,
416.242	for good reasons,
417.54	because if one agent quit the Stasi,
422.217	his knowledge was very small.
424.131	Contrast that with Snowden, for example.
428.119	But the vertical specialization was also important
431.196	to prevent all kinds of empathy
433.501	with the object of observation.
436.496	The agent who shadowed me
438.8	didn't know who I was
440.657	or why I was surveyed.
442.522	In fact, I smuggled forbidden books
444.136	from West to East Germany.
447.028	But what was even more typical for the Stasi
450.22	was the use of human intelligence,
