startsecond	text
26	Like many of you here, I am trying to contribute
31	towards a renaissance in Africa.
34	The question of transformation in Africa
36	really is a question of leadership.
38	Africa can only be transformed by enlightened leaders.
43	And it is my contention that the manner in which
45	we educate our leaders is fundamental
49	to progress on this continent.
53	I want to tell you some stories that explain my view.
58	We all heard about the importance of stories yesterday.
62	An American friend of mine this year volunteered as a nurse in Ghana,
67	and in a period of three months she came to a conclusion
70	about the state of leadership in Africa
73	that had taken me over a decade to reach.
76	Twice she was involved in surgeries
79	where they lost power at the hospital.
84	The emergency generators did not start.
87	There was not a flashlight, not a lantern, not a candle --
92	pitch black.
93	The patient's cut open, twice.
98	The first time it was a C-section.
102	Thankfully, baby was out -- mother and child survived.
107	The second time was a procedure that involved local anesthesia.
112	Anesthetic wears off. The patient feels pain.
115	He's crying. He's screaming. He's praying.
120	Pitch black. Not a candle, not a flashlight.
126	And that hospital could have afforded flashlights.
130	They could have afforded to purchase these things, but they didn't.
134	And it happened twice.
136	Another time, she watched in horror as nurses watched a patient die
142	because they refused to give her oxygen that they had.
148	And so three months later,
150	just before she returned to the United States,
153	nurses in Accra go on strike.
155	And her recommendation is
158	take this opportunity to fire everyone, start all over again.
162	Start all over again.
164	Now what does this have to do with leadership?
169	You see, the folks at the ministry of health,
174	the hospital administrators, the doctors, the nurses --
180	they are among just five percent of their peers
184	who get an education after secondary school.
188	They are the elite. They are our leaders.
192	Their decisions, their actions matter.
195	And when they fail, a nation literally suffers.
200	So when I speak of leadership,
202	I'm not talking about just political leaders.
206	We've heard a lot about that.
208	I'm talking about the elite.
212	Those who've been trained,
214	whose job it is to be the guardians of their society.
219	The lawyers, the judges, the policemen, the doctors,
223	the engineers, the civil servants --
227	those are the leaders.
229	And we need to train them right.
232	Now, my first pointed and memorable experience with leadership in Ghana
238	occurred when I was 16 years old.
240	We had just had a military coup,
242	and soldiers were pervasive in our society.
245	They were a pervasive presence.
247	And one day I go to the airport to meet my father,
250	and as I walk up this grassy slope from the car park
253	to the terminal building,
256	I'm stopped by two soldiers wielding AK-47 assault weapons.
261	And they asked me to join a crowd of people
265	that were running up and down this embankment.
269	Why? Because the path I had taken was considered out of bounds.
275	No sign to this effect.
278	Now, I was 16. I was very worried about
282	what my peers at school might think
284	if they saw me running up and down this hill.
286	I was especially concerned of what the girls might think.
291	And so I started to argue with these men.
293	It was a little reckless, but you know, I was 16.
295	I got lucky.
297	A Ghana Airways pilot falls into the same predicament.
301	Because of his uniform they speak to him differently,
303	and they explain to him that they're just following orders.
306	So he takes their radio, talks to their boss,
309	and gets us all released.
311	What lessons would you take from an experience like this?
314	Several, for me.
316	Leadership matters. Those men are following
319	the orders of a superior officer.
323	I learned something about courage.
325	It was important not to look at those guns.
329	And I also learned that it can be helpful to think about girls.
333	(Laughter)
335	So a few years after this event, I leave Ghana on a scholarship
341	to go to Swarthmore College for my education.
344	It was a breath of fresh air.
347	You know, the faculty there didn't want us to memorize information
352	and repeat back to them as I was used to back in Ghana.
356	They wanted us to think critically.
358	They wanted us to be analytical.
360	They wanted us to be concerned about social issues.
364	In my economics classes I got high marks
367	for my understanding of basic economics.
370	But I learned something more profound than that,
373	which is that the leaders -- the managers of Ghana's economy --
380	were making breathtakingly bad decisions
383	that had brought our economy to the brink of collapse.
387	And so here was this lesson again -- leadership matters.
390	It matters a great deal.
393	But I didn't really fully understand what had happened to me at Swarthmore.
397	I had an inkling,
400	but I didn't fully realize it until I went out into the workplace
404	and I went to work at Microsoft Corporation.
408	And I was part of this team -- this thinking, learning team
413	whose job it was to design and implement new software
418	that created value in the world.
421	And it was brilliant to be part of this team.
424	It was brilliant.
426	And I realized just what had happened to me at Swarthmore,
430	this transformation --
432	the ability to confront problems, complex problems,
437	and to design solutions to those problems.
440	The ability to create is the most empowering thing
444	that can happen to an individual.
446	And I was part of that.
