startsecond	text
82.16	♫ I think I'm ready to do my thing ♫
84.16	♫ I think I'm ready to take my chances ♫
87.16	♫ I've been dining out and all stressed out ♫
89.16	♫ Due to the circumstances. See? ♫
92.16	♫ I gotta get up, get up, get up, get up ♫
98.16	♫ Wake up, wake up, wake up, wake up ♫
103.16	♫ I see what you're saying ♫
105.16	♫ We sent a demo to the world, they said it sounds like Take 6 ♫
107.16	"♫ I said ""Hold on, wait a minute, I'll be back with the remix"" ♫"
110.16	♫ They looking at us funny, we can't make any money ♫
112.16	♫ It took us years to figure out that we was dealing with dummies ♫
114.16	♫ They didn't understand the sound from the Bronx, that's the boogie down ♫
117.16	♫ to Huntsville, Alabama, there's no circles in my planner, so ♫
120.16	♫ It was time to make the product, so we hooked up with Townsend ♫
122.16	♫ Made a deal with John Neal, on the road sold ten thousand ♫
125.16	♫ WBA, that means a trip to Nashville ♫
127.16	♫ Festplatte showed up and said them boys are naturals ♫
130.16	♫ Can you hear what they were hearing? See what they were seeing? ♫
132.16	♫ From Bronx to Berlin, we took the tour European ♫
135.16	"♫ All vocal yeah, we widit, call the album ""What is it?"" ♫"
137.16	♫ With Sarah Connor, set the goal for number one and we hit it ♫
139.16	♫ But now it's Kev, Sim, Drew, Stew, time for a new day ♫
142.16	♫ Ring the alarm, hit 'em on Skype or a two-way ♫
145.16	♫ Sung by the words, we ready to fly! ♫
148.16	♫ Fly baby! Time to leave that nest ♫
150.16	♫ Fly baby! This ain't no time to rest ♫
152.16	♫ Come on fly baby, we got work to do ♫
155.16	♫ Here we go, spread my wings and ... ♫
157.16	♫ Fly baby! Time to leave that nest ♫
160.16	♫ Fly baby! This ain't no time to rest. Come on ♫
163.16	♫ Fly baby! We got work to do ♫
165.16	♫ Here we go. Spread my wings and fly. One more time ♫
170.16	♫ Fly baby! Time to leave that nest ♫
172.16	♫ Fly baby! This ain't no time to rest ♫
175.16	♫ Fly baby! We got work to do ♫
177.16	♫ Here we go, spread my wings and ... ♫
180.16	♫ Fly baby! Fly baby fly ♫
183.16	♫ Fly baby! Fly baby high ♫
185.16	♫ Fly baby! Up to the sky ♫
188.16	♫ Spread my wings and fly ♫
191.16	Instrumental!
211.16	♫ We're ready to fly! ♫
214.16	(Applause)
225.16	Thank you very much.
227.16	(Applause)
