startsecond	text
16.26	In the last 50 years,
18.26	we've been building the suburbs
20.26	with a lot of unintended consequences.
22.26	And I'm going to talk about some of those consequences
25.26	and just present a whole bunch of really interesting projects
28.26	that I think give us tremendous reasons
31.26	to be really optimistic
33.26	that the big design and development project of the next 50 years
36.26	is going to be retrofitting suburbia.
39.26	So whether it's redeveloping dying malls
42.26	or re-inhabiting dead big-box stores
45.26	or reconstructing wetlands
47.26	out of parking lots,
49.26	I think the fact is
51.26	the growing number
53.26	of empty and under-performing,
55.26	especially retail, sites
57.26	throughout suburbia
59.26	gives us actually a tremendous opportunity
62.26	to take our least-sustainable
64.26	landscapes right now
66.26	and convert them into
68.26	more sustainable places.
70.26	And in the process, what that allows us to do
73.26	is to redirect a lot more of our growth
75.26	back into existing communities
77.26	that could use a boost,
79.26	and have the infrastructure in place,
81.26	instead of continuing
83.26	to tear down trees
85.26	and to tear up the green space out at the edges.
87.26	So why is this important?
90.26	I think there are any number of reasons,
93.26	and I'm just going to not get into detail but mention a few.
96.26	Just from the perspective of climate change,
99.26	the average urban dweller in the U.S.
101.26	has about one-third the carbon footprint
104.26	of the average suburban dweller,
107.26	mostly because suburbanites drive a lot more,
110.26	and living in detached buildings,
113.26	you have that much more exterior surface
115.26	to leak energy out of.
118.26	So strictly from
120.26	a climate change perspective,
123.26	the cities are already
125.26	relatively green.
127.26	The big opportunity
129.26	to reduce greenhouse gas emissions
131.26	is actually in urbanizing
133.26	the suburbs.
135.26	All that driving that we've been doing out in the suburbs,
138.26	we have doubled the amount of miles we drive.
141.26	It's increased our dependence
143.26	on foreign oil
145.26	despite the gains in fuel efficiency.
147.26	We're just driving so much more;
149.26	we haven't been able to keep up technologically.
151.26	Public health is another reason
153.26	to consider retrofitting.
155.26	Researchers at the CDC and other places
158.26	have increasingly been linking
160.26	suburban development patterns
162.26	with sedentary lifestyles.
164.26	And those have been linked then
166.26	with the rather alarming,
168.26	growing rates of obesity,
170.26	shown in these maps here,
173.26	and that obesity has also been triggering
175.26	great increases in heart disease
177.26	and diabetes
179.26	to the point where a child born today
181.26	has a one-in-three chance
183.26	of developing diabetes.
185.26	And that rate has been escalating at the same rate
188.26	as children not walking
190.26	to school anymore,
192.26	again, because of our development patterns.
194.26	And then there's finally -- there's the affordability question.
198.26	I mean, how affordable is it
201.26	to continue to live in suburbia
204.26	with rising gas prices?
206.26	Suburban expansion to cheap land,
209.26	for the last 50 years --
211.26	you know the cheap land out on the edge --
213.26	has helped generations of families
215.26	enjoy the American dream.
217.26	But increasingly,
219.26	the savings promised
221.26	by drive-till-you-qualify affordability --
223.26	which is basically our model --
225.26	those savings are wiped out
227.26	when you consider the transportation costs.
230.26	For instance, here in Atlanta,
232.26	about half of households
234.26	make between $20,000 and $50,000 a year,
237.26	and they are spending 29 percent of their income
240.26	on housing
242.26	and 32 percent
244.26	on transportation.
246.26	I mean, that's 2005 figures.
248.26	That's before we got up to the four bucks a gallon.
251.26	You know, none of us
253.26	really tend to do the math on our transportation costs,
256.26	and they're not going down
258.26	any time soon.
260.26	Whether you love suburbia's leafy privacy
263.26	or you hate its soulless commercial strips,
265.26	there are reasons why it's important to retrofit.
268.26	But is it practical?
270.26	I think it is.
272.26	June Williamson and I have been researching this topic
274.26	for over a decade,
276.26	and we've found over 80
278.26	varied projects.
281.26	But that they're really all market driven,
283.26	and what's driving the market in particular --
286.26	number one -- is major demographic shifts.
289.26	We all tend to think of suburbia
292.26	as this very family-focused place,
295.26	but that's really not the case anymore.
298.26	Since 2000,
300.26	already two-thirds of households in suburbia
303.26	did not have kids in them.
306.26	We just haven't caught up with the actual realities of this.
309.26	The reasons for this have a lot to with
312.26	the dominance of the two big
314.26	demographic groups right now:
316.26	the Baby Boomers retiring --
319.26	and then there's a gap,
321.26	Generation X, which is a small generation.
323.26	They're still having kids --
325.26	but Generation Y hasn't even started
328.26	hitting child-rearing age.
330.26	They're the other big generation.
333.26	So as a result of that,
335.26	demographers predict
337.26	that through 2025,
342.26	will not have kids in them.
345.26	And the market research, consumer research,
348.26	asking the Boomers and Gen Y
350.26	what it is they would like,
352.26	what they would like to live in,
354.26	tells us there is going to be a huge demand --
357.26	and we're already seeing it --
360.26	for more urban lifestyles
363.26	within suburbia.
366.26	That basically, the Boomers want to be able to age in place,
369.26	and Gen Y would like to live
371.26	an urban lifestyle,
373.26	but most of their jobs will continue to be out in suburbia.
376.26	The other big dynamic of change
379.26	is the sheer performance of
381.26	underperforming asphalt.
383.26	Now I keep thinking this would be a great name
385.26	for an indie rock band,
387.26	but developers generally use it
390.26	to refer to underused parking lots --
393.26	and suburbia is full of them.
396.26	When the postwar suburbs were first built
399.26	out on the cheap land
401.26	away from downtown,
403.26	it made sense to just build
405.26	surface parking lots.
407.26	But those sites have now been leapfrogged
409.26	and leapfrogged again,
411.26	as we've just continued to sprawl,
413.26	and they now have
416.26	a relatively central location.
418.26	It no longer just makes sense.
421.26	That land is more valuable than just surface parking lots.
424.26	It now makes sense to go back in,
426.26	build a deck and build up
429.26	on those sites.
431.26	So what do you do
433.26	with a dead mall,
435.26	dead office park?
437.26	It turns out, all sorts of things.
440.26	In a slow economy like ours,
