startsecond	text
17.26	(Music)
31.26	♫ They stood together ♫
33.26	♫ under a tree in tall grass ♫
36.26	♫ on TV ♫
39.26	♫ telling the world ♫
41.26	♫ their story ♫
45.26	♫ We will be left to wander ♫
49.26	♫ and fade away ♫
53.26	♫ Soldiers came and took our husbands ♫
56.26	♫ at the break of day ♫
60.26	♫ We will live on ♫
63.26	♫ then fade away ♫
67.26	♫ Soldiers came and killed our children ♫
70.26	♫ at the break of day ♫
74.26	♫ Women of hope ♫
76.26	♫ Women of change ♫
78.26	♫ Women of war and pain ♫
81.26	♫ I believe ♫
83.26	♫ I believe the almighty knows each and every one of you ♫
85.26	♫ by your name ♫
88.26	♫ Women of hope ♫
90.26	♫ Women of change ♫
92.26	♫ Women of love, joy, no shame ♫
95.26	♫ You've got something this little life ♫
97.26	♫ can never take away ♫
104.26	♫ Running through the darkness of night ♫
107.26	♫ with a child by her side ♫
110.26	♫ Oh Lord, won't you give them ♫
113.26	♫ a shining armor of light ♫
117.26	♫ Oh Lord, won't you give them ♫
120.26	♫ a shining armor of light ♫
129.26	♫ Daybreak brings a sign of new life ♫
132.26	♫ with the power to stand ♫
136.26	♫ Crossing the border ♫
138.26	"♫ she said, ""You will grow free on this land"" ♫"
142.26	♫ Women of hope ♫
144.26	♫ Women of change ♫
146.26	♫ Women of war and pain ♫
149.26	♫ I can feel your power ♫
152.26	♫ in these words she said ♫
156.26	♫ If you're feeling helpless ♫
159.26	♫ help someone ♫
163.26	♫ If you're feeling helpless ♫
166.26	♫ help someone ♫
189.26	♫ Nobody really knows ♫
193.26	♫ how far they will go ♫
195.26	♫ to keep on living ♫
203.26	♫ Nobody really knows ♫
207.26	♫ how far they will go ♫
211.26	♫ to keep on giving ♫
215.26	♫ and forgiving ♫
223.26	♫ Aung San Suu Kyi ♫
226.26	♫ living under house arrest ♫
230.26	♫ for her peaceful protest ♫
236.26	♫ under house arrest ♫
239.26	♫ for her peaceful protest ♫
243.26	♫ When her people asked her for a message ♫
246.26	♫ she said ♫
249.26	♫ If you're feeling helpless ♫
252.26	♫ help someone ♫
256.26	♫ If you're feeling helpless ♫
259.26	♫ help someone ♫
262.26	♫ If you're feeling helpless ♫
266.26	♫ help someone ♫
269.26	♫ If you're feeling helpless ♫
272.26	♫ help someone ♫
274.26	Now we know the words, let's sing.
276.26	♫ If you're feeling helpless ♫
279.26	♫ help someone ♫
282.26	♫ If you're feeling helpless ♫
285.26	♫ help someone ♫
289.26	♫ If you're feeling helpless ♫
292.26	♫ help someone ♫
296.26	♫ If you're feeling helpless ♫
299.26	♫ help someone ♫
302.26	♫ People of hope ♫
304.26	♫ People of change ♫
306.26	♫ People of love, joy, no shame ♫
309.26	♫ I believe the almighty ♫
311.26	♫ knows each and every one of you ♫
313.26	♫ by your name ♫
317.26	Thank you.
319.26	(Applause)
