startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
15.566	Hi. My name is Cameron Russell,
18.21	and for the last little while,
18.21	I've been a model.
24.263	Actually, for 10 years.
28.25	And I feel like
30.43	there's an uncomfortable tension
30.43	in the room right now
33.254	because I should not have worn this dress.
35.301	(Laughter)
37.083	So luckily, I brought an outfit change.
39.581	This is the first outfit change
39.581	on the TED stage,
43.23	so you guys are pretty lucky
43.23	to witness it, I think.
46.276	If some of the women were
46.276	really horrified when I came out,
49.217	you don't have to tell me now,
49.217	but I'll find out later on Twitter.
52.384	(Laughter)
57.575	I'd also note that I'm quite privileged
59.457	to be able to transform
59.457	what you think of me
62.535	in a very brief 10 seconds.
65.198	Not everybody gets to do that.
68.66	These heels are very uncomfortable,
68.66	so good thing I wasn't going to wear them.
74.499	The worst part is putting
74.499	this sweater over my head,
77.044	because that's when
77.044	you'll all laugh at me,
79.117	so don't do anything
79.117	while it's over my head.
83.005	All right.
86.243	So, why did I do that?
88.974	That was awkward.
90.204	(Laughter)
92.156	Well --
93.291	(Laughter)
95.681	Hopefully not as awkward as that picture.
100.566	Image is powerful,
103.348	but also, image is superficial.
108.296	I just totally transformed
108.296	what you thought of me, in six seconds.
112.739	And in this picture,
114.578	I had actually never had
114.578	a boyfriend in real life.
117.903	I was totally uncomfortable,
119.72	and the photographer
119.72	was telling me to arch my back
122.222	and put my hand in that guy's hair.
126.273	And of course, barring surgery,
128.273	or the fake tan that I got
128.273	two days ago for work,
131.714	there's very little that we can do
131.714	to transform how we look,
135.475	and how we look, though it is
135.475	superficial and immutable,
138.931	has a huge impact on our lives.
143.294	So today, for me, being
143.294	fearless means being honest.
147.922	And I am on this stage
147.922	because I am a model.
150.807	I am on this stage because
150.807	I am a pretty, white woman,
154.534	and in my industry,
154.534	we call that a sexy girl.
157.299	I'm going to answer the questions
157.299	that people always ask me,
160.17	but with an honest twist.
161.492	So the first question is,
161.492	how do you become a model?
164.394	"I always just say, ""Oh, I was scouted,"""
166.427	but that means nothing.
167.609	The real way that I became a model
170.714	is I won a genetic lottery,
170.714	and I am the recipient of a legacy,
174.201	and maybe you're wondering
174.201	what is a legacy.
176.321	Well, for the past few centuries
179.067	we have defined beauty
179.067	not just as health and youth
184.585	and symmetry that we're biologically
184.585	programmed to admire,
188.371	but also as tall, slender figures,
191.907	and femininity and white skin.
195.154	And this is a legacy
195.154	that was built for me,
197.226	and it's a legacy
197.226	that I've been cashing out on.
199.7	And I know there are
199.7	people in the audience
201.754	who are skeptical at this point,
203.47	and maybe there are
203.47	some fashionistas who are like,
205.971	"""Wait. Naomi. Tyra. Joan Smalls. Liu Wen."""
208.514	And first, I commend you on your model
208.514	knowledge. Very impressive.
211.681	(Laughter)
213.337	But unfortunately,
213.337	I have to inform you that in 2007,
216.89	a very inspired NYU Ph.D. student
219.4	counted all the models on the runway,
219.4	every single one that was hired,
223.026	and of the 677 models that were hired,
226.154	only 27, or less than four percent,
226.154	were non-white.
230.897	The next question people always ask is,
232.854	"""Can I be a model when I grow up?"""
234.503	"And the first answer is, ""I don't know,"
234.503	"they don't put me in charge of that."""
238.161	But the second answer,
239.578	and what I really want to say
239.578	to these little girls is,
242.356	"""Why? You know? You can be anything."
244.37	You could be the President
244.37	of the United States,
246.64	or the inventor of the next Internet,
248.441	or a ninja cardiothoracic surgeon poet,
250.423	which would be awesome,
250.423	"because you'd be the first one."""
253.114	(Laughter)
255.3	If, after this amazing list,
255.3	they still are like,
257.658	"""No, no, Cameron, I want to be a model,"""
259.587	"well, then I say, ""Be my boss."""
261.225	Because I'm not in charge of anything,
263.115	and you could be the editor in chief
263.115	of American Vogue
