startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
15.756	As you might imagine, I'm absolutely passionate
17.249	about dance. I'm passionate about making it,
19.454	about watching it, about encouraging others
22.058	to participate in it,
23.927	and I'm also really passionate about creativity.
26.55	Creativity for me is something that's absolutely critical,
30.667	and I think it's something that you can teach.
33.052	I think the technicities of creativity can be taught
35.313	and shared, and I think you can find out things
37.479	about your own personal physical signature,
39.748	your own cognitive habits, and use that as
41.66	a point of departure to misbehave beautifully.
45.112	I was born in the 1970s, and John Travolta was big
49.515	"in those days: ""Grease,"" ""Saturday Night Fever,"""
51.986	and he provided a fantastic kind of male role model for me
54.663	to start dancing. My parents were very up for me going.
57.443	They absolutely encouraged me to take risks, to go,
60.305	to try, to try. I had an opportunity, an access
64.53	to a local dance studio, and I had an enlightened teacher
68.121	who allowed me to make up my own and invent
71.226	my own dances, so what she did was let me make up
74.22	my own ballroom and Latin American dances to teach
77.169	to my peers.
78.541	And that was the very first time that I found an opportunity
81.31	to feel that I was able to express my own voice,
84.195	and that's what's fueled me, then, to become a choreographer.
87.013	I feel like I've got something to say and something to share.
90.029	And I guess what's interesting is, is that I am now obsessed
93.606	with the technology of the body.
95.193	I think it's the most technologically literate thing that we have,
98.489	and I'm absolutely obsessed with finding a way
101.588	of communicating ideas through the body to audiences
104.886	that might move them, touch them,
107.039	help them think differently about things.
110.141	So for me, choreography is very much a process
112.743	of physical thinking. It's very much in mind,
116.152	as well as in body, and it's a collaborative process.
119.415	It's something that I have to do with other people.
121.241	You know, it's a distributed cognitive process in a way.
123.995	I work often with designers and visual artists,
126.593	obviously dancers and other choreographers,
129.201	but also, more and more, with economists,
133.572	anthropologists, neuroscientists, cognitive scientists,
137.878	people really who come from very different domains of
140.645	expertise, where they bring their intelligence to bear
143.638	on a different kind of creative process.
146.026	What I thought we would do today a little bit is
149.229	explore this idea of physical thinking,
151.49	and we're all experts in physical thinking.
153.291	Yeah, you all have a body, right?
154.669	And we all know what that body is like in the real world,
156.86	so one of the aspects of physical thinking
158.554	that we think about a lot is this notion of proprioception,
161.468	the sense of my own body in the space in the real world.
164.533	So, we all understand what it feels like to know
167.919	where the ends of your fingers are
169.272	when you hold out your arms, yeah?
171.269	You absolutely know that when you're going to grab a cup,
174.084	or that cup moves and you have to renavigate it.
175.994	So we're experts in physical thinking already.
177.952	We just don't think about our bodies very much.
179.988	We only think about them when they go wrong, so, when
183.093	there's a broken arm, or when you have a heart attack,
185.331	then you become really very aware of your bodies.
187.796	But how is it that we can start to think about using
190.083	choreographic thinking, kinesthetic intelligence, to arm
193.491	the ways in which we think about things more generally?
195.849	What I thought I'd do is, I'd make a TED premiere.
198.805	I'm not sure if this is going to be good or not.
201.108	I'll just be doing it.
203.083	I thought what I'd do is, I'd use three versions
205.17	of physical thinking to make something.
206.814	I want to introduce you. This is Paolo. This is Catarina.
209.93	(Applause)
212.778	They have no idea what we're going to do.
215.382	So this is not the type of choreography where
217.726	I already have in mind what I'm going to make,
220.07	where I've fixed the routine in my head
222.611	and I'm just going to teach it to them,
224.201	and these so-called empty vessels are just going to learn it.
226.51	That's not the methodology at all that we work with.
229.444	But what's important about it is how it is that they're
233.777	grasping information, how they're taking information,
235.824	how they're using it, and how they're thinking with it.
237.955	I'm going to start really, really simply.
239.403	Usually, dance has a stimulus or stimuli, and I thought
242.38	I'd take something simple, TED logo, we can all see it,
245.484	it's quite easy to work with, and I'm going to do something
247.833	very simply, where you take one idea from a body,
250.622	and it happens to be my body, and translate that
252.626	into somebody else's body,
254.818	so it's a direct transfer, transformation of energy.
258.172	And I'm going to imagine this, you can do this too if you like,
