startsecond	text
12.448	I'm going to go off script
13.715	and make Chris quite nervous here
15.766	by making this audience participation.
18.114	All right. Are you with me? Yeah. Yeah. All right.
21.297	So what I'd like to do is have you raise your hand
23.741	if you've ever heard a
23.741	heterosexual couple having sex.
27.797	Could be the neighbors, hotel room,
30.348	your parents. Sorry.
32.355	Okay. Pretty much everybody.
34.107	Now raise your hand if the man was making
35.934	more noise than the woman.
39.363	I see one guy there.
41.676	It doesn't count if it was you, sir.
43.923	(Laughter)
44.938	So his hand's down. And one woman. Okay.
48.448	Sitting next to a loud guy.
50.524	Now what does this tell us?
52.148	It tells us that human beings
53.994	make noise when they have sex,
55.362	and it's generally the woman who makes more noise.
57.488	This is known as female copulatory vocalization
60.542	to the clipboard crowd.
61.965	I wasn't even going to mention this,
63.596	but somebody told me that Meg Ryan might be here,
66.537	and she is the world's most famous
69.141	female copulatory vocalizer.
71.09	So I thought, got to talk about that.
73.49	We'll get back to that a little bit later.
76.203	Let me start by saying human beings
78.168	are not descended from apes,
80.269	despite what you may have heard. We are apes.
82.501	We are more closely related
82.501	to the chimp and the bonobo
85.337	than the African elephant is to the Indian elephant,
88.717	as Jared Diamond pointed
88.717	out in one of his early books.
91.915	We're more closely related to chimps and bonobos
96.11	than chimps and bonobos are related
97.611	to any other primate --
99.273	gorillas, orangutans, what have you.
101.549	So we're extremely closely related to them,
104.796	and as you'll see in terms of our behavior,
107.222	we've got some relationship as well.
109.589	So what I'm asking today, the question
111.508	I want to explore with you today is,
114.57	what kind of ape are we in terms of our sexuality?
118.738	Now, since Darwin's day there's been
120.956	what Cacilda and I have called
122.458	the standard narrative of human sexual evolution,
125.144	and you're all familiar with it,
126.698	even if you haven't read this stuff.
129.261	The idea is that, as part of human nature,
132.329	from the beginning of our species' time,
134.318	men have sort of leased
134.318	women's reproductive potential
138.812	by providing them with certain goods and services.
142.207	Generally we're talking about meat, shelter, status,
145.877	protection, things like that.
148.508	And in exchange, women have offered fidelity,
150.843	or at least a promise of fidelity.
153.221	Now this sets men and women up
153.221	in an oppositional relationship.
157.491	The war between the sexes is built right into
157.491	our DNA, according to this vision. Right?
163.434	What Cacilda and I have argued is that no,
167.371	this economic relationship,
169.812	this oppositional relationship,
171.637	is actually an artifact of agriculture,
174.262	which only arose about 10,000
174.262	years ago at the earliest.
177.938	Anatomically modern human beings
180.105	have been around for about 200,000 years,
183.104	so we're talking about five percent, at most,
186.726	of our time as a modern, distinct species.
190.414	So before agriculture,
193.948	before the agricultural revolution,
195.953	it's important to understand that human beings
198.064	lived in hunter-gatherer groups that are
201.398	characterized wherever they're found in the world
204.414	by what anthropologists called fierce egalitarianism.
209.005	They not only share things,
210.873	they demand that things be shared:
213.382	meat, shelter, protection, all these things
215.641	that were supposedly being traded to women
218.65	for their sexual fidelity, it turns out,
221.48	are shared widely among these societies.
224.21	Now I'm not saying that our ancestors
226.398	were noble savages, and I'm not saying
228.359	modern day hunter-gatherers
228.359	are noble savages either.
231.155	What I'm saying is that this is simply
233.166	the best way to mitigate risk
235.606	in a foraging context.
237.536	And there's really no argument
237.536	about this among anthropologists.
240.652	All Cacilda and I have done is extend
240.652	this sharing behavior to sexuality.
245.216	So we've argued that human sexuality
247.651	has essentially evolved, until agriculture,
252.135	as a way of establishing and maintaining
255.281	the complex, flexible social systems, networks,
259.007	that our ancestors were very good at,
261.918	and that's why our species has survived so well.
266.534	Now, this makes some people uncomfortable,
268.751	and so I always need to take 
268.751	a moment in these talks
271.136	to say, listen,
272.98	I'm saying our ancestors were promiscuous,
275.623	but I'm not saying they were
275.623	having sex with strangers.
277.958	There were no strangers. Right?
279.984	In a hunter-gatherer band, there are no strangers.
281.828	You've known these people your entire life.
283.817	So I'm saying, yes, there were
283.817	overlapping sexual relationships,
287.276	that our ancestors probably had
287.276	several different sexual relationships
291.583	going on at any given moment in their adult lives.
294.97	But I'm not saying they were
294.97	having sex with strangers.
297.373	I'm not saying that they didn't love the
297.373	people they were having sex with.
300.484	And I'm not saying there was
300.484	no pair-bonding going on.
303.389	I'm just saying it wasn't sexually exclusive.
306.475	And those of us who have
306.475	chosen to be monogamous --
310.159	my parents, for example, have been married
312.497	for 52 years monogamously,
315.005	and if it wasn't monogamously, Mom and Dad,
317.367	I don't want to hear about it—
319.714	I'm not criticizing this and I'm not saying
322.106	there's anything wrong with this.
323.662	What I'm saying is that to argue
325.821	that our ancestors were sexual omnivores
330.495	is no more a criticism of monogamy
332.782	than to argue that our ancestors
332.782	were dietary omnivores
336.25	is a criticism of vegetarianism.
339.573	You can choose to be a vegetarian,
341.454	but don't think that just because
341.454	you've made that decision,
344.198	bacon suddenly stops smelling good.
346.99	Okay? So this is my point.
349.677	(Laughter)
352.028	That one took a minute to sink in, huh?
