startsecond	text
18.33	I'll just start talking
18.33	about the 17th century.
20.593	I hope nobody finds that offensive.
22.33	I -- you know, when I --
22.33	after I had invented PCR,
25.33	I kind of needed a change.
27.33	And I moved down to La Jolla
27.33	and learned how to surf.
30.33	And I started living down there
30.33	on the beach for a long time.
33.33	And when surfers are out waiting
35.33	for waves,
37.33	you probably wonder, if you've never
37.33	been out there, what are they doing?
39.33	You know, sometimes there's a 10-,
41.33	when you're waiting for a wave to come in.
43.354	They usually talk about the 17th century.
46.33	You know, they get a real
46.33	bad rap in the world.
49.33	People think they're sort of lowbrows.
53.33	One day, somebody suggested
53.33	I read this book.
55.497	It was called --
57.33	"it was called ""The Air Pump,"""
59.33	"or something like ""The"
59.33	"Leviathan and The Air Pump."""
61.783	It was a real weird book
61.783	about the 17th century.
64.33	And I realized, the roots
66.33	of the way I sort of thought
68.33	was just the only natural
68.33	way to think about things.
71.33	That -- you know, I was born
71.33	thinking about things that way,
74.33	and I had always
74.33	been like a little scientist guy.
76.33	And when I went to find out something,
78.33	I used scientific methods.
78.33	I wasn't real surprised,
80.33	you know, when they first told me how --
82.33	how you were supposed to do science,
84.33	because I'd already been doing it
84.33	for fun and whatever.
88.33	But it didn't -- it never occurred to me
91.33	that it had to be invented
93.33	and that it had been invented
95.33	only 350 years ago.
97.33	You know, it was --
99.33	like it happened in England,
99.33	and Germany, and Italy
102.33	sort of all at the same time.
104.33	And the story of that,
106.33	I thought, was really fascinating.
108.33	So I'm going to talk
108.33	a little bit about that,
110.497	and what exactly is it
110.497	that scientists are supposed to do.
113.33	And it's, it's a kind of --
115.33	You know, Charles I got beheaded
119.33	somewhere early in the 17th century.
121.33	And the English set up Cromwell
123.33	and a whole bunch
123.33	of Republicans or whatever,
125.497	and not the kind of Republicans we had.
128.33	They changed the government,
128.33	and it didn't work.
132.33	And
135.33	Charles II, the son,
139.33	was finally put back
139.33	on the throne of England.
141.545	He was really nervous,
141.545	because his dad had been,
144.33	you know, beheaded for being
144.33	the King of England
146.64	And he was nervous about the fact
149.33	that conversations that got going
151.33	in, like, bars and stuff
153.33	would turn to --
155.33	this is kind of -- it's hard to believe,
157.33	but people in the 17th century in England
159.33	were starting to talk about, you know,
161.33	philosophy and stuff in bars.
163.33	They didn't have TV screens,
165.33	and they didn't have
165.33	any football games to watch.
167.688	And they would get really pissy,
169.33	and all of a sudden people would spill
169.33	out into the street and fight
172.593	about issues like whether or not
174.33	it was okay if Robert Boyle
177.33	made a device called the vacuum pump.
179.33	Now, Boyle was a friend of Charles II.
182.33	He was a Christian guy
182.33	during the weekends,
185.33	but during the week he was a scientist.
188.33	(Laughter)
189.33	Which was -- back then it was
191.33	sort of, you know, well, you know --
194.33	if you made this thing --
194.33	he made this little device,
196.878	like kind of like a bicycle pump
199.33	in reverse that could suck
199.33	all the air out of --
202.33	you know what a bell jar is?
202.33	One of these things,
204.33	you pick it up, put it
204.33	down, and it's got a seal,
206.688	and you can see inside of it,
208.33	so you can see what's going
208.33	on inside this thing.
210.33	But what he was trying to do
210.33	was to pump all the air out of there,
213.33	and see what would happen inside there.
215.33	I mean, the first -- I think
215.33	one of the first experiments he did
219.33	was he put a bird in there.
221.33	And people in the 17th century,
224.33	they didn't really understand
224.33	the same way we do
227.33	about you know, this stuff is
229.33	a bunch of different kinds of molecules,
232.33	and we breathe it
232.33	in for a purpose and all that.
235.33	I mean, fish don't know much about water,
237.33	and people didn't know much about air.
240.33	But both started exploring it.
242.33	One thing, he put a bird in there,
242.33	and he pumped all the air out,
244.33	and the bird died. So he said, hmm...
246.33	He said -- he called
246.33	what he'd done as making --
249.33	they didn't call it
249.33	a vacuum pump at the time.
251.545	Now you call it a vacuum
251.545	pump; he called it a vacuum.
254.33	Right? And immediately,
257.33	he got into trouble with the local clergy
259.33	who said, you can't make a vacuum.
262.33	Ah, uh --
264.33	(Laughter)
267.33	Aristotle said that nature abhors one.
269.33	I think it was a poor
269.33	translation, probably,
271.45	but people relied
271.45	on authorities like that.
274.33	And you know, Boyle says, well, shit.
277.33	I make them all the time.
279.33	I mean, whatever
279.33	that is that kills the bird --
282.33	and I'm calling it a vacuum.
284.33	And the religious people said that
287.33	if God wanted you to make --
290.33	I mean, God is everywhere,
292.33	that was one of their rules,
292.33	is God is everywhere.
294.735	And a vacuum --
294.735	there's nothing in a vacuum,
296.855	so you've -- God couldn't be in there.
299.33	So therefore the church said that you
299.33	can't make a vacuum, you know.
302.593	And Boyle said, bullshit.
304.33	I mean, you want to call it Godless,
306.33	you know, you call it Godless.
308.33	But that's not my job. I'm not into that.
310.33	I do that on the weekend. And like --
313.33	what I'm trying to do
313.33	is figure out what happens
316.33	when you suck everything
316.33	out of a compartment.
319.33	And he did all these
319.33	cute little experiments.
321.497	Like he did one with --
321.497	he had a little wheel,
324.33	like a fan, that was
327.33	sort of loosely attached,
327.33	so it could spin by itself.
330.33	He had another fan opposed to it
332.33	that he had like a --
334.33	I mean, the way I would have done
334.33	this would be, like, a rubber band,
336.33	and, you know, around a tinker
336.33	toy kind of fan.
338.593	I know exactly how he did
338.593	it; I've seen the drawings.
342.33	It's two fans, one which he could
342.33	turn from outside
344.33	after he got the vacuum established,
346.33	and he discovered that if he pulled
346.33	all the air out of it,
349.33	the one fan would no longer
349.33	turn the other one, right?
352.33	Something was missing, you know.
352.33	I mean, these are --
355.33	it's kind of weird to think that someone
355.33	had to do an experiment to show that,
