startsecond	text
13.16	I thought I'd begin with a scene of war.
15.16	There was little to warn of the danger ahead.
17.16	The Iraqi insurgent had placed the IED,
19.16	an Improvised Explosive Device,
22.16	along the side of the road with great care.
24.16	By 2006, there were more than 2,500
28.16	of these attacks every single month,
31.16	and they were the leading cause of
33.16	casualties among American soldiers
35.16	and Iraqi civilians.
37.16	The team that was hunting for this IED
39.16	is called an EOD team—
41.16	Explosives Ordinance Disposal—and
43.16	they're the pointy end of the spear in the
45.16	American effort to suppress these roadside bombs.
48.16	Each EOD team goes out on about
52.16	defusing about two bombs a day.
55.16	Perhaps the best sign of how valuable they
57.16	are to the war effort, is that
59.16	the Iraqi insurgents put a $50,000 bounty
61.16	on the head of a single EOD soldier.
64.16	Unfortunately, this particular call
66.16	would not end well.
68.16	By the time the soldier advanced close
70.16	enough to see the telltale wires
72.16	of the bomb, it exploded in a wave of flame.
75.16	Now, depending how close you are
77.16	and how much explosive has been packed
79.16	into that bomb, it can cause death
81.16	or injury. You have to be as far as
85.16	The blast is so strong it can even break
87.16	your limbs, even if you're not hit.
89.16	That soldier had been on top of the bomb.
91.16	And so when the rest of the team advanced
94.16	they found little left. And that night the unit's
96.16	commander did a sad duty, and he wrote
98.16	a condolence letter back to the United
100.16	States, and he talked about how hard the
102.16	loss had been on his unit, about the fact
104.16	that they had lost their bravest soldier,
106.16	a soldier who had saved their lives
108.16	many a time.
110.16	And he apologized
112.16	for not being able to bring them home.
114.16	But then he talked up the silver lining
116.16	that he took away from the loss.
118.16	"""At least,"" as he wrote, ""when a robot dies,"
120.16	you don't have to write a letter
122.16	"to its mother."""
124.16	That scene sounds like science fiction,
126.16	but is battlefield reality already.
128.16	The soldier in that case
131.16	was a 42-pound robot called a PackBot.
134.16	The chief's letter went, not to some
137.16	farmhouse in Iowa like you see
139.16	in the old war movies, but went to
142.16	the iRobot Company, which is
144.16	named after the Asimov novel
147.16	and the not-so-great Will Smith movie,
149.16	and... um... (Laughter)...
151.16	if you remember that
153.16	in that fictional world, robots started out
155.16	carrying out mundane chores, and then
157.16	they started taking on life-and-death decisions.
159.16	That's a reality we face today.
161.16	What we're going to do is actually just
163.16	flash a series of photos behind me that
165.16	show you the reality of robots used in war
168.16	right now or already at the prototype stage.
170.16	It's just to give you a taste.
173.16	Another way of putting it is you're not
175.16	going to see anything that's powered
177.16	by Vulcan technology, or teenage
179.16	wizard hormones or anything like that.
181.16	This is all real. So why don't we
183.16	go ahead and start those pictures.
185.16	Something big is going on in war today,
187.16	and maybe even the history of humanity
189.16	itself. The U.S. military went into Iraq with
192.16	a handful of drones in the air.
194.16	We now have 5,300.
197.16	We went in with zero unmanned ground
199.16	systems. We now have 12,000.
203.16	"And the tech term ""killer application"""
205.16	takes on new meaning in this space.
208.16	And we need to remember that we're
210.16	talking about the Model T Fords,
212.16	the Wright Flyers, compared
214.16	to what's coming soon.
216.16	That's where we're at right now.
218.16	One of the people that I recently met with
220.16	was an Air Force three-star general, and he
222.16	said basically, where we're headed very
224.16	soon is tens of thousands of robots
226.16	operating in our conflicts, and these
228.16	numbers matter, because we're not just
230.16	talking about tens of thousands of today's
232.16	robots, but tens of thousands of these
234.16	prototypes and tomorrow's robots, because
236.16	of course, one of the things that's operating
239.16	in technology is Moore's Law,
241.16	that you can pack in more and more
243.16	computing power into those robots, and so
245.16	flash forward around 25 years,
247.16	if Moore's Law holds true,
249.16	those robots will be close to a billion times
252.16	more powerful in their computing than today.
255.16	And so what that means is the kind of
257.16	things that we used to only talk about at
259.16	science fiction conventions like Comic-Con
261.16	have to be talked about in the halls
263.16	of power and places like the Pentagon.
265.16	A robots revolution is upon us.
268.16	Now, I need to be clear here.
270.16	I'm not talking about a revolution where you
272.16	have to worry about the Governor of
274.16	California showing up at your door,
276.16	a la the Terminator. (Laughter)
278.16	When historians look at this period, they're
280.16	going to conclude that we're in a different
282.16	type of revolution: a revolution in war,
284.16	like the invention of the atomic bomb.
286.16	But it may be even bigger than that,
288.16	because our unmanned systems don't just
290.16	"affect the ""how"" of war-fighting,"
292.16	"they affect the ""who"" of fighting"
294.16	at its most fundamental level.
296.16	That is, every previous revolution in war, be
298.16	it the machine gun, be it the atomic bomb,
300.16	was about a system that either shot faster,
303.16	went further, had a bigger boom.
306.16	That's certainly the case with robotics, but
309.16	they also change the experience of the warrior
312.16	and even the very identity of the warrior.
315.16	Another way of putting this is that
318.16	mankind's 5,000-year-old monopoly
320.16	on the fighting of war is breaking down
323.16	in our very lifetime. I've spent
325.16	the last several years going around
327.16	meeting with all the players in this field,
329.16	from the robot scientists to the science
331.16	fiction authors who inspired them to the
335.16	from Nevada, to the four-star generals
337.16	who command them, to even the Iraqi
339.16	insurgents who they are targeting and what
341.16	they think about our systems, and
343.16	what I found interesting is not just
345.16	their stories, but how their experiences
347.16	point to these ripple effects that are going
349.16	outwards in our society, in our law
351.16	and our ethics, etc. And so what I'd like
353.16	to do with my remaining time is basically
355.16	flesh out a couple of these.
357.16	So the first is that the future of war,
359.16	even a robotics one, is not going to be
361.16	purely an American one.
363.16	The U.S. is currently ahead in military
365.16	robotics right now, but we know that in
367.16	technology there's no such thing as
369.16	a permanent first move or advantage.
372.16	In a quick show of hands, how many
374.16	people in this room still use
376.16	Wang Computers? (Laughter)
378.16	It's the same thing in war. The British and
380.16	the French invented the tank.
383.16	The Germans figured out how
385.16	to use it right, and so what we have to
387.16	think about for the U.S. is that we are
389.16	ahead right now, but you have
393.16	working on military robotics, and they
395.16	include all the interesting countries like
397.16	Russia, China, Pakistan, Iran.
400.16	And this raises a bigger worry for me.
403.16	How do we move forward in this revolution
405.16	given the state of our manufacturing
407.16	and the state of our science and
409.16	mathematics training in our schools?
411.16	Or another way of thinking about this is,
413.16	what does it mean to go to war increasingly
415.16	with soldiers whose hardware is made
418.16	in China and software is written in India?
423.16	But just as software has gone open-source,
426.16	so has warfare.
428.16	Unlike an aircraft carrier or an atomic bomb,
431.16	you don't need a massive manufacturing
433.16	system to build robotics. A lot of it is
435.16	off the shelf. A lot of it's even do-it-yourself.
437.16	One of those things you just saw flashed
439.16	before you was a raven drone, the handheld
441.16	tossed one. For about a thousand dollars,
443.16	you can build one yourself, equivalent to
445.16	what the soldiers use in Iraq.
447.16	That raises another wrinkle when it comes
449.16	to war and conflict. Good guys might play
451.16	around and work on these as hobby kits,
453.16	but so might bad guys.
