startsecond	text
12.16	I run a design studio in New York.
15.16	Every seven years, I close it for one year
19.16	to pursue
22.16	some little experiments, things that
24.16	are always difficult to accomplish
27.16	during the regular working year.
29.16	In that year, we are not available
31.16	for any of our clients.
33.16	We are totally closed.
36.16	And as you can imagine,
38.16	it is a lovely and very energetic time.
42.16	I originally had opened the studio in New York
45.16	to combine my two loves, music and design.
48.16	And we created videos and packaging
51.16	for many musicians that you know,
53.16	and for even more that you've never heard of.
57.16	As I realized, just like with many many things in my life
61.16	that I actually love,
63.16	I adapt to it.
65.16	And I get, over time, bored by them.
67.16	And for sure, in our case,
70.16	our work started to look the same.
72.16	You see here a glass eye in a die cut of a book.
75.16	Quite the similar idea, then, a perfume packaged
78.16	in a book, in a die cut.
82.16	So I decided to close it down for one year.
87.16	Also is the knowledge that
89.16	right now we spend about
91.16	in the first 25 years of our lives learning,
95.16	then there is another 40 years
97.16	that's really reserved for working.
100.16	And then tacked on at the end of it
102.16	are about 15 years for retirement.
105.16	And I thought it might be helpful
108.16	to basically cut off five of those retirement years
112.16	and intersperse them in between those working years.
118.16	(Applause)
124.16	That's clearly enjoyable for myself.
126.16	But probably even more important is
129.16	that the work that comes out of these years
132.16	flows back into the company
134.16	and into society at large,
136.16	rather than just benefiting a grandchild or two.
142.16	There is a fellow TEDster who spoke two years ago,
145.16	Jonathan Haidt,
147.16	who defined his work into three different levels.
151.16	And they rang very true for me.
153.16	I can see my work as a job. I do it for money.
156.16	I likely already look forward to the weekend on Thursdays.
160.16	And I probably will need a hobby as a leveling mechanism.
165.16	In a career I'm definitely more engaged.
168.16	But at the same time, there will be periods when I think
170.16	is all that really hard work really worth my while?
175.16	While in the third one, in the calling,
177.16	very much likely I would do it also
180.16	if I wouldn't be financially compensated for it.
184.16	I am not a religious person myself,
186.16	but I did look for nature.
189.16	I had spent my first sabbatical in New York City.
193.16	Looked for something different for the second one.
196.16	Europe and the U.S. didn't really feel enticing
199.16	because I knew them too well. So Asia it was.
202.16	The most beautiful landscapes I had seen in Asia
204.16	were Sri Lanka and Bali.
206.16	Sri Lanka still had the civil war going on, so Bali it was.
210.16	It's a wonderful, very craft-oriented society.
214.16	I arrived there in September 2008,
218.16	and pretty much started to work right away.
221.16	There is wonderful inspiration coming from the area itself.
227.16	However the first thing that I needed was
230.16	mosquito repellent typography
233.16	because they were definitely around heavily.
236.16	And then I needed some sort of way
239.16	to be able to get back to all the wild dogs
242.16	that surround my house,
244.16	and attacked me during my morning walks.
247.16	So we created this series of 99 portraits on tee shirts.
253.16	Every single dog on one tee shirt.
257.16	As a little retaliation
259.16	with a just ever so slightly menacing message
263.16	(Laughter)
264.16	on the back of the shirt.
266.16	(Laughter)
268.16	Just before I left New York
270.16	I decided I could actually renovate my studio.
274.16	And then just leave it all to them.
277.16	And I don't have to do anything.
279.16	So I looked for furniture.
281.16	And it turned out that
283.16	all the furniture that I really liked,
285.16	I couldn't afford.
287.16	And all the stuff I could afford, I didn't like.
289.16	So one of the things that we pursued in Bali
291.16	was pieces of furniture.
294.16	This one, of course, still works with the wild dogs.
297.16	It's not quite finished yet.
300.16	And I think by the time this lamp came about,
303.16	(Laughter)
305.16	I had finally made peace with those dogs.
309.16	(Laughter)
314.16	Then there is a coffee table. I also did a coffee table.
317.16	It's called Be Here Now.
319.16	It includes 330 compasses.
323.16	And we had custom espresso cups made
326.16	that hide a magnet inside,
328.16	and make those compasses go crazy,
331.16	always centering on them.
334.16	Then this is a fairly talkative, verbose kind of chair.
342.16	I also started meditating for the first time in my life in Bali.
346.16	And at the same time, I'm extremely aware
348.16	how boring it is to hear about other people's happinesses.
352.16	So I will not really go too far into it.
357.16	Many of you will know this TEDster,
360.16	Danny Gilbert, whose book, actually,
362.16	I got it through the TED book club.
364.16	I think it took me four years
366.16	to finally read it, while on sabbatical.
370.16	And I was pleased to see
372.16	that he actually wrote the book while he was on sabbatical.
376.16	And I'll show you a couple of people
378.16	that did well by pursuing sabbaticals.
382.16	This is Ferran Adria. Many people think
384.16	he is right now the best chef in the world
387.16	with his restaurant north of Barcelona, El Bulli.
390.16	His restaurant is open seven months every year.
392.16	He closes it down for five months
394.16	to experiment with a full kitchen staff.
397.16	His latest numbers are fairly impressive.
399.16	He can seat, throughout the year,
403.16	he can seat 8,000 people.
406.16	And he has 2.2 million requests for reservations.
411.16	If I look at my cycle, seven years, one year sabbatical,
414.16	it's 12.5 percent of my time.
417.16	And if I look at companies that are actually more successful than mine,
422.16	3M since the 1930s
425.16	is giving all their engineers
431.16	There is some good successes.
433.16	Scotch tape came out of this program,
436.16	as well as Art Fry developed
440.16	sticky notes from during his personal time for 3M.
444.16	Google, of course, very famously
446.16	gives 20 percent for their software engineers
448.16	to pursue their own personal projects.
452.16	Anybody in here has actually ever conducted a sabbatical?
458.16	That's about five percent of everybody.
464.16	So I'm not sure if you saw your neighbor putting their hand up.
468.16	Talk to them about if it was successful or not.
472.16	I've found that
474.16	finding out about what I'm going to like in the future,
478.16	my very best way is to talk to people
480.16	who have actually done it
482.16	much better than myself envisioning it.
486.16	When I had the idea of doing one,
488.16	the process was I made the decision and I put it into my daily planner book.
494.16	And then I told as many, many people as I possibly could about it
498.16	so that there was no way that I could chicken out later on.
501.16	(Laughter)
503.16	In the beginning, on the first sabbatical,
506.16	it was rather disastrous.
510.16	I had thought that I should do this without any plan,
514.16	that this vacuum of time somehow would
