startsecond	text
12.54	People have been using media
12.54	to talk about sex for a long time.
17.42	Love letters, phone sex, racy Polaroids.
21.3	There's even a story of a girl who eloped
21.3	with a man that she met over the telegraph
27.38	in 1886.
30.38	Today we have sexting,
30.38	and I am a sexting expert.
35.5	Not an expert sexter.
38.62	Though, I do know what this means --
38.62	I think you do too.
42.82	[it's a penis]
44.22	(Laughter)
48.18	I have been studying sexting since
48.18	the media attention to it began in 2008.
54.54	I wrote a book on the moral
54.54	panic about sexting.
57.54	And here's what I found:
59.18	most people are worrying
59.18	about the wrong thing.
62.42	They're trying to just prevent
62.42	sexting from happening entirely.
66.62	But let me ask you this:
68.18	As long as it's completely consensual,
68.18	what's the problem with sexting?
73.06	People are into all sorts of things
73.06	that you may not be into,
77.1	like blue cheese or cilantro.
79.42	(Laughter)
82.42	Sexting is certainly risky,
82.42	like anything that's fun,
86.58	but as long as you're not sending an image
86.58	to someone who doesn't want to receive it,
93.3	there's no harm.
95.1	What I do think is a serious problem
97.74	is when people share
97.74	private images of others
101.02	without their permission.
103.18	And instead of worrying about sexting,
105.54	what I think we need to do
105.54	is think a lot more about digital privacy.
110.7	The key is consent.
113.5	Right now most people
113.5	are thinking about sexting
116.82	without really thinking
116.82	about consent at all.
120.22	Did you know that we currently
120.22	criminalize teen sexting?
125.22	It can be a crime because
125.22	it counts as child pornography,
128.7	if there's an image of someone under 18,
131.58	and it doesn't even matter
132.94	if they took that image of themselves
132.94	and shared it willingly.
137.62	So we end up with this
137.62	bizarre legal situation
140.62	where two 17-year-olds
140.62	can legally have sex in most US states
145.18	but they can't photograph it.
148.38	Some states have also tried
148.38	passing sexting misdemeanor laws
152.66	but these laws repeat the same problem
155.7	because they still
155.7	make consensual sexting illegal.
160.34	It doesn't make sense
161.62	to try to ban all sexting
161.62	to try to address privacy violations.
166.38	This is kind of like saying,
167.9	let's solve the problem of date rape
167.9	by just making dating completely illegal.
174.94	Most teens don't get arrested for sexting,
174.94	but can you guess who does?
180.34	It's often teens who are disliked
