startsecond	text
13.721	I have a confession to make.
16.181	I am addicted to adventure,
19.42	and as a young boy,
21.859	I would rather look outside the window
24.367	at the birds in the trees and the sky
27.101	than looking at that two-dimensional
29.237	chalky blackboard where time stands still
33.208	and even sometimes dies.
35.953	My teachers thought there was something wrong
37.763	with me because I wasn't paying attention in class.
41.15	They didn't find anything 
41.15	specifically wrong with me,
43.17	other than being slightly 
43.17	dyslexic because I'm a lefty.
47.692	But they didn't test for curiosity.
51.807	Curiosity, to me,
54.388	is about our connection
56.361	with the world, with the universe.
59.606	It's about seeing what's 
59.606	around that next coral head
61.496	or what's around that next tree,
63.195	and learning more not only about our environment
65.254	but about ourselves.
67.324	Now, my dream of dreams,
69.854	I want to go explore the oceans of Mars,
73.128	but until we can go there,
75.974	I think the oceans still hold
79.44	quite a few secrets.
80.879	As a matter of fact,
82.243	if you take our planet as the oasis in space that it is
85.798	and dissect it into a living space,
89.429	the ocean represents over 3.4 billion
92.824	cubic kilometers of volume, within which
95.311	we've explored less than five percent.
99.821	And I look at this, and I go, well,
102.08	there are tools to go 
102.08	deeper, longer and further:
105.446	submarines, ROVs, even Scuba diving.
110.659	But if we're going to explore the final frontier
113.267	on this planet, we need to live there.
116.754	We need to build a log cabin, if you will,
119.352	at the bottom of the sea.
122.412	And so there was a great curiosity in my soul
125.378	when I went to go visit a TED [Prize winner]
128.145	by the name of Dr. Sylvia Earle.
129.58	Maybe you've heard of her.
131.064	Two years ago, she was staked out
134.84	at the last undersea marine laboratory
137.684	to try and save it,
139.667	to try and petition
141.355	for us not to scrap it
143.145	and bring it back on land.
145.546	We've only had about a dozen or so
147.458	scientific labs at the bottom of the sea.
149.888	There's only one left in the world:
151.8	it's nine miles offshore
153.021	and 65 feet down.
155.355	It's called Aquarius.
157.01	Aquarius, in some fashion,
159.382	is a dinosaur,
161.631	an ancient robot chained to the bottom,
163.971	this Leviathan.
167.391	In other ways, it's a legacy.
169.546	And so with that visit, I realized 
169.546	that my time is short
172.43	if I wanted to experience
174.681	what it was like to become an aquanaut.
179.708	When we swam towards this after many
