startsecond	text
16.045	So I am a surgeon who studies creativity,
18.542	and I have never had a patient tell me,
21.394	"""I really want you"
21.394	"to be creative during surgery,"""
24.26	and so I guess
24.26	there's a little bit of irony to it.
27.403	I will say though that,
27.403	after having done surgery a lot,
30.727	it's similar to playing
30.727	a musical instrument.
32.961	And for me, this deep
32.961	and enduring fascination with sound
35.815	is what led me to both be a surgeon
37.581	and to study the science
37.581	of sound, particularly music.
40.139	I'm going to talk
40.139	over the next few minutes
42.212	about my career
43.527	in terms of how I'm able to study music
45.835	and try to grapple
45.835	with all these questions
47.893	of how the brain is able to be creative.
50.26	I've done most of this work
50.26	at Johns Hopkins University,
52.914	and at the National Institute
52.914	of Health where I was previously.
55.923	I'll go over some science experiments
55.923	and cover three musical experiments.
59.454	I will start off by playing
59.454	a video for you.
61.534	This video is of Keith Jarrett,
61.534	who's a well-known jazz improviser
64.661	and probably the most
64.661	well-known, iconic example
67.129	of someone who takes improvisation
67.129	to a higher level.
69.646	And he'll improvise entire concerts
69.646	off the top of his head,
72.809	and he'll never play it
72.809	exactly the same way again,
75.238	so as a form of intense creativity,
77.247	I think this is a great example.
78.889	And so why don't we go
78.889	and click the video.
81.26	(Music)
137.055	(Music ends)
139.08	It's really a remarkable
139.08	thing that happens there.
141.443	I've always as a listener, as a fan,
143.195	I listen to that, and I'm astounded.
144.936	I think -- how can this possibly be?
146.696	How can the brain generate
146.696	that much information,
149.011	that much music, spontaneously?
150.62	And so I set out
150.62	with this concept, scientifically,
153.26	that artistic creativity,
153.26	it's magical, but it's not magic,
157.635	meaning that it's a product of the brain.
159.666	There's not too many brain-dead
159.666	people creating art.
162.124	With this notion that artistic creativity
162.124	is in fact a neurologic product,
165.779	I took this thesis that we could study it
168.26	just like we study any other
168.26	complex neurologic process,
171.398	and there are subquestions
171.398	that I put there.
173.477	Is it possible to study
173.477	creativity scientifically?
175.887	And I think that's a good question.
177.948	And I'll tell you that most
177.948	scientific studies of music,
180.658	they're very dense,
182.2	and when you go through them,
183.619	it's very hard to recognize
183.619	the music in it.
185.713	In fact, they seem to be
185.713	unmusical entirely
187.956	and to miss the point of the music.
189.774	This brings the second question:
191.354	Why should scientists study creativity?
193.26	Maybe we're not the right people to do it.
195.363	(Laughter)
196.386	Well it may be, but I will say that,
196.386	from a scientific perspective,
199.862	we talked a lot about innovation today,
201.904	the science of innovation,
203.26	how much we understand
203.26	about how the brain is able to innovate
206.237	is in its infancy,
207.505	and truly, we know very little
207.505	about how we are able to be creative.
210.996	I think that we're going to see,
212.544	over the next 10, 20, 30 years,
214.26	a real science of creativity
214.26	that's burgeoning
216.455	and is going to flourish,
217.68	Because we now have new methods
217.68	that can enable us
220.136	to take this process
220.136	like complex jazz improvisation,
222.684	and study it rigorously.
224.082	So it gets down to the brain.
226.253	All of us have this remarkable brain,
228.071	which is poorly understood,
228.071	to say the least.
230.55	I think that neuroscientists
230.55	have more questions than answers,
