startsecond	text
12.57	I work with a bunch of mathematicians,
12.57	philosophers and computer scientists,
16.777	and we sit around and think about
16.777	the future of machine intelligence,
21.986	among other things.
24.03	Some people think that some of these
24.03	things are sort of science fiction-y,
28.755	far out there, crazy.
31.856	But I like to say,
33.326	okay, let's look at the modern
33.326	human condition.
36.93	(Laughter)
38.622	This is the normal way for things to be.
41.024	But if we think about it,
43.309	we are actually recently arrived
43.309	guests on this planet,
46.602	the human species.
48.684	Think about if Earth
48.684	was created one year ago,
53.43	the human species, then, 
53.43	would be 10 minutes old.
56.978	The industrial era started
56.978	two seconds ago.
61.276	Another way to look at this is to think of
61.276	world GDP over the last 10,000 years,
66.501	I've actually taken the trouble
66.501	to plot this for you in a graph.
69.53	It looks like this.
71.304	(Laughter)
72.667	It's a curious shape
72.667	for a normal condition.
74.818	I sure wouldn't want to sit on it.
76.516	(Laughter)
79.067	Let's ask ourselves, what is the cause
79.067	of this current anomaly?
83.841	Some people would say it's technology.
86.393	Now it's true, technology has accumulated
86.393	through human history,
91.061	and right now, technology
91.061	advances extremely rapidly --
95.713	that is the proximate cause,
97.278	that's why we are currently 
97.278	so very productive.
100.473	But I like to think back further 
100.473	to the ultimate cause.
105.114	Look at these two highly
105.114	distinguished gentlemen:
108.88	We have Kanzi --
110.48	he's mastered 200 lexical
110.48	tokens, an incredible feat.
115.123	And Ed Witten unleashed the second
115.123	superstring revolution.
118.817	If we look under the hood, 
118.817	this is what we find:
121.141	basically the same thing.
122.711	One is a little larger,
124.524	it maybe also has a few tricks
124.524	in the exact way it's wired.
127.282	These invisible differences cannot
127.282	be too complicated, however,
131.094	because there have only
131.094	been 250,000 generations
135.379	since our last common ancestor.
137.111	We know that complicated mechanisms
137.111	take a long time to evolve.
142	So a bunch of relatively minor changes
144.499	take us from Kanzi to Witten,
147.566	from broken-off tree branches
147.566	to intercontinental ballistic missiles.
152.839	So this then seems pretty obvious
152.839	that everything we've achieved,
156.774	and everything we care about,
158.152	depends crucially on some relatively minor
158.152	changes that made the human mind.
164.65	And the corollary, of course,
164.65	is that any further changes
168.312	that could significantly change
168.312	the substrate of thinking
171.789	could have potentially 
171.789	enormous consequences.
176.321	Some of my colleagues 
176.321	think we're on the verge
179.226	of something that could cause
179.226	a profound change in that substrate,
183.134	and that is machine superintelligence.
186.347	Artificial intelligence used to be
186.347	about putting commands in a box.
191.086	You would have human programmers
192.751	that would painstakingly 
192.751	handcraft knowledge items.
195.886	You build up these expert systems,
197.972	and they were kind of useful 
