startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
16.048	What I want to do this afternoon
17.675	is something a little different than what's scheduled.
20.54	Foreign policy, you can figure that out
22.486	by watching, I don't know, Rachel Maddow or somebody,
25.52	but — (Laughter) —
27.354	I want to talk about young people and structure,
30.916	young people and structure.
32.883	This was last Wednesday afternoon
35.131	at a school in Brooklyn, New York,
37.635	at Cristo Rey High School, run by the Jesuits.
40.569	And I was talking to this group of students, and take a look at them.
44.406	They were around me in three directions.
46.873	You'll noticed that almost all of them are minority.
49.669	You'll notice that the building is rather austere.
51.514	It's an old New York school building, nothing fancy.
55.645	They still have old blackboards and whatnot.
58.176	And there are about 300 kids in this school,
60.767	and the school's been going now for four years,
63.419	and they're about to graduate their first class.
66.373	Twenty-two people are graduating,
68.444	and all 22 are going to college.
70.687	They all come from homes where there is, for the most part,
73.427	just one person in the home,
75.95	usually the mother or the grandmother, and that's it,
78.856	and they come here for their education
81.343	and for their structure.
82.756	Now I had this picture taken, and it was put up
85.564	on my Facebook page last week,
88.057	and somebody wrote in,
89.691	"""Huh, why does he have him standing at attention like that?"""
94.677	"And then they said, ""But he looks good."" (Laughter)"
99.048	He does look good, because kids need structure,
101.758	and the trick I play in all of my school appearances
105.264	is that when I get through with my little homily to the kids,
108.163	I then invite them to ask questions,
110.347	"and when they raise their hands, I say, ""Come up,"""
112.212	and I make them come up and stand in front of me.
114.551	I make them stand at attention like a soldier.
116.665	Put your arms straight down at your side,
118.447	look up, open your eyes, stare straight ahead,
121.899	and speak out your question loudly so everybody can hear.
125.334	No slouching, no pants hanging down, none of that stuff.
128.591	(Laughter)
129.962	And this young man, his name is -- his last name Cruz --
133.227	he loved it. That's all over his Facebook page and it's gone viral.
137.064	(Laughter)
139.251	So people think I'm being unkind to this kid.
141.994	No, we're having a little fun.
143.638	And the thing about it, I've done this for years,
146.052	the younger they are, the more fun it is.
149.212	When I get six- and seven-year-olds in a group,
152.152	I have to figure out how to keep them quiet.
154.031	You know that they'll always start yakking.
156.034	And so I play a little game with them
157.639	before I make them stand at attention.
159.211	"I say, ""Now listen. In the army,"
161.484	when we want you to pay attention,
163.812	we have a command. It's called 'at ease.'
166.997	It means everybody be quiet and pay attention. Listen up.
170.571	"Do you understand?"""
171.709	"""Uh-huh, uh-huh, uh-huh.""""Let's practice. Everybody start chatting."""
176.574	"And I let them go for about 10 seconds, then I go, ""At ease!"""
179.871	"""Huh!"" (Laughter)"
183.376	"""Yes, General. Yes, General."""
185.898	Try it with your kids. See if it works. (Laughter)
188.301	I don't think so.
191.354	But anyway, it's a game I play, and it comes obviously
194.368	from my military experience.
196.09	Because for the majority of my adult life,
199.519	I worked with young kids, teenagers with guns, I call them.
203.579	And we would bring them into the army,
206.024	and the first thing we would do is to put them
208.473	in an environment of structure, put them in ranks,
212.56	make them all wear the same clothes,
213.983	cut all their hair off so they look alike,
216.477	make sure that they are standing in ranks.
218.681	We teach them how to go right face, left face,
220.461	so they can obey instructions and know
222.378	the consequences of not obeying instructions.
225.306	It gives them structure.
226.771	And then we introduce them to somebody who they come to hate immediately, the drill sergeant.
230.951	And they hate him.
232.825	And the drill sergeant starts screaming at them,
235.173	and telling them to do all kinds of awful things.
239.022	But then the most amazing thing happens over time.
242.026	Once that structure is developed,
245.052	once they understand the reason for something,
248.27	"once they understand, ""Mama ain't here, son."
252.276	I'm your worst nightmare. I'm your daddy and your mommy.
256.096	And that's just the way it is. You got that, son?
258.708	Yeah, and then when I ask you a question, there are only three possible answers:
261.546	yes, sir; no, sir; and no excuse, sir.
263.942	Don't start telling me why you didn't do something.
266.105	"It's yes, sir; no, sir; no excuse, sir."""
