startsecond	text
18.33	Time flies.
20.33	It's actually almost 20 years ago
22.33	when I wanted to reframe the way we use information,
26.33	the way we work together: I invented the World Wide Web.
29.33	Now, 20 years on, at TED,
32.33	I want to ask your help in a new reframing.
37.33	So going back to 1989,
41.33	I wrote a memo suggesting the global hypertext system.
44.33	Nobody really did anything with it, pretty much.
47.33	But 18 months later -- this is how innovation happens --
55.33	as a sort of a play project,
57.33	kick the tires of a new computer we'd got.
59.33	And so he gave me the time to code it up.
62.33	So I basically roughed out what HTML should look like:
67.33	hypertext protocol, HTTP;
70.33	the idea of URLs, these names for things
73.33	which started with HTTP.
75.33	I wrote the code and put it out there.
77.33	Why did I do it?
79.33	Well, it was basically frustration.
81.33	I was frustrated -- I was working as a software engineer
85.33	in this huge, very exciting lab,
87.33	lots of people coming from all over the world.
89.33	They brought all sorts of different computers with them.
92.33	They had all sorts of different data formats,
95.33	all sorts, all kinds of documentation systems.
97.33	So that, in all that diversity,
100.33	if I wanted to figure out how to build something
102.33	out of a bit of this and a bit of this,
104.33	everything I looked into, I had to connect to some new machine,
108.33	I had to learn to run some new program,
110.33	I would find the information I wanted in some new data format.
115.33	And these were all incompatible.
117.33	It was just very frustrating.
119.33	The frustration was all this unlocked potential.
121.33	In fact, on all these discs there were documents.
124.33	So if you just imagined them all
127.33	being part of some big, virtual documentation system in the sky,
132.33	say on the Internet,
134.33	then life would be so much easier.
136.33	Well, once you've had an idea like that it kind of gets under your skin
140.33	and even if people don't read your memo --
142.33	actually he did, it was found after he died, his copy.
145.33	"He had written, ""Vague, but exciting,"" in pencil, in the corner."
148.33	(Laughter)
150.33	But in general it was difficult -- it was really difficult to explain
154.33	what the web was like.
156.33	It's difficult to explain to people now that it was difficult then.
158.33	But then -- OK, when TED started, there was no web
161.33	"so things like ""click"" didn't have the same meaning."
164.33	I can show somebody a piece of hypertext,
166.33	a page which has got links,
168.33	and we click on the link and bing -- there'll be another hypertext page.
172.33	Not impressive.
174.33	You know, we've seen that -- we've got things on hypertext on CD-ROMs.
177.33	What was difficult was to get them to imagine:
180.33	so, imagine that that link could have gone
184.33	to virtually any document you could imagine.
187.33	Alright, that is the leap that was very difficult for people to make.
191.33	Well, some people did.
193.33	So yeah, it was difficult to explain, but there was a grassroots movement.
197.33	And that is what has made it most fun.
201.33	That has been the most exciting thing,
203.33	not the technology, not the things people have done with it,
205.33	but actually the community, the spirit of all these people
207.33	getting together, sending the emails.
209.33	That's what it was like then.
211.33	Do you know what? It's funny, but right now it's kind of like that again.
214.33	I asked everybody, more or less, to put their documents --
216.33	"I said, ""Could you put your documents on this web thing?"""
219.33	And you did.
222.33	Thanks.
223.33	It's been a blast, hasn't it?
225.33	I mean, it has been quite interesting
227.33	because we've found out that the things that happen with the web
229.33	really sort of blow us away.
231.33	They're much more than we'd originally imagined
233.33	when we put together the little, initial website
235.33	that we started off with.
237.33	Now, I want you to put your data on the web.
240.33	Turns out that there is still huge unlocked potential.
244.33	There is still a huge frustration
246.33	that people have because we haven't got data on the web as data.
250.33	"What do you mean, ""data""? What's the difference -- documents, data?"
252.33	Well, documents you read, OK?
255.33	More or less, you read them, you can follow links from them, and that's it.
258.33	Data -- you can do all kinds of stuff with a computer.
260.33	Who was here or has otherwise seen Hans Rosling's talk?
266.33	One of the great -- yes a lot of people have seen it --
270.33	one of the great TED Talks.
272.33	Hans put up this presentation
274.33	in which he showed, for various different countries, in various different colors --
279.33	he showed income levels on one axis
282.33	and he showed infant mortality, and he shot this thing animated through time.
285.33	So, he'd taken this data and made a presentation
289.33	which just shattered a lot of myths that people had
292.33	about the economics in the developing world.
296.33	He put up a slide a little bit like this.
298.33	It had underground all the data
300.33	OK, data is brown and boxy and boring,
303.33	and that's how we think of it, isn't it?
305.33	Because data you can't naturally use by itself
308.33	But in fact, data drives a huge amount of what happens in our lives
312.33	and it happens because somebody takes that data and does something with it.
315.33	In this case, Hans had put the data together
317.33	he had found from all kinds of United Nations websites and things.
322.33	He had put it together,
324.33	combined it into something more interesting than the original pieces
327.33	and then he'd put it into this software,
332.33	which I think his son developed, originally,
334.33	and produces this wonderful presentation.
337.33	And Hans made a point
339.33	"of saying, ""Look, it's really important to have a lot of data."""
343.33	And I was happy to see that at the party last night
346.33	"that he was still saying, very forcibly, ""It's really important to have a lot of data."""
350.33	So I want us now to think about
352.33	not just two pieces of data being connected, or six like he did,
356.33	but I want to think about a world where everybody has put data on the web
361.33	and so virtually everything you can imagine is on the web
363.33	and then calling that linked data.
365.33	The technology is linked data, and it's extremely simple.
367.33	If you want to put something on the web there are three rules:
371.33	first thing is that those HTTP names --
374.33	"those things that start with ""http:"" --"
376.33	we're using them not just for documents now,
380.33	we're using them for things that the documents are about.
382.33	We're using them for people, we're using them for places,
384.33	we're using them for your products, we're using them for events.
388.33	All kinds of conceptual things, they have names now that start with HTTP.
392.33	Second rule, if I take one of these HTTP names and I look it up
397.33	and I do the web thing with it and I fetch the data
399.33	using the HTTP protocol from the web,
401.33	I will get back some data in a standard format
404.33	which is kind of useful data that somebody might like to know
409.33	about that thing, about that event.
411.33	Who's at the event? Whatever it is about that person,
413.33	where they were born, things like that.
415.33	So the second rule is I get important information back.
417.33	Third rule is that when I get back that information
421.33	it's not just got somebody's height and weight and when they were born,
424.33	it's got relationships.
426.33	Data is relationships.
428.33	Interestingly, data is relationships.
430.33	This person was born in Berlin; Berlin is in Germany.
434.33	And when it has relationships, whenever it expresses a relationship
437.33	then the other thing that it's related to
440.33	is given one of those names that starts HTTP.
444.33	So, I can go ahead and look that thing up.
446.33	So I look up a person -- I can look up then the city where they were born; then
449.33	I can look up the region it's in, and the town it's in,
452.33	and the population of it, and so on.
455.33	So I can browse this stuff.
457.33	So that's it, really.
459.33	That is linked data.
461.33	"I wrote an article entitled ""Linked Data"" a couple of years ago"
464.33	and soon after that, things started to happen.
468.33	The idea of linked data is that we get lots and lots and lots
472.33	of these boxes that Hans had,
474.33	and we get lots and lots and lots of things sprouting.
476.33	It's not just a whole lot of other plants.
479.33	It's not just a root supplying a plant,
481.33	but for each of those plants, whatever it is --
