startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
15.965	In System D, this
18.19	is a store,
20.237	and what I mean by that is that this is a photograph
22.564	I took in Makoko, shantytown in Lagos, Nigeria.
27.879	It's built over the lagoon, and there are no streets
30.262	where there can be stores to shop,
32.078	and so the store comes to you.
33.968	And in the same community,
35.753	this is business synergy.
37.505	This is the boat that that lady was paddling around in,
41.611	and this artisan makes the boat and the paddles
44.351	and sells directly
45.656	to the people who need the boat and the paddles.
47.82	And this is a global business.
50.002	Ogandiro smokes fish in Makoko in Lagos,
54.128	"and I asked her, ""Where does the fish come from?"""
57.089	"And I thought she'd say, ""Oh, you know,"
59.815	"up the lagoon somewhere, or maybe across Africa,"""
62.716	but you'll be happy to know she said
64.147	it came from here, it comes from the North Sea.
66.204	It's caught here, frozen, shipped down to Lagos,
68.53	smoked, and sold for a tiny increment of profit
71.617	on the streets of Lagos.
73.139	And this is a business incubator.
74.99	This is Olusosun dump, the largest garbage dump in Lagos,
78.692	and 2,000 people work here, and I found this out
81.763	from this fellow, Andrew Saboru.
84.181	Andrew spent 16 years scavenging materials on the dump,
88.341	earned enough money to turn himself into a contract scaler,
91.569	which meant he carried a scale and went around and
94.179	weighed all the materials that people had scavenged
96.403	from the dump. Now he's a scrap dealer.
99.426	That's his little depot behind him,
101.827	and he earns twice the Nigerian minimum wage.
106.338	This is a shopping mall.
108.6	This is Oshodi Market in Lagos.
110.775	"Jorge Luis Borges had a story called ""The Aleph,"""
113.121	and the Aleph is a point in the world
114.944	where absolutely everything exists,
117.239	and for me, this image is a point in the world
119.584	where absolutely everything exists.
122.048	So, what am I talking about when I talk about System D?
124.897	It's traditionally called the informal economy,
127.196	the underground economy, the black market.
130.824	I don't conceive of it that way.
133.117	I think it's really important to understand that something like
135.874	this is totally open. It's right there for you to find.
140.354	All of this is happening openly, and aboveboard.
143.081	There's nothing underground about it.
145.603	It's our prejudgment that it's underground.
148.985	I've pirated the term System D from the former French colonies.
153.49	There's a word in French that is débrouillardise,
156.586	that means to be self-reliant,
158.706	and the former French colonies have turned that into
162.069	System D for the economy of self-reliance,
164.626	or the DIY economy.
167.884	But governments hate the DIY economy,
171.013	and that's why -- I took this picture in 2007,
174.257	and this is the same market in 2009 --
178.809	and I think, when the organizers of this conference
181.115	were talking about radical openness,
182.542	they didn't mean that the streets should be open
185.098	and the people should be gone.
186.841	I think what we have is a pickle problem.
190.784	I had a friend who worked at a pickle factory,
193.724	and the cucumbers would come flying down
195.625	this conveyer belt, and his job was to pick off the ones
199.628	that didn't look so good and throw them in the bin
201.977	"labeled ""relish"" where they'd be crushed and mixed"
203.883	with vinegar and used for other kinds of profit.
207.209	This is the pickle economy.
209.52	We're all focusing on — this is a statistic from
212.025	earlier this month in the Financial Times —
214.604	we're all focusing on the luxury economy.
218.147	It's worth 1.5 trillion dollars every year, and that's
220.89	a vast amount of money, right?
222.634	That's three times the Gross Domestic Product of Switzerland.
225.882	So it's vast. But it should come with an asterisk,
230.68	and the asterisk is that it excludes two thirds of the workers
234.873	of the world.
235.926	1.8 billion people around the world work
239.315	in the economy that is unregulated and informal.
244.851	That's a huge number, and what does that mean?
248.131	Well, it means if it were united in a single political system,
252.884	one country, call it
257.139	"""The United Street Sellers Republic,"" the U.S.S.R.,"
260.14	"or ""Bazaaristan,"""
261.973	it would be worth 10 trillion dollars every year,
266.249	and that would make it the second largest economy
268.305	in the world, after the United States.
270.786	And given that projections are that the bulk
273.626	of economic growth over the next 15 years will come
277.291	from emerging economies in the developing world,
280.663	it could easily overtake the United States
282.794	and become the largest economy in the world.
286.16	So the implications of that are vast, because it means
289.695	that this is where employment is — 1.8 billion people —
