startsecond	text
16.148	Thirteen trillion dollars in wealth
18.26	has evaporated over the course
18.26	of the last two years.
21.813	We've questioned the future of capitalism.
24.134	We've questioned the financial industry.
26.51	We've looked at our government oversight.
28.51	We've questioned where we're going.
30.228	And yet, at the same time,
31.561	this very well may be
31.561	a seminal moment in American history,
34.461	an opportunity for the consumer
34.461	to actually take control and guide us
38.81	to a new trajectory in America.
41.01	I'm calling this The Great Unwind.
42.759	(Laughter)
43.785	And the idea is a simple, simple idea,
46.41	which is the fact that the consumer
46.41	has moved from a state of anxiety
50.514	to action.
51.696	Consumers who represent 72 percent
51.696	of the GDP of America
55.959	have actually started, just like banks
55.959	and just like businesses,
59.427	to de-leverage, to unwind
59.427	their leverage in daily life,
63.535	to remove themselves
63.535	from the liability and risk
66.51	that presents itself as they move forward.
69.41	So, to understand this --
69.41	and I'm going to stress this --
72.167	it's not about the consumer
72.167	being in retreat.
74.354	The consumer is empowered.
75.738	To understand this, we'll step back
75.738	and look at what's happened
79.019	over the last year and a half.
80.938	So if you've been gone,
80.938	this is the CliffsNotes
83.181	on what's happened in the economy.
84.829	(Laughter)
85.857	Unemployment up. Housing values down.
85.857	Equity markets down.
88.951	Commodity prices are like this.
90.581	If you're a mom trying to manage a budget,
92.853	and oil was 150 dollars
92.853	a barrel last summer,
95.542	and it's somewhere between 50 and 70,
97.339	do you plan vacations?
98.526	How do you buy?
99.708	What's your strategy in your household?
99.708	Will the bailout work?
102.652	We have national debt, Detroit,
102.652	currency valuations, health care --
105.851	all these issues facing us.
107.172	You put them all together,
107.172	mix them up in a bouillabaisse,
109.922	and you have consumer confidence
109.922	that's basically a ticking time bomb.
113.277	In fact, let's go back and look
113.277	at what caused this crisis,
116.278	because the consumer,
116.278	all of us, in our daily lives,
118.78	actually contributed
118.78	a large part to the problem.
121.28	This is something I call
121.28	the 50-20 paradox.
124.084	It took us 50 years
126.86	to reach annual savings ratings
126.86	of almost 10 percent.
130.64	Fifty years.
131.86	Do you know what this was right here?
131.86	This was World War II.
134.762	Do you know why savings was so high?
136.6	There was nothing to buy,
136.6	unless you wanted to buy some rivets.
139.934	What happened, though,
139.934	over the course of the last 20 years,
142.888	we went from a 10 percent savings rate
142.888	to a negative savings rate.
147.072	Because we binged.
148.749	We bought extra-large cars,
148.749	supersized everything,
152.566	we bought remedies
152.566	for restless leg syndrome.
155.298	All these things together
155.298	basically created a factor
159.228	where the consumer drove us
159.228	headlong into the crisis
161.84	that we face today.
163.137	The personal debt-to-income ratio
163.137	basically went from 65 to 135 percent
169.438	in the span of about 15 years.
171.97	So consumers got over-leveraged.
174.081	And of course our banks did as well,
174.081	as did our federal government.
177.286	This is an absolutely staggering chart.
179.376	It shows leverage,
179.376	trended out from 1919 to 2009.
184.007	And what you end up seeing
184.007	is the whole phenomenon
186.683	that we are actually stepping forth
186.683	and basically leveraging
190.563	future education, future children
190.563	in our households.
193.766	So if you look at this in the context
193.766	of visualizing the bailout,
196.89	what you can see is,
196.89	if you stack up dollar bills,
199.41	first of all, 360,000 dollars
201.676	is about the size of a five-foot-four guy.
204.219	But if you stack it up, you see
204.219	this amazing, staggering amount of dollars
208.52	that have been put into the system
208.52	to fund and bail us out.
211.41	So this is the first 315 billion.
213.599	But I read this fact the other day,
215.396	that one trillion seconds
215.396	equals 32,000 years.
218.73	So if you think about that,
220.071	the context, the casualness
220.071	with which we talk about
222.591	trillion-dollar bailout here
222.591	and trillion there,
224.868	we are stacking ourselves up
224.868	for long-term leverage.
228.277	However, consumers have moved.
230.953	They are taking responsibility.
233.016	What we're seeing
233.016	is an uptake in the savings rate.
235.569	In fact, 11 straight months
235.569	of savings have happened
238.308	since the beginning of the crisis.
239.979	We're working our way back up
239.979	to that 10 percent.
242.367	Also, remarkably, in the fourth quarter,
244.321	spending dropped
244.321	to its lowest level in 62 years --
247.726	almost a 3.7 percent decline.
250.41	Visa now reports that more people
250.41	are using debit cards than credit cards.
254.314	So we're starting to pay for things
254.314	with money that we have.
257.731	And we're starting to be much more careful
257.731	about how we save and invest.
261.41	But that's not really the whole story,
263.41	because this has also been a dramatic
263.41	time of transformation.
266.351	And you've got to admit,
266.351	over the last year and a half,
269.001	consumers have been doing
269.001	some weird things.
271.093	It's pretty staggering,
271.093	what we've lived through.
273.408	If you take into account
273.408	that 80 percent of all Americans
276.128	were born after World War II,
277.548	this was essentially our Depression.
279.305	And so, as a result,
279.305	some crazy things have happened.
282.134	I'll give you some examples.
283.508	Let's talk about dentists, vasectomies,
283.508	guns and shark attacks.
288.197	(Laughter)
290.009	Dentists report molars --
290.009	people grinding their teeth,
293.916	coming in and reporting
293.916	that they've had stress.
296.303	So there's an increase in people
296.303	having to have their fillings replaced.
299.749	Gun sales, according to the FBI,
299.749	who does background checks,
303.067	are up almost 25 percent since January.
306.185	Vasectomies are up 48 percent,
306.185	according to the Cornell Institute.
310.862	And lastly, but a very good point,
313.29	hopefully not related
313.29	to the former point I just made,
315.89	which is that shark attacks
315.89	are at their lowest level from 2003.
319.377	Does anybody know why?
321.271	(Laughter)
322.477	No one's at the beach.
323.669	So there's a bright side to everything.
325.589	But seriously, what we see happening,
327.799	and the reason I want to stress
327.799	that the consumer is not in retreat,
331.084	is that this is a tremendous opportunity
333.123	for the consumer who drove us
333.123	into this recession
335.741	to lead us right back out.
337.29	What I mean by that is we can
337.29	move from mindless consumption
340.656	to mindful consumption.
342.708	Right?
343.892	(Applause)
344.991	If you think about the last three decades,
347.047	the consumer has moved
347.047	from savvy about marketing in the '90s,
350.353	to gathering all these amazing social
350.353	and search tools in this decade.
354.354	But the one thing holding them back
354.354	is the ability to discriminate.
357.707	By restricting their demand,
359.068	consumers can actually align
359.068	their values with their spending,
362.41	and drive capitalism and business
362.41	to not just be about more,
366.014	but to be about better.
367.204	We're going to explain that right now.
369.205	Based on Y&amp;R's BrandAsset Valuator,
372.01	proprietary tool of VML
372.01	and Young &amp; Rubicam,
374.735	we set out to understand
374.735	what's been happening in the crisis
377.643	with the consumer marketplace.
379.208	We found a couple
379.208	of really interesting things.
381.449	We're going to go
381.449	through four value shifts
