startsecond	text
19.21	I and my colleagues Art Aron
19.21	and Lucy Brown and others,
22.882	have put 37 people who are madly in love
22.882	into a functional MRI brain scanner.
31.36	and we're just starting
31.36	our third experiment:
33.52	studying people who report
33.52	that they're still in love
36.05	after 10 to 25 years of marriage.
38.33	So, this is the short story
38.33	of that research.
42.88	In the jungles of Guatemala,
42.88	in Tikal, stands a temple.
47.454	It was built by the grandest Sun King,
47.454	of the grandest city-state,
52.445	of the grandest civilization
52.445	of the Americas, the Mayas.
57.095	His name was Jasaw Chan K'awiil.
59.804	He stood over six feet tall.
62.107	He lived into his 80s,
64.148	and he was buried beneath
64.148	this monument in 720 AD.
68.508	And Mayan inscriptions proclaim
68.508	that he was deeply in love with his wife.
72.588	So, he built a temple
72.588	in her honor, facing his.
76.449	And every spring and autumn,
76.449	exactly at the equinox,
80.441	the sun rises behind his temple,
82.9	and perfectly bathes her temple
82.9	with his shadow.
87.96	And as the sun sets
87.96	behind her temple in the afternoon,
91.735	it perfectly bathes
91.735	his temple with her shadow.
95.743	After 1,300 years, these two lovers
95.743	still touch and kiss from their tomb.
102.806	Around the world, people love.
105.123	They sing for love, they dance for love,
107.891	they compose poems and stories about love.
110.923	They tell myths and legends about love.
113.522	They pine for love, they live for love,
113.522	they kill for love, and they die for love.
119.372	As Walt Whitman once said,
119.372	"""O I would stake all for you."""
124.117	Anthropologists have found evidence
124.117	of romantic love in 170 societies.
128.33	They've never found a society
128.33	that did not have it.
132.446	But love isn't always a happy experience.
135.17	In one study of college students,
135.17	they asked a lot of questions about love,
139.093	but the two that stood out
139.093	to me the most were:
142.056	"""Have you ever been rejected"
142.056	"by somebody who you really loved?"""
146.686	And the second question was:
148.127	"""Have you ever dumped somebody"
148.127	"who really loved you?"""
151.943	And almost 95 percent of both men
151.943	and women said yes to both.
157.249	Almost nobody gets out of love alive.
160.858	So, before I start telling you
160.858	about the brain,
164.137	I want to read for you
165.621	what I think is the most powerful
165.621	love poem on Earth.
168.33	There's other love poems that are,
168.33	of course, just as good,
171.171	but I don't think this one
171.171	can be surpassed.
173.767	It was told by an anonymous
173.767	Kwakiutl Indian of southern Alaska
