startsecond	text
12.16	My name is Jonathan Zittrain,
14.16	and in my recent work I've been a bit of a pessimist.
17.16	So I thought this morning I would try to be the optimist,
21.16	and give reason to hope
23.16	for the future of the Internet
25.16	by drawing upon its present.
28.16	Now, it may seem like there is less hope today than there was before.
32.16	People are less kind. There is less trust around.
34.16	I don't know. As a simple example,
38.16	we could run a test here.
40.16	How many people have ever hitchhiked?
47.16	I know. How many people have hitchhiked
50.16	within the past 10 years?
55.16	Right. So what has changed?
58.16	It's not better public transportation.
61.16	So that's one reason to think that we might be
64.16	declensionists, going in the wrong direction.
67.16	But I want to give you three examples
70.16	to try to say that the trend line
73.16	is in fact in the other direction,
75.16	and it's the Internet helping it along.
78.16	So example number one: the Internet itself.
81.16	These are three of the founders of the Internet.
85.16	They were actually high school classmates together
87.16	at the same high school in suburban Los Angles in the 1960s.
91.16	You might have had a French club or a Debate club.
94.16	"They had a ""Let's build a global network"" club,"
96.16	and it worked out very well.
99.16	They are pictured here for their 25th anniversary
102.16	Newsweek retrospective on the Internet.
105.16	And as you can tell,
107.16	they are basically goof balls.
110.16	They had one great limitation
113.16	and one great freedom
115.16	as they tried to conceive of a global network.
118.16	The limitation was that they didn't have any money.
122.16	No particular amount of capital to invest,
125.16	of the sort that for a physical network
127.16	you might need for trucks and people
129.16	and a hub to move packages around overnight.
132.16	They had none of that.
134.16	But they had an amazing freedom,
136.16	which was they didn't have to make any money from it.
140.16	The Internet has no business plan, never did.
144.16	No CEO,
146.16	no firm responsible, singly, for building it.
150.16	Instead, it's folks getting together
152.16	to do something for fun,
155.16	rather than because they were told to,
157.16	or because they were expecting to make a mint off of it.
161.16	That ethos led to a network architecture,
164.16	a structure that was unlike
166.16	other digital networks then or since.
170.16	So unusual, in fact,
172.16	that it was said that it's not clear the Internet could work.
176.16	As late as 1992, IBM was known to say
179.16	you couldn't possibly build a corporate network
182.16	using Internet Protocol.
185.16	And even some Internet engineers today say
187.16	the whole thing is a pilot project and the jury is still out.
