startsecond	text
12.16	This is very strange for me, because I’m not used to doing this:
15.16	I usually stand on the other side of the light,
18.16	and now I'm feeling the pressure I put other people into. And it's hard ...
25.16	The previous speaker has, I think,
28.16	really painted a very good background as to
34.16	the impulse behind my work and what drives me, and my sense of loss,
40.16	and trying to find the answer to the big questions.
46.16	But this, for me, I mean, coming here to do this,
51.16	feels like -- there’s this sculptor that I like very much, Giacometti,
59.16	who after many years of living in France -- and learning, you know,
64.16	studying and working -- he returned home and he was asked, what did you produce?
71.16	What have you done with so many years of being away?
75.16	And he sort of, he showed a handful of figurines.
78.16	"And obviously they were, ""Is this what you spent years doing?"
83.16	"And we expected huge masterpieces!"""
88.16	But what struck me is the understanding that in those little pieces
94.16	was the culmination of a man’s life, search, thought, everything --
100.16	just in a reduced, small version.
102.16	In a way, I feel like that.
104.16	I feel like I’m coming home to talk about
107.16	what I’ve been away doing for 20 years.
111.16	And I will start with a brief taster of what I’ve been about:
117.16	a handful of films -- nothing much,
119.16	two feature films and a handful of short films.
122.16	So, we’ll go with the first piece.
126.16	"(Video) Woman: ""I destroy lives,"" mum said."
135.16	I love her, you know.
139.16	She’s not even my real mum.
141.16	My real mum and dad dumped me
145.16	and fucked off back to Nigeria.
152.16	The devil is in me, Court.
156.16	Court: Sleep.
160.16	Woman: Have you ever been?
162.16	Court: Where?
164.16	Woman: Nigeria.
168.16	Court: Never.
170.16	My mum wanted to,
173.16	couldn’t afford it.
176.16	Woman: Wish I could.
178.16	I have this feeling I’d be happy there.
188.16	Why does everyone get rid of me?
192.16	Court: I don't want to get rid of you.
194.16	Woman: You don't need me.
198.16	You’re just too blind to see it now.
203.16	Boy: What do you do all day?
207.16	Marcus: Read.
209.16	Boy: Don't you get bored?
211.16	And how come you ain't got a job anyway?
214.16	Marcus: I am retired.
216.16	Boy: So?
218.16	Marcus: So I've done my bit for Queen and country, now I work for myself.
221.16	Boy: No, now you sit around like a bum all day.
223.16	Marcus: Because I do what I like?
226.16	Boy: Look man, reading don't feed no one.
228.16	And it particularly don't feed your spliff habit.
230.16	Marcus: It feeds my mind and my soul.
234.16	Boy: Arguing with you is a waste of time, Marcus.
241.16	Marcus: You’re a rapper, am I right?
243.16	Boy: Yeah.
244.16	Marcus: A modern day poet.
245.16	Boy: Yeah, you could say that.
246.16	Marcus: So what do you talk about?
248.16	Boy: What's that supposed to mean?
250.16	Marcus: Simple. What do you rap about?
252.16	Boy: Reality, man.
254.16	Marcus: Whose reality?
255.16	Boy: My fuckin' reality.
257.16	Marcus: Tell me about your reality.
259.16	Boy: Racism, oppression, people like me not getting a break in life.
263.16	Marcus: So what solutions do you offer? I mean, the job of a poet is not just --
266.16	Boy: Man, fight the power! Simple: blow the motherfuckers out of the sky.
269.16	Marcus: With an AK-47?
270.16	Boy: Man, if I had one, too fuckin' right.
272.16	Marcus: And how many soldiers have you recruited to fight this war with you?
275.16	Boy: Oh, Marcus, you know what I mean.
278.16	Marcus: When a man resorts to profanities,
280.16	it’s a sure sign of his inability to express himself.
284.16	Boy: See man, you’re just taking the piss out of me now.
287.16	Marcus: The Panthers.
289.16	Boy: Panthers?
290.16	Ass kickin' guys who were fed up with all that white supremacist, powers-that-be bullshit,
294.16	and just went in there and kicked everybody's arse.
297.16	Fuckin’ wicked, man. I saw the movie. Bad! What?
301.16	Director 1: I saw his last film.
305.16	Épuise, right?
307.16	Woman 1: Yes.
308.16	D1: Not to make a bad joke, but it was really épuisé.
315.16	Epuisé -- tired, exhausted, fed up.
322.16	Director 2: Can you not shut up?
324.16	Now, you talk straight to me, what’s wrong with my films?
326.16	Let’s go.
328.16	W1: They suck.
329.16	Woman 2: They suck? What about yours?
332.16	What, what, what, what about, what?
335.16	What do you think about your movie?
337.16	D1: My movies, they are OK, fine.
339.16	They are better than making documentaries no one ever sees.
342.16	What the fuck are you talking about?
344.16	Did you ever move your fuckin' ass from Hollywood
347.16	to go and film something real?
349.16	You make people fuckin' sleep.
351.16	Dream about bullshit.
353.16	(Applause)
357.16	Newton Aduaka: Thank you. The first clip, really, is
362.16	totally trying to capture what cinema is for me,
366.16	and where I'm coming from in terms of cinema.
368.16	The first piece was, really, there's a young woman talking about Nigeria,
373.16	that she has a feeling she'll be happy there.
376.16	These are the sentiments of someone that's been away from home.
379.16	And that was something that I went through, you know, and I'm still going through.
382.16	I've not been home for quite a while, for about five years now.
385.16	I've been away 20 years in total.
389.16	And so it’s really --
392.16	it's really how suddenly, you know, this was made in 1997,
398.16	which is the time of Abacha -- the military dictatorship,
402.16	the worst part of Nigerian history, this post-colonial history.
407.16	So, for this girl to have these dreams
